name,accent,language,gender,voice_id,voice type,notes
Keith,Chinese,English,male,gAMZphRyrWJnLMDnom6H,Conversational,"Nonchalant Talker, less obvious accent"
Harry,Chinese,English,male,SMmCzq0obKgqq4BpVwlt,Conversational,"Gentle, Soft-spoken and Caring, sound background noise in sample?"
Lee,Chinese,English,male,mBoVD3461U2BagYEwjeo,Conversational,"Youthful, Calm and Relaxed, more pronounced accent"
Ann,Chinese,English,female,FUu5jJAN31dt6KeE1fk2,Conversational,"Expressive and high pithced. note that this is described as Malaysian Chinese -- sounds diff from Mainland Chinese (not all voices are labeled w/ what type of chinese)"
Ziyu ,Chinese,English,female,1a0nAYA3FcNQcMMfbddY,Conversational,"Strong Chinese accent. Friendly but Unclear. The example clip they have seemed awkward to me, but I used one of our script to generate an audio clip and it seemed better"
Julia,Chinese,English,female,tOuLUAIdXShmWH7PEUrU,Conversational,"Professional and youthful voice. Marked as Chinese instead of English but generates English"
Ololade,Nigerian,English,female,Z8dg0fyk7p6js7cQ7lgi,Conversational,"Lower tone, less obvious accent. Calm and Natural"
Toluwalope,Nigerian,English,female,JMbCR4ujfEfGaawA1YtC,Conversational,"Stronger accent. Rick and Confident. slight muffle"
Adeola,Nigerian,English,female,tMe86XfyOYDzkWDEk6AQ,Conversational,"Warm, Engaging and. Soft"
Makun,Nigerian,English,male,0H7KfgW1jD8etRLgIOv2,Conversational,"Lower voice, smooth, clear tone. "
Ejike,Nigerian,English,male,bgdS2RtpEO5g1Py0jDYp,Conversational,"Huskier voice, less obvious accent"
Chinedu Dike,Nigerian,English,male,9hEb6p6ZCFsloAWErEvE,Conversational,"Warm and Soft. clear accent"
Alexandra,American,English,female,kdmDKE6EkgrWrrykO9Qt,Conversational,"Clear, professional voice"
Lisa,American,English,female,e0bmllAjevQ9bvU71kzO,Conversational,"Casual, timid voice"
Hope,American,English,female,uYXf8XasLslADfZ2MB4u,Conversational,"sassy and deeper voice"
Adam,American,English,male,s3TPKV1kjDlVtZbl4Ksh,Conversational,"Classic American male profile"
Donovan,American,English,male,DMyrgzQFny3JI1Y1paM5,Conversational,"very deep, loud, clear voice"
Burt,American,English,male,kdVjFjOXaqExaDvXZECX,Conversational,"Fun Casual voice"
Mohit,Indian,English,male,UzYWd2rD2PPFPjXRG3Ul,Conversational,"Clear, fairly strong Indian accent"
Shrey,Indian,English,male,x3gYeuNB0kLLYxOZsaSh,Conversational,"Stronger accent, deep voice"
Raj,Indian,English,male,wJ5MX7uuKXZwFqGdWM4N,Conversational,"Clear, professional"
Monika,Indian,English,female,ZUrEGyu8GFMwnHbvLhv2,Conversational,"Confident, fairly strong indian accent"
Tara,Indian,English,female,P7vsEyTOpZ6YUTulin8m,Conversational,"Similar to Monika, standard, professional indian accent"
Anushri,Indian,English,female,zFLlkq72ysbq1TWC0Mlx,Conversational,"Natural, young, stronger accent, more tonal"
Markus,British,English,male,85o4S4rAEvTIDGtpFNUq,Conversational,"Confident and articulate"
Archer,British,English,male,L0Dsvb3SLTyegXwtm47J,Conversational,"Calm and confident, tonal and expressive"
George,British,English,male,j57KDF72L6gxbLk4sOo5,Conversational,"Clear, slightly laid back"
Charlotte,British,English,female,6fZce9LFNG3iEITDfqZZ,Conversational,"Calm and warm"
Shelbi,British,English,female,rfkTsdZrVWEVhDycUYn9,Conversational,"Clear and youthful, sassy, tonal"
Lucy,British,English,female,lcMyyd2HUfFzxdCaC4Ta,Conversational,"Confident, slightly energetic"
