speaker_name,gender,voice_id,accent,language,script_filename,script_text,category,script_type,category,script_type,prompt,prompt_type,model_version,model_output
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-self-introduction-disf.wav,"Uh... I graduated about three years ago? And I've been working in customer service and client-facing roles since then. Most recently, actually, I was at a financial services firm... helping onboard clients and, um, answer their questions about accounts. I really enjoy being that connection between the technical side and clients, uh, just helping people understand their options. I think I'm a strong candidate because I have solid experience with customers,... well, I'm getting more familiar with financial products, and I'm pretty detail-oriented, which helps me catch mistakes early. So, yeah I'm really looking to take on more responsibility in this kind of role.",Personal-Introduction,content,Personal-Introduction,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about yourself: your background, key experiences, and what makes you a strong candidate for this role.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, compare the candidate's content to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",ideal,gemini-2.5-pro,"The candidate provides a functional but underdeveloped response that covers the basic components of the question. They successfully establish a timeline of their experience, moving from graduation to their most recent role in financial services, and correctly identify relevant duties like client onboarding. However, the answer lacks the substance and impact of a strong candidate. The description of their skills is generic and lacks evidence; for instance, stating they are ""pretty detail-oriented"" would be far more powerful if supported by a brief, specific example of a time their attention to detail prevented an error or improved a process. Furthermore, the statement about ""getting more familiar with financial products"" inadvertently highlights a potential weakness rather than a strength. An ideal candidate would have tailored this response directly to the role, using keywords from the job description and providing quantifiable achievements (e.g., ""I onboarded 20 new clients per month"" or ""I reduced account errors by 15% by implementing a new checklist"") to demonstrate their value and make a compelling case for their fit.  Rating: 3"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-self-introduction-disf.wav,"Uh... I graduated about three years ago? And I've been working in customer service and client-facing roles since then. Most recently, actually, I was at a financial services firm... helping onboard clients and, um, answer their questions about accounts. I really enjoy being that connection between the technical side and clients, uh, just helping people understand their options. I think I'm a strong candidate because I have solid experience with customers,... well, I'm getting more familiar with financial products, and I'm pretty detail-oriented, which helps me catch mistakes early. So, yeah I'm really looking to take on more responsibility in this kind of role.",Personal-Introduction,delivery,Personal-Introduction,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about yourself: your background, key experiences, and what makes you a strong candidate for this role.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, compare the candidate's speech delivery to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",ideal,gemini-2.5-pro,"The candidate's vocal delivery is understandable but lacks the polish and confidence of an expert communicator. While the articulation is generally clear, the speech is marked by frequent hesitations, filler words (""uh,"" ""um""), and an uneven rhythm, which disrupts the overall fluency and can project a sense of unpreparedness. The tone is somewhat monotonous and lacks the vocal energy and conviction that would create a more engaging and confident impression. To improve, the candidate should focus on speaking more smoothly, reducing reliance on verbal pauses, and injecting more dynamic inflection into their voice to better convey enthusiasm and self-assurance.  Rating: 3"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-commitment-challenge-disf.wav,"So, earlier this year, I committed to finishing a client report by Thursday for a Friday meeting. But, on Wednesday,um.. my manager needed help with an urgent compliance request that had a same-day deadline. I realized I couldn't do both well. So... I talked to my manager about prioritizing the compliance issue, and then I reached out to the client directly... just to let them know the report would be a day late. I apologized, and, uh... we rescheduled the meeting to Monday. The client appreciated the heads-up, and I got the report to them Friday afternoon.I learned it's way better to communicate early when priorities shift rather than… just missing a deadline?",Personal-Commitment,content,Personal-Commitment,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when you struggled to keep a commitment you made due to other important priorities.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, compare the candidate's content to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",ideal,gemini-2.5-pro,"The candidate provides a strong, well-structured response that effectively uses the STAR method to answer the question. They clearly outline the situation of conflicting priorities—a client report versus an urgent internal request. The actions taken demonstrate excellent professional judgment: first, confirming the new priority with their manager, and second, proactively and transparently communicating the delay to the client. By apologizing, explaining the situation without making excuses, and rescheduling, the candidate showed accountability and a commitment to managing stakeholder expectations. The positive result, where the client appreciated the communication, and the clear lesson learned about the importance of early communication, make this a compelling example of problem-solving and professionalism.  Rating: 6"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-commitment-challenge-disf.wav,"So, earlier this year, I committed to finishing a client report by Thursday for a Friday meeting. But, on Wednesday,um.. my manager needed help with an urgent compliance request that had a same-day deadline. I realized I couldn't do both well. So... I talked to my manager about prioritizing the compliance issue, and then I reached out to the client directly... just to let them know the report would be a day late. I apologized, and, uh... we rescheduled the meeting to Monday. The client appreciated the heads-up, and I got the report to them Friday afternoon.I learned it's way better to communicate early when priorities shift rather than… just missing a deadline?",Personal-Commitment,delivery,Personal-Commitment,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when you struggled to keep a commitment you made due to other important priorities.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, compare the candidate's speech delivery to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",ideal,gemini-2.5-pro,"The candidate's vocal presentation is understandable, with generally clear articulation. However, their delivery lacks the confidence and polish expected of an ideal employee. The pacing is consistently slow and hesitant, punctuated by filler words like ""um"" and noticeable pauses, which disrupt the overall verbal fluency and make the response feel less natural. The tone is somewhat flat and lacks energy, failing to convey strong engagement or conviction in the story being told. To improve, the candidate should focus on speaking with a more dynamic and confident vocal tone, maintaining a steadier rhythm, and eliminating hesitations to create a more fluid and impactful delivery. Rating: 3"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-finance-product-challenge-disf.wav,"I had a client who wanted to open a retirement account But, uh... didn't really understand the difference between a traditional IRA and a Roth IRA. So, I asked them some questions about their tax situation and timeline first, and then explained it as basically 'pay taxes now or pay taxes later. I used a simple example… with actual numbers just to show how each might work for them. And, actually, I made sure to mention I wasn't giving tax advice... just explaining the options. They had more questions, so, um... I walked through a comparison and suggested they talk to a tax professional too. They ended up opening a Roth and told me later they appreciated that I explained it clearly without pushing one option.",Financial-Product,content,Financial-Product,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when you had to explain a complex financial product or risk to a client.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, compare the candidate's content to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",ideal,gemini-2.5-pro,"The candidate provides a strong, well-structured response that effectively demonstrates the ability to simplify a complex topic for a client. They logically walk through the situation using the STAR method, starting by gathering information about the client's specific needs before offering an explanation. The use of a simple analogy (""pay taxes now or pay taxes later"") and a concrete numerical example are excellent techniques for ensuring clarity. Crucially, the candidate shows a high degree of professionalism and ethical awareness by disclaiming that they were not giving tax advice and by recommending the client consult a tax professional. The response is complete, culminating in a positive outcome where the client not only made an informed decision but also provided feedback appreciating the clear, non-pressured approach. This answer showcases a client-centric mindset and excellent communication skills. Rating: 7"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-finance-product-challenge-disf.wav,"I had a client who wanted to open a retirement account But, uh... didn't really understand the difference between a traditional IRA and a Roth IRA. So, I asked them some questions about their tax situation and timeline first, and then explained it as basically 'pay taxes now or pay taxes later. I used a simple example… with actual numbers just to show how each might work for them. And, actually, I made sure to mention I wasn't giving tax advice... just explaining the options. They had more questions, so, um... I walked through a comparison and suggested they talk to a tax professional too. They ended up opening a Roth and told me later they appreciated that I explained it clearly without pushing one option.",Financial-Product,delivery,Financial-Product,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when you had to explain a complex financial product or risk to a client.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, compare the candidate's speech delivery to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",ideal,gemini-2.5-pro,"The candidate's vocal presentation is clear and generally easy to understand, but it lacks the polish and confidence of an expert communicator. The pacing is somewhat slow and hesitant, with noticeable pauses and filler words (""uh,"" ""um"") that disrupt the natural rhythm of their speech, making the delivery feel slightly disjointed. While the articulation is adequate, the tone is quite monotonous and lacks the vocal variety that would convey strong confidence and engagement. An ideal employee would speak with greater verbal fluency, a more dynamic and assured tone, and a smoother cadence to build rapport and hold the listener's attention more effectively.  Rating: 4"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-consulting-client-challenge-disf.wav,"I had a client who wanted to put a lot of their portfolio in one tech stock, Mostly because they worked in that industry and felt confident about it. I recommended more diversification… based on their risk tolerance. But they pushed back,um…, because they felt they had good insight.Instead of just agreeing uh.., or arguing, I asked them to walk me through their thinking, so I could understand it better. Then we talked through some scenario…,like, for example, what would happen if that stock dropped? I acknowledged that they knew the industry well but explained diversification was really about managing risk. We ended up compromising…., they kept a bigger position than I suggested, but not as concentrated as they wanted. And, they appreciated that I listened.",Client-Disagreement,content,Client-Disagreement,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, compare the candidate's content to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",ideal,gemini-2.5-pro,"The candidate provides an expert-level response that is clear, well-structured, and directly relevant to the question. They effectively use the STAR method to frame their answer, starting with a specific situation (a client wanting to over-concentrate their portfolio) and the resulting disagreement. The candidate's handling of the situation demonstrates a high degree of emotional intelligence and client management skill. Instead of escalating the conflict, they sought to understand the client's reasoning, acknowledged their expertise, and then skillfully reframed the conversation around the core principle of risk management rather than questioning the client's industry knowledge. Walking through a negative scenario and ultimately reaching a collaborative compromise shows flexibility, strategic thinking, and a focus on maintaining a positive long-term relationship, which are all hallmarks of an ideal employee. The answer is complete, logical, and showcases a mature approach to conflict resolution. Rating: 7"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-consulting-client-challenge-disf.wav,"I had a client who wanted to put a lot of their portfolio in one tech stock, Mostly because they worked in that industry and felt confident about it. I recommended more diversification… based on their risk tolerance. But they pushed back,um…, because they felt they had good insight.Instead of just agreeing uh.., or arguing, I asked them to walk me through their thinking, so I could understand it better. Then we talked through some scenario…,like, for example, what would happen if that stock dropped? I acknowledged that they knew the industry well but explained diversification was really about managing risk. We ended up compromising…., they kept a bigger position than I suggested, but not as concentrated as they wanted. And, they appreciated that I listened.",Client-Disagreement,delivery,Client-Disagreement,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, compare the candidate's speech delivery to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",ideal,gemini-2.5-pro,"The candidate's vocal delivery is understandable but lacks the polish and confidence of an expert communicator. While their articulation is generally clear, the pacing is hesitant and uneven, marked by several pauses and filler words like ""um"" and ""uh."" This creates a disjointed rhythm that suggests the candidate is thinking through the story as they tell it, rather than presenting a practiced, fluid narrative. The tone is somewhat flat and lacks dynamic range, which diminishes the sense of engagement and conviction. To improve, the candidate should focus on speaking with a more consistent tempo and using vocal intonation to convey confidence and emphasize key points, which would result in a more fluent and impactful delivery.  Rating: 4"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-self-introduction.wav,"I graduated about three years ago and I've been working in customer service and client-facing roles since then. Most recently I was at a financial services firm helping onboard clients and answer their questions about accounts. I really enjoy being that connection between the technical side and clients—helping people understand their options. I think I'm a strong candidate because I have solid experience with customers, I'm getting more familiar with financial products, and I'm pretty detail-oriented which helps me catch mistakes early. I'm looking to take on more responsibility in this kind of role.",Personal-Introduction,content,Personal-Introduction,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about yourself: your background, key experiences, and what makes you a strong candidate for this role.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, compare the candidate's content to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",ideal,gemini-2.5-pro,"The candidate provides a logically structured and coherent response, moving from their general background to a specific recent role, and then connecting that experience to their suitability for the new position. The answer is relevant, touching on client-facing work in a financial services firm, which is a clear strength. However, the response lacks the depth and specificity of an expert candidate. It would be significantly stronger with concrete examples or metrics; for instance, mentioning the number of clients they onboarded, a specific complex problem they solved, or how their detail-orientation prevented a significant error. Phrases like ""getting more familiar with financial products"" can sound tentative and undermine their expertise. While the answer covers all parts of the question, it does so at a surface level, missing the opportunity to tell a compelling story of achievement and impact that would truly differentiate them.  Rating: 4"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-self-introduction.wav,"I graduated about three years ago and I've been working in customer service and client-facing roles since then. Most recently I was at a financial services firm helping onboard clients and answer their questions about accounts. I really enjoy being that connection between the technical side and clients—helping people understand their options. I think I'm a strong candidate because I have solid experience with customers, I'm getting more familiar with financial products, and I'm pretty detail-oriented which helps me catch mistakes early. I'm looking to take on more responsibility in this kind of role.",Personal-Introduction,delivery,Personal-Introduction,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about yourself: your background, key experiences, and what makes you a strong candidate for this role.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, compare the candidate's speech delivery to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",ideal,gemini-2.5-pro,"The candidate's vocal presentation is developing but has several areas for improvement. While their speech is generally intelligible, their articulation lacks crispness, causing some words to sound slightly soft or indistinct. The most significant issue is the pacing, which is uneven and marked by frequent hesitations and unnatural pauses, disrupting the overall rhythm and making the delivery sound unpracticed. The tone is somewhat monotonous and lacks the vocal energy and modulation that would convey strong confidence and engagement. This combination of hesitant pacing and a flat tone detracts from the overall verbal fluency, making the candidate sound less polished and assured than an ideal employee would in a professional setting.  Rating: 4"
