file_path,category,speaker_id,accent,model,raw_transcription,clean_transcription,ref_word_count,hyp_word_count,edit_ops,wer
personal-introduction/pi - speaker_28.wav,personal-introduction,speaker_28,American,gpt-audio-1.5,"{""transcription"": ""I graduated about three years ago and I've been working in customer service and client facing roles since then most recently I was at a financial service firm helping onboard clients and answer their questions about accounts I really enjoy being that connection between the technical side and clients helping people understand their options I think I'm a strong candidate because I have solid experience with customers I'm getting more familiar with financial products and I'm pretty detail oriented which helps me catch mistakes early I'm looking to take on more responsibility in this kind of role""}",transcription i graduated about three years ago and i ve been working in customer service and client facing roles since then most recently i was at a financial service firm helping onboard clients and answer their questions about accounts i really enjoy being that connection between the technical side and clients helping people understand their options i think i m a strong candidate because i have solid experience with customers i m getting more familiar with financial products and i m pretty detail oriented which helps me catch mistakes early i m looking to take on more responsibility in this kind of role,102,103,2,0.0196
personal-introduction/pi - speaker_27.wav,personal-introduction,speaker_27,American,gpt-audio-1.5,"{""transcription"": ""I graduated about three years ago and I've been working in customer service and client facing roles since then most recently I was at a financial services firm helping onboard clients and answer their questions about accounts I really enjoy being that connection between the technical side and clients helping people understand their options I think I'm a strong candidate because I have a solid experience with customers I'm getting more familiar with financial products and I'm pretty detail oriented which helps me catch mistakes early I'm looking to take on more responsibility for this kind of role""}",transcription i graduated about three years ago and i ve been working in customer service and client facing roles since then most recently i was at a financial services firm helping onboard clients and answer their questions about accounts i really enjoy being that connection between the technical side and clients helping people understand their options i think i m a strong candidate because i have a solid experience with customers i m getting more familiar with financial products and i m pretty detail oriented which helps me catch mistakes early i m looking to take on more responsibility for this kind of role,102,104,3,0.0294
personal-introduction/pi - speaker_26.wav,personal-introduction,speaker_26,American,gpt-audio-1.5,"{""spoken_words"": ""I graduated about three years ago and I've been working in customer service and client facing roles since then most recently I was at a financial services firm helping onboard clients and answer their questions about accounts I really enjoy being that connection between the technical side and clients helping people understand their options I think I'm a strong candidate because I have solid experience with customers I'm getting more familiar with financial products and I'm pretty detail oriented which helps me catch mistakes early I'm looking to take on more responsibility in this kind of role""}",spoken words i graduated about three years ago and i ve been working in customer service and client facing roles since then most recently i was at a financial services firm helping onboard clients and answer their questions about accounts i really enjoy being that connection between the technical side and clients helping people understand their options i think i m a strong candidate because i have solid experience with customers i m getting more familiar with financial products and i m pretty detail oriented which helps me catch mistakes early i m looking to take on more responsibility in this kind of role,102,104,2,0.0196
personal-introduction/pi - speaker_25.wav,personal-introduction,speaker_25,Chinese,gpt-audio-1.5,FAILED,FAILED,-1,-1,-1,FAILED
personal-introduction/pi - speaker_24.wav,personal-introduction,speaker_24,Chinese,gpt-audio-1.5,I graduated about three years ago and I have been working in customer service and client facing roles since then most recently I was at a financial service firm helping onboarding clients and answer their questions about accounts I really enjoy being that connection between the technical side and clients helping people understand their options I think I am a strong candidate because I have solid experience with customers I am getting more familiar with financial products and I am pretty detail oriented which helps me catch mistakes early I am looking to take on more responsibility in this kind of role,i graduated about three years ago and i have been working in customer service and client facing roles since then most recently i was at a financial service firm helping onboarding clients and answer their questions about accounts i really enjoy being that connection between the technical side and clients helping people understand their options i think i am a strong candidate because i have solid experience with customers i am getting more familiar with financial products and i am pretty detail oriented which helps me catch mistakes early i am looking to take on more responsibility in this kind of role,102,102,7,0.0686
personal-introduction/pi - speaker_29.wav,personal-introduction,speaker_29,Nigerian,gpt-audio-1.5,"{""spoke_words"": ""I graduated about three years ago and have been working in customer service and client facing roles since then most recently I was at a financial services firm helping onboard clients and answer their questions about accounts I really enjoy being that connection between the technical side and clients helping people understand their options I think I'm a strong candidate because I have solid experience with customers I'm getting more familiar with financial products and I'm pretty detail oriented which helps me catch mistakes early on I'm looking to take on more responsibility in this kind of role""}",spoke words i graduated about three years ago and have been working in customer service and client facing roles since then most recently i was at a financial services firm helping onboard clients and answer their questions about accounts i really enjoy being that connection between the technical side and clients helping people understand their options i think i m a strong candidate because i have solid experience with customers i m getting more familiar with financial products and i m pretty detail oriented which helps me catch mistakes early on i m looking to take on more responsibility in this kind of role,102,104,5,0.049
personal-introduction/pi - speaker_33.wav,personal-introduction,speaker_33,Nigerian,gpt-audio-1.5,I graduated about three years ago and I have been working in customer service and client facing roles since then most recently I was at a financial services firm helping onboard clients and answer their questions about accounts I really enjoy being that connection between the technical side and clients helping people understand their options I think I am a strong candidate because I have solid experience with customers I am getting more familiar with financial products and I am pretty detail oriented which helps me catch mistakes early I am looking to take on more responsibility in this kind of role,i graduated about three years ago and i have been working in customer service and client facing roles since then most recently i was at a financial services firm helping onboard clients and answer their questions about accounts i really enjoy being that connection between the technical side and clients helping people understand their options i think i am a strong candidate because i have solid experience with customers i am getting more familiar with financial products and i am pretty detail oriented which helps me catch mistakes early i am looking to take on more responsibility in this kind of role,102,102,5,0.049
personal-introduction/pi - speaker_32.wav,personal-introduction,speaker_32,Nigerian,gpt-audio-1.5,"{""transcription"": ""I graduated about three years ago and I've been working in customer service and client facing roles since then most recently I was at a financial services firm helping onboard clients and answer their questions about accounts I really enjoyed being that connection between the technical side and the client helping people understand their options I think I'm a strong candidate because I have a solid experience with customers I'm getting more familiar with financial products and I'm pretty detail oriented which helps me catch mistakes early I'm looking to take on more responsibility in this kind of role""}",transcription i graduated about three years ago and i ve been working in customer service and client facing roles since then most recently i was at a financial services firm helping onboard clients and answer their questions about accounts i really enjoyed being that connection between the technical side and the client helping people understand their options i think i m a strong candidate because i have a solid experience with customers i m getting more familiar with financial products and i m pretty detail oriented which helps me catch mistakes early i m looking to take on more responsibility in this kind of role,102,105,5,0.049
personal-introduction/pi - speaker_31.wav,personal-introduction,speaker_31,American,gpt-audio-1.5,"{""spoken_words"": ""I graduated about three years ago and I've been working in customer service and client facing roles since then most recently I was at a financial services firm helping onboard clients and answer their questions about accounts I really enjoy being that connection between the technical side and clients helping people understand their options I think I'm a strong candidate because I have solid experience with customers I'm getting more familiar with financial products and I'm pretty detail oriented which helps me catch mistakes early I'm looking to take on more responsibility in this kind of role""}",spoken words i graduated about three years ago and i ve been working in customer service and client facing roles since then most recently i was at a financial services firm helping onboard clients and answer their questions about accounts i really enjoy being that connection between the technical side and clients helping people understand their options i think i m a strong candidate because i have solid experience with customers i m getting more familiar with financial products and i m pretty detail oriented which helps me catch mistakes early i m looking to take on more responsibility in this kind of role,102,104,2,0.0196
personal-introduction/pi - speaker_25.wav,personal-introduction,speaker_25,Chinese,gpt-audio-1.5,"{""spoke_words"": ""About three years ago and I've been working in customer service and client facing roles since then. Most recently I was at a financial services firm helping onboard clients and answer their questions about accounts. I really enjoy being that connection between the technical side and clients helping people understand their opinions. I think I'm a strong candidate because I have solid experience with customers, I'm getting more familiar with financial products, and I'm pretty detail oriented which helps me catch mistakes early. I'm looking to take on more responsibilities in this kind of role.""}",spoke words about three years ago and i ve been working in customer service and client facing roles since then most recently i was at a financial services firm helping onboard clients and answer their questions about accounts i really enjoy being that connection between the technical side and clients helping people understand their opinions i think i m a strong candidate because i have solid experience with customers i m getting more familiar with financial products and i m pretty detail oriented which helps me catch mistakes early i m looking to take on more responsibilities in this kind of role,102,102,4,0.0392
