file_path,category,speaker_name_from_file,name,consent_18_plus,data_sharing_consent,age_range,english_acquired_location,native_language,other_languages,age_learned_english,countries_lived,gender,uw_affiliation,recording_device,language_background_notes,accent_nationality_origin,audio_quality_rating,quality_notes,prompt_type,script_type,prompt,model_version,model_output
client-disagreement/cd - speaker_01.wav,client-disagreement,speaker_01,speaker_01,Yes,Yes,18-24,Nigeria,"Yoruba, English",,native,Nigeria,male,No,samsung (mobile),,Nigerian,7.0,"clear audio but consistent white noise in the background, speaker does sound more timid in recording",critical,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, help the candidate improve their response content by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gemini-2.5-pro,"The candidate provides a strong, well-structured response that directly answers the question using a clear example. The story effectively follows the STAR (Situation, Task, Action, Result) method, demonstrating crucial skills like active listening, empathy, and collaborative problem-solving. Instead of being confrontational, the candidate sought to understand the client's perspective (""walk me through your thinking""), acknowledged their expertise, and then educated them on the principle of risk management through scenario planning. The resolution—a compromise where the client felt heard and a better financial outcome was achieved—is an excellent result to highlight. To elevate this from a great answer to an expert one, the candidate could add more specific, quantitative details. For example, stating what percentage the client initially wanted versus the compromised percentage (""They wanted to allocate 50%... we agreed on 25%"") would make the outcome more tangible and impactful.  Rating: 6"
client-disagreement/cd - speaker_01.wav,client-disagreement,speaker_01,speaker_01,Yes,Yes,18-24,Nigeria,"Yoruba, English",,native,Nigeria,male,No,samsung (mobile),,Nigerian,7.0,"clear audio but consistent white noise in the background, speaker does sound more timid in recording",critical,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, help the candidate improve their response delivery by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gemini-2.5-pro,"Your vocal delivery could be significantly improved by focusing on clarity, pacing, and tonal engagement. The audio is hampered by a prominent background hum and a muffled quality, which makes your voice difficult to hear clearly and detracts from your professionalism; ensure you record in a quiet space with a better microphone. Your articulation lacks crispness, causing some words to blend together. The pacing is slow and hesitant, with several unnatural pauses that break the narrative flow and make the response feel unrehearsed. Your tone is largely monotone, which projects a lack of confidence and fails to engage the listener in your story. To improve, practice speaking with more vocal energy, varying your pitch to emphasize key points, and rehearsing your examples aloud to develop a more fluid, confident, and conversational rhythm.  Rating: 2"
client-disagreement/cd - speaker_02.wav,client-disagreement,speaker_02,speaker_02,Yes,Yes,18-24,Poland,Polish&English,Italian,native,"Poland, Scotland",Male,No,Windows (PC),"Born in Poland, grew up bilingual, living in Scotland for the past 6 years.",British,9.0,"clear voice, slight white noise",critical,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, help the candidate improve their response content by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gemini-2.5-pro,"The candidate provides a strong, well-structured response that effectively uses the STAR method. They clearly outline the situation, the client's rationale, and the disagreement. The handling of the situation is excellent, demonstrating crucial skills like active listening (""asked him to walk me through their thinking""), validating the client's expertise, and educating them through scenario planning rather than confrontation. The resolution—a compromise—is realistic and shows flexibility. To elevate this from a proficient to an expert answer, the candidate could add a concluding sentence that more concretely defines the positive outcome. For instance, beyond the client appreciating being heard, they could mention how this strengthened the long-term advisory relationship or confirm that the final compromised allocation still aligned with the client's established risk profile and financial goals, thereby reinforcing their professional duty.  Rating: 6"
client-disagreement/cd - speaker_02.wav,client-disagreement,speaker_02,speaker_02,Yes,Yes,18-24,Poland,Polish&English,Italian,native,"Poland, Scotland",Male,No,Windows (PC),"Born in Poland, grew up bilingual, living in Scotland for the past 6 years.",British,9.0,"clear voice, slight white noise",critical,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, help the candidate improve their response delivery by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gemini-2.5-pro,"While your response is verbally fluent with minimal filler words, its overall impact is diminished by a lack of vocal engagement and confidence. The primary area for improvement is in your tone, which is largely monotonous and flat, making it sound as though you are reciting facts rather than sharing a compelling personal experience. Introducing more vocal inflection to emphasize key points—such as the client's initial pushback, your thoughtful approach, and the final compromise—would make your story more dynamic and persuasive. The pacing is also slightly uneven, with some phrases feeling rushed, which detracts from a smooth, conversational rhythm. Focusing on a more deliberate pace and injecting more energy and variation into your tone will help you connect more effectively with the listener and project greater self-assurance.  Rating: 4"
client-disagreement/cd - speaker_09.wav,client-disagreement,speaker_09,speaker_09,Yes,Yes,25-34,Nigeria ,Yoruba,English,3,United states,female,No,iphone (mobile),,Nigerian,10.0,"clear audio, no noise, small minor mistakes",critical,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, help the candidate improve their response content by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gemini-2.5-pro,"The candidate provides a strong, well-structured response that effectively utilizes the STAR method to answer the question. The situation is clear (a client wanting to over-concentrate their portfolio), the actions taken are logical and demonstrate excellent client management skills (seeking to understand their reasoning, using scenarios to illustrate risk, acknowledging their expertise, and reframing the recommendation), and the result is both realistic and positive (a compromise was reached and the client felt heard). The answer showcases maturity by focusing on collaboration and risk management rather than simply being right. To elevate this response to an expert level, the candidate could add a layer of specificity, for instance, by quantifying the compromise (e.g., ""They initially wanted 40% in the stock, my standard recommendation for their profile was 5%, and we compromised at 15%"") or by using more precise terminology like ""mitigating concentration risk."" This would add more weight and professional credibility to an already excellent example.  Rating: 6"
client-disagreement/cd - speaker_09.wav,client-disagreement,speaker_09,speaker_09,Yes,Yes,25-34,Nigeria ,Yoruba,English,3,United states,female,No,iphone (mobile),,Nigerian,10.0,"clear audio, no noise, small minor mistakes",critical,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, help the candidate improve their response delivery by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gemini-2.5-pro,"While your response is understandable, your vocal delivery could be significantly strengthened to project more confidence and expertise. Your pacing is a bit rushed, which causes some words and phrases to lose clarity and sound slightly mumbled, particularly during the explanation of diversification. There are also a few moments of disfluency, such as the repetition of ""arguing"" and a noticeable restart when explaining the concept of managing risk, which momentarily break the flow of your narrative. To improve, focus on slowing down your pace deliberately, allowing you to fully articulate each word and use pauses strategically for emphasis. By incorporating more vocal variety in your pitch and tone, you will sound more engaged and convicted in your story, transforming the delivery from a simple recitation into a compelling professional example.  Rating: 4"
client-disagreement/cd - speaker_03.wav,client-disagreement,speaker_03,speaker_03,Yes,Yes,18-24,India,Odia,"Hindi, Bengali, English",3,India,female,No,Macbook (PC),,Indian,10.0,"clear audio, no noise.",critical,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, help the candidate improve their response content by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gemini-2.5-pro,"This is a strong, well-structured response that effectively uses the STAR method (Situation, Task, Action, Result) to answer the question. The candidate clearly outlines the client's position, their own recommendation, and the rationale for the disagreement. The actions taken are excellent, demonstrating a collaborative and educational approach rather than a confrontational one; specifically, asking the client to explain their thinking, using scenarios to illustrate risk, and acknowledging the client's expertise were all smart moves. The resolution—a compromise where the client felt heard—is a realistic and positive outcome. To elevate this from a strong answer to an expert one, the candidate could add a concluding sentence about what they learned from the experience, such as, ""This taught me that the best path forward often involves blending my technical expertise with the client's personal insights to create a solution they feel truly confident in."" This would add a layer of self-reflection that demonstrates a commitment to continuous improvement.  Rating: 6"
client-disagreement/cd - speaker_03.wav,client-disagreement,speaker_03,speaker_03,Yes,Yes,18-24,India,Odia,"Hindi, Bengali, English",3,India,female,No,Macbook (PC),,Indian,10.0,"clear audio, no noise.",critical,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, help the candidate improve their response delivery by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gemini-2.5-pro,"While your articulation is clear and your words are easy to understand, your overall vocal delivery could be significantly strengthened to project more confidence and engagement. The pacing is quite slow and the rhythm is stilted, with unnatural pauses between phrases, which makes the response sound more like a careful recitation than a natural, conversational story. Your vocal tone is largely monotonous, lacking the dynamic inflection and energy that would help draw the listener in and convey conviction in your actions. To improve, practice telling this story in a more relaxed, conversational manner, focusing on a smoother flow and varying your pitch and pace to add emphasis and sound more confident and persuasive.  Rating: 3"
client-disagreement/cd - speaker_04.wav,client-disagreement,speaker_04,speaker_04,Yes,Yes,18-24,Indian School System,Marathi,Hindi,4,India,female,No,Macbook (PC),,Indian,10.0,"clear audio, no noise.",critical,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, help the candidate improve their response content by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gemini-2.5-pro,"This is a strong, well-structured response that effectively uses the STAR (Situation, Task, Action, Result) method. You clearly outlined the situation with the client, the conflict in recommendations, and the specific, thoughtful actions you took. Your approach of seeking to understand the client's perspective first (""walk me through their thinking"") before presenting counterarguments is excellent, as it demonstrates empathy and collaborative problem-solving rather than confrontation. The resolution, a compromise that left the client feeling heard, is a very positive and realistic outcome. To elevate this from a proficient to an expert-level answer, you could add a final sentence on the long-term impact of this interaction, such as how it strengthened the overall trust and relationship with the client, making future conversations about strategy even more productive.  Rating: 6"
client-disagreement/cd - speaker_04.wav,client-disagreement,speaker_04,speaker_04,Yes,Yes,18-24,Indian School System,Marathi,Hindi,4,India,female,No,Macbook (PC),,Indian,10.0,"clear audio, no noise.",critical,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, help the candidate improve their response delivery by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gemini-2.5-pro,"Your verbal fluency is solid, as you deliver the response without significant hesitations or filler words. However, your delivery could be enhanced by focusing on three key areas: pacing, tonal variation, and articulation. The overall pace is quite fast and uniform, which can make the response feel rushed and a bit monotonous. Consider intentionally slowing down and incorporating brief pauses, especially when transitioning between the problem, your action, and the result, as this will add emphasis and give the listener time to absorb your points. Your tone is somewhat flat; varying your pitch and volume would convey more confidence and engagement, making the story more dynamic and compelling. Finally, the rapid pace causes some words to be slurred or lose their crispness, so focusing on clearer enunciation will project a greater sense of polish and authority.  Rating: 4"
