speaker_name,gender,voice_id,accent,language,script_filename,script_text,category,script_type,category,script_type,prompt,prompt_type,model_version,model_output
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-self-introduction-disf.wav,"Uh... I graduated about three years ago? And I've been working in customer service and client-facing roles since then. Most recently, actually, I was at a financial services firm... helping onboard clients and, um, answer their questions about accounts. I really enjoy being that connection between the technical side and clients, uh, just helping people understand their options. I think I'm a strong candidate because I have solid experience with customers,... well, I'm getting more familiar with financial products, and I'm pretty detail-oriented, which helps me catch mistakes early. So, yeah I'm really looking to take on more responsibility in this kind of role.",Personal-Introduction,content,Personal-Introduction,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about yourself: your background, key experiences, and what makes you a strong candidate for this role.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, compare the candidate's content to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",ideal,gpt-4o-audio-preview,"The candidate provides a generally clear and organized response, touching on their background in customer service and client-facing roles, as well as their recent experience in financial services. They highlight their enjoyment of bridging technical and client needs, which is relevant to many roles. However, the response could be more specific and detailed, especially regarding key achievements or specific skills that make them stand out. The mention of being detail-oriented is good, but it would be stronger if supported by concrete examples. The flow is mostly coherent, though the candidate seems a bit hesitant when discussing their familiarity with financial products, which slightly weakens the overall impression of confidence. Overall, the response is solid but could benefit from more depth and specificity to fully demonstrate their strengths and readiness for the role.  Rating: 4"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-self-introduction-disf.wav,"Uh... I graduated about three years ago? And I've been working in customer service and client-facing roles since then. Most recently, actually, I was at a financial services firm... helping onboard clients and, um, answer their questions about accounts. I really enjoy being that connection between the technical side and clients, uh, just helping people understand their options. I think I'm a strong candidate because I have solid experience with customers,... well, I'm getting more familiar with financial products, and I'm pretty detail-oriented, which helps me catch mistakes early. So, yeah I'm really looking to take on more responsibility in this kind of role.",Personal-Introduction,delivery,Personal-Introduction,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about yourself: your background, key experiences, and what makes you a strong candidate for this role.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, compare the candidate's speech delivery to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",ideal,gpt-4o-audio-preview,"The candidate's vocal presentation shows a moderate level of clarity and articulation, though there are some hesitations and filler words like ""uh"" and ""well"" that slightly disrupt the flow. The pacing is relatively steady but could benefit from more consistent rhythm to maintain engagement. The tone conveys a certain level of confidence, but there are moments where the candidate sounds less assured, particularly when discussing their strengths. Overall, the verbal fluency is decent, but the candidate could improve by reducing pauses and filler words to sound more polished and confident. Rating: 4"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-commitment-challenge-disf.wav,"So, earlier this year, I committed to finishing a client report by Thursday for a Friday meeting. But, on Wednesday,um.. my manager needed help with an urgent compliance request that had a same-day deadline. I realized I couldn't do both well. So... I talked to my manager about prioritizing the compliance issue, and then I reached out to the client directly... just to let them know the report would be a day late. I apologized, and, uh... we rescheduled the meeting to Monday. The client appreciated the heads-up, and I got the report to them Friday afternoon.I learned it's way better to communicate early when priorities shift rather than… just missing a deadline?",Personal-Commitment,content,Personal-Commitment,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when you struggled to keep a commitment you made due to other important priorities.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, compare the candidate's content to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",ideal,gpt-4o-audio-preview,"The candidate provided a clear and well-organized response that directly addressed the question. They described a specific situation, the conflicting priorities, and the steps they took to resolve the issue. The response demonstrated good problem-solving skills, particularly in terms of communication and prioritization. The candidate also reflected on the lesson learned, which shows self-awareness and a willingness to improve. However, the response could have been slightly more detailed in terms of how they balanced the workload after the immediate crisis, or how they ensured the client’s satisfaction beyond just rescheduling. Overall, the content was strong, relevant, and coherent, but there is room for a bit more depth in reflection or strategy.   Rating: 6"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-commitment-challenge-disf.wav,"So, earlier this year, I committed to finishing a client report by Thursday for a Friday meeting. But, on Wednesday,um.. my manager needed help with an urgent compliance request that had a same-day deadline. I realized I couldn't do both well. So... I talked to my manager about prioritizing the compliance issue, and then I reached out to the client directly... just to let them know the report would be a day late. I apologized, and, uh... we rescheduled the meeting to Monday. The client appreciated the heads-up, and I got the report to them Friday afternoon.I learned it's way better to communicate early when priorities shift rather than… just missing a deadline?",Personal-Commitment,delivery,Personal-Commitment,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when you struggled to keep a commitment you made due to other important priorities.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, compare the candidate's speech delivery to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",ideal,gpt-4o-audio-preview,"The candidate's vocal presentation was clear and easy to understand, with good articulation throughout the response. The pacing was steady and natural, without rushing or dragging, which made the story flow smoothly. The tone conveyed a sense of calm confidence, though there were moments where the energy could have been slightly more engaging to fully capture the listener’s attention. Overall, the verbal fluency was strong, with minimal hesitation or filler words, and the candidate maintained a professional and composed delivery. With a bit more dynamic variation in tone and emphasis, the delivery could be even more engaging.   Rating: 6"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-finance-product-challenge-disf.wav,"I had a client who wanted to open a retirement account But, uh... didn't really understand the difference between a traditional IRA and a Roth IRA. So, I asked them some questions about their tax situation and timeline first, and then explained it as basically 'pay taxes now or pay taxes later. I used a simple example… with actual numbers just to show how each might work for them. And, actually, I made sure to mention I wasn't giving tax advice... just explaining the options. They had more questions, so, um... I walked through a comparison and suggested they talk to a tax professional too. They ended up opening a Roth and told me later they appreciated that I explained it clearly without pushing one option.",Financial-Product,content,Financial-Product,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when you had to explain a complex financial product or risk to a client.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, compare the candidate's content to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",ideal,gpt-4o-audio-preview,"The candidate provided a clear and organized response that directly addressed the question. They began by assessing the client's situation, which shows a thoughtful approach. The explanation of the difference between a traditional IRA and a Roth IRA was simplified into a relatable concept (""pay taxes now or pay taxes later""), which demonstrates an ability to break down complex financial products into understandable terms. The use of actual numbers and examples further enhanced clarity. The candidate also showed awareness of professional boundaries by mentioning they weren’t giving tax advice, which is important in client interactions. They encouraged the client to consult a tax professional, showing a balanced and responsible approach. The response was coherent, logically structured, and complete, covering the initial explanation, follow-up questions, and the final outcome. Overall, the content reflects a strong understanding of how to explain financial products to clients in a clear and client-focused manner.  Rating: 6"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-finance-product-challenge-disf.wav,"I had a client who wanted to open a retirement account But, uh... didn't really understand the difference between a traditional IRA and a Roth IRA. So, I asked them some questions about their tax situation and timeline first, and then explained it as basically 'pay taxes now or pay taxes later. I used a simple example… with actual numbers just to show how each might work for them. And, actually, I made sure to mention I wasn't giving tax advice... just explaining the options. They had more questions, so, um... I walked through a comparison and suggested they talk to a tax professional too. They ended up opening a Roth and told me later they appreciated that I explained it clearly without pushing one option.",Financial-Product,delivery,Financial-Product,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when you had to explain a complex financial product or risk to a client.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, compare the candidate's speech delivery to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",ideal,gpt-4o-audio-preview,"The candidate’s vocal presentation is clear and well-articulated, with each word being easy to understand. The pacing is steady, though slightly on the slower side, which helps in clarity but could be more dynamic to maintain engagement. The rhythm of speech is consistent, though there are a few filler words like ""uh"" and ""actually"" that slightly disrupt the flow. The tone conveys a moderate level of confidence, but there is room for improvement in terms of energy and enthusiasm to fully engage the listener. Overall, the verbal fluency is good, but a bit more polish in reducing filler words and adding a bit more variation in tone would enhance the delivery.  Rating: 5"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-consulting-client-challenge-disf.wav,"I had a client who wanted to put a lot of their portfolio in one tech stock, Mostly because they worked in that industry and felt confident about it. I recommended more diversification… based on their risk tolerance. But they pushed back,um…, because they felt they had good insight.Instead of just agreeing uh.., or arguing, I asked them to walk me through their thinking, so I could understand it better. Then we talked through some scenario…,like, for example, what would happen if that stock dropped? I acknowledged that they knew the industry well but explained diversification was really about managing risk. We ended up compromising…., they kept a bigger position than I suggested, but not as concentrated as they wanted. And, they appreciated that I listened.",Client-Disagreement,content,Client-Disagreement,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, compare the candidate's content to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",ideal,gpt-4o-audio-preview,"The candidate provided a clear and well-organized response that directly addressed the question. They described the situation in detail, including the client’s initial disagreement and the reasoning behind it. The candidate demonstrated strong problem-solving and interpersonal skills by seeking to understand the client’s perspective rather than simply insisting on their own recommendation. They also showed a good balance between acknowledging the client’s expertise and explaining the importance of diversification. The resolution was a compromise that respected the client’s wishes while still managing risk, which indicates a mature and thoughtful approach. The response was coherent, logically structured, and complete, covering the situation, action, and result effectively. Overall, the content reflects a high level of competence.  Rating: 6"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-consulting-client-challenge-disf.wav,"I had a client who wanted to put a lot of their portfolio in one tech stock, Mostly because they worked in that industry and felt confident about it. I recommended more diversification… based on their risk tolerance. But they pushed back,um…, because they felt they had good insight.Instead of just agreeing uh.., or arguing, I asked them to walk me through their thinking, so I could understand it better. Then we talked through some scenario…,like, for example, what would happen if that stock dropped? I acknowledged that they knew the industry well but explained diversification was really about managing risk. We ended up compromising…., they kept a bigger position than I suggested, but not as concentrated as they wanted. And, they appreciated that I listened.",Client-Disagreement,delivery,Client-Disagreement,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, compare the candidate's speech delivery to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",ideal,gpt-4o-audio-preview,"The candidate's vocal presentation was clear and well-articulated, with each word being easy to understand. The pacing was steady and natural, without rushing or dragging, which made the response easy to follow. The rhythm of speech was smooth, and there were no noticeable hesitations or filler words, indicating good verbal fluency. The tone conveyed confidence and engagement, showing that the candidate was comfortable and in control of their delivery. Overall, the candidate's vocal delivery was polished and professional, closely resembling that of an ideal employee in terms of clarity, pacing, and confidence.  Rating: 6"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-self-introduction.wav,"I graduated about three years ago and I've been working in customer service and client-facing roles since then. Most recently I was at a financial services firm helping onboard clients and answer their questions about accounts. I really enjoy being that connection between the technical side and clients—helping people understand their options. I think I'm a strong candidate because I have solid experience with customers, I'm getting more familiar with financial products, and I'm pretty detail-oriented which helps me catch mistakes early. I'm looking to take on more responsibility in this kind of role.",Personal-Introduction,content,Personal-Introduction,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about yourself: your background, key experiences, and what makes you a strong candidate for this role.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, compare the candidate's content to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",ideal,gpt-4o-audio-preview,"The candidate provides a clear and organized overview of their background, focusing on relevant experience in customer service and client-facing roles, particularly in financial services. They effectively highlight their enjoyment of bridging technical and client needs, which is a valuable skill for many roles. However, the response could be more specific by including concrete examples of achievements or challenges they’ve overcome, which would strengthen their case. Additionally, while they mention being detail-oriented and wanting more responsibility, they could elaborate on how these traits have positively impacted their previous roles. Overall, the response is solid but could benefit from more depth and specificity to fully demonstrate their strengths and potential.   Rating: 5"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-self-introduction.wav,"I graduated about three years ago and I've been working in customer service and client-facing roles since then. Most recently I was at a financial services firm helping onboard clients and answer their questions about accounts. I really enjoy being that connection between the technical side and clients—helping people understand their options. I think I'm a strong candidate because I have solid experience with customers, I'm getting more familiar with financial products, and I'm pretty detail-oriented which helps me catch mistakes early. I'm looking to take on more responsibility in this kind of role.",Personal-Introduction,delivery,Personal-Introduction,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about yourself: your background, key experiences, and what makes you a strong candidate for this role.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, compare the candidate's speech delivery to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",ideal,gpt-4o-audio-preview,"The candidate's vocal presentation is clear and articulate, with minimal hesitation or filler words, which indicates good verbal fluency. The pacing is steady and easy to follow, though slightly on the slower side, which may reduce the sense of energy or urgency. The tone is calm and professional, but could benefit from more variation to convey greater enthusiasm and engagement. Overall, the candidate sounds confident, though not exceptionally dynamic. With a bit more energy and modulation in tone, they could better capture attention and convey stronger passion for the role.   Rating: 5"
