file_path,category,speaker_name_from_file,name,consent_18_plus,data_sharing_consent,age_range,english_acquired_location,native_language,other_languages,age_learned_english,countries_lived,gender,uw_affiliation,recording_device,language_background_notes,accent_nationality_origin,audio_quality_rating,quality_notes,prompt_type,script_type,prompt,model_version,model_output
client-disagreement/cd - speaker_01.wav,client-disagreement,speaker_01,speaker_01,Yes,Yes,18-24,Nigeria,"Yoruba, English",,native,Nigeria,male,No,samsung (mobile),,Nigerian,7.0,"clear audio but consistent white noise in the background, speaker does sound more timid in recording",critical,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, help the candidate improve their response content by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gpt-audio-1.5,"{""analysis"": ""The candidate's response is clear and well-organized, directly addressing the question by describing a specific situation where a client disagreed with their recommendation. They explain the context, the client's perspective, and their own recommendation, then detail the steps they took to understand the client's reasoning and to collaboratively explore potential outcomes. The candidate demonstrates good listening skills, a willingness to engage in dialogue, and a focus on risk management. The resolution is described, showing a compromise that satisfied both parties. To improve, the candidate could provide more detail on the specific scenarios discussed and the rationale behind the final compromise, as well as any lessons learned from the experience. Overall, the response is coherent, relevant, and complete, but could benefit from deeper reflection on the outcome and its impact on future interactions. Rating: 6""}"
client-disagreement/cd - speaker_01.wav,client-disagreement,speaker_01,speaker_01,Yes,Yes,18-24,Nigeria,"Yoruba, English",,native,Nigeria,male,No,samsung (mobile),,Nigerian,7.0,"clear audio but consistent white noise in the background, speaker does sound more timid in recording",critical,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, help the candidate improve their response delivery by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gpt-audio-1.5,"{""analysis"": ""The candidate's vocal clarity and articulation were generally understandable, though there were moments where the speech felt slightly hesitant. The pacing was somewhat slow, which may have been intentional to ensure clarity, but it occasionally disrupted the rhythm of the response. The tone conveyed a moderate level of confidence, though there were instances where the engagement could have been stronger to maintain listener interest. Overall verbal fluency was adequate, but there were pauses and a few stumbles that could be smoothed out with practice. To improve, the candidate could work on maintaining a more consistent pace, practicing articulation to reduce hesitations, and injecting more energy into their tone to convey greater confidence and engagement. Rating: 4""}"
client-disagreement/cd - speaker_02.wav,client-disagreement,speaker_02,speaker_02,Yes,Yes,18-24,Poland,Polish&English,Italian,native,"Poland, Scotland",Male,No,Windows (PC),"Born in Poland, grew up bilingual, living in Scotland for the past 6 years.",British,9.0,"clear voice, slight white noise",critical,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, help the candidate improve their response content by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gpt-audio-1.5,"{""analysis"": ""The candidate's response is clear and well-organized, directly addressing the question by describing a specific situation where a client disagreed with their recommendation. They provide context about the client's desire to invest heavily in one tech stock and their own recommendation for diversification. The candidate explains how they handled the disagreement by engaging the client in a discussion to understand their perspective, walking through potential scenarios, and ultimately reaching a compromise. The logical flow is coherent, and the answer is complete, covering the initial disagreement, the process of handling it, and the outcome. To improve, the candidate could add more detail about the specific steps taken to reach the compromise and any follow-up actions to ensure the client's satisfaction. Overall, the response demonstrates a solid approach to client management and conflict resolution. Rating: 6""}"
client-disagreement/cd - speaker_02.wav,client-disagreement,speaker_02,speaker_02,Yes,Yes,18-24,Poland,Polish&English,Italian,native,"Poland, Scotland",Male,No,Windows (PC),"Born in Poland, grew up bilingual, living in Scotland for the past 6 years.",British,9.0,"clear voice, slight white noise",critical,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, help the candidate improve their response delivery by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gpt-audio-1.5,"{""analysis"": ""The candidate's vocal clarity and articulation were generally good, with words being clearly enunciated and easy to understand. The pacing was steady, though slightly on the slower side, which helped in maintaining clarity but could be more dynamic to keep engagement high. The rhythm of speech was consistent, but there were moments where a bit more variation in tone could have conveyed greater confidence and engagement. Overall, the tone was calm and professional, though it could benefit from a bit more energy to convey enthusiasm. Verbal fluency was strong, with minimal filler words and smooth transitions between points. To improve, the candidate could work on adding more vocal variety and slightly increasing the pace to convey more confidence and engagement. Rating: 5""}"
client-disagreement/cd - speaker_09.wav,client-disagreement,speaker_09,speaker_09,Yes,Yes,25-34,Nigeria ,Yoruba,English,3,United states,female,No,iphone (mobile),,Nigerian,10.0,"clear audio, no noise, small minor mistakes",critical,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, help the candidate improve their response content by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gpt-audio-1.5,"{""analysis"": ""The candidate's response is clear and well-organized, directly addressing the question by describing a specific situation where a client disagreed with their recommendation. They provide context about the client's reasoning, their own recommendation, and the steps they took to understand the client's perspective. The candidate demonstrates a logical flow by explaining how they engaged the client in a discussion, explored scenarios, and ultimately reached a compromise. The answer is relevant and complete, showing both empathy and professional judgment. To improve, the candidate could add more detail about the outcome of the compromise, such as how the portfolio performed or how the client relationship evolved, to further illustrate the effectiveness of their approach. Rating: 6""}"
client-disagreement/cd - speaker_09.wav,client-disagreement,speaker_09,speaker_09,Yes,Yes,25-34,Nigeria ,Yoruba,English,3,United states,female,No,iphone (mobile),,Nigerian,10.0,"clear audio, no noise, small minor mistakes",critical,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, help the candidate improve their response delivery by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gpt-audio-1.5,"{""analysis"": ""The candidate's vocal clarity and articulation were generally good, with words being clearly enunciated and easy to understand. The pacing was steady, though there were moments where the rhythm could have been more dynamic to maintain engagement. The tone conveyed a moderate level of confidence, but there was room for more energy and enthusiasm to better engage the listener. Overall verbal fluency was solid, with minimal filler words, but the delivery could benefit from more variation in pitch and emphasis to highlight key points and maintain interest. Rating: 5""}"
client-disagreement/cd - speaker_03.wav,client-disagreement,speaker_03,speaker_03,Yes,Yes,18-24,India,Odia,"Hindi, Bengali, English",3,India,female,No,Macbook (PC),,Indian,10.0,"clear audio, no noise.",critical,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, help the candidate improve their response content by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gpt-audio-1.5,"{""analysis"": ""The candidate provides a clear and relevant example of a client disagreement, demonstrating a logical flow by explaining the client's initial position, their own recommendation, and the steps taken to reach a compromise. They show good listening skills by asking the client to explain their reasoning, and they effectively communicate the importance of diversification and risk management. The response is coherent and complete, covering the initial conflict, the process of discussion, and the resolution. However, the candidate could improve by providing more detail on the specific scenarios discussed and how they influenced the final decision, as well as reflecting on what they learned from the experience. Overall, the response is strong but could benefit from deeper insight into the decision-making process. Rating: 6""}"
client-disagreement/cd - speaker_03.wav,client-disagreement,speaker_03,speaker_03,Yes,Yes,18-24,India,Odia,"Hindi, Bengali, English",3,India,female,No,Macbook (PC),,Indian,10.0,"clear audio, no noise.",critical,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, help the candidate improve their response delivery by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gpt-audio-1.5,"{""analysis"": ""The candidate's vocal presentation was generally clear and articulate, with a steady pacing that made it easy to follow their narrative. However, there were moments where the rhythm of speech felt slightly monotone, which could be improved by varying intonation to convey more engagement. The confidence in their tone was moderate, but there were instances where they could have sounded more assertive to enhance the perception of authority. Overall, the verbal fluency was good, with minimal filler words, but adding more dynamic emphasis could make the delivery more compelling. Rating: 5""}"
client-disagreement/cd - speaker_04.wav,client-disagreement,speaker_04,speaker_04,Yes,Yes,18-24,Indian School System,Marathi,Hindi,4,India,female,No,Macbook (PC),,Indian,10.0,"clear audio, no noise.",critical,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, help the candidate improve their response content by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gpt-audio-1.5,"{""analysis"": ""The candidate's response is clear and well-organized, directly addressing the question by describing a specific situation where a client disagreed with their recommendation. They provide context about the client's desire to invest heavily in a single stock and their own recommendation for diversification. The candidate explains how they handled the disagreement by engaging the client in a discussion to understand their perspective, walking through potential scenarios, and ultimately reaching a compromise. The response demonstrates a logical flow, showing the steps taken to resolve the disagreement and the outcome. However, the candidate could improve by providing more detail on the specific scenarios discussed and how they quantified the risk, as well as reflecting on what they learned from the experience. Overall, the answer is coherent and complete, but could benefit from deeper insights and more concrete examples. Rating: 5""}"
client-disagreement/cd - speaker_04.wav,client-disagreement,speaker_04,speaker_04,Yes,Yes,18-24,Indian School System,Marathi,Hindi,4,India,female,No,Macbook (PC),,Indian,10.0,"clear audio, no noise.",critical,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, help the candidate improve their response delivery by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gpt-audio-1.5,"{""analysis"": ""The candidate's vocal presentation was clear and articulate, with a steady pacing that made it easy to follow their narrative. Their rhythm of speech was consistent, though there were moments where a slight variation in tone could have added more engagement. The candidate's tone conveyed confidence, but there was room for more dynamic inflection to emphasize key points and maintain listener interest. Overall, their verbal fluency was strong, with minimal filler words and smooth transitions between ideas. To improve, the candidate could work on adding more vocal variety and energy to enhance engagement and ensure their delivery is as compelling as their content. Rating: 5""}"
