speaker_name,gender,voice_id,accent,language,script_filename,script_text,category,script_type,category,script_type,prompt,prompt_type,model_version,model_output
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-self-introduction-disf.wav,"Uh... I graduated about three years ago? And I've been working in customer service and client-facing roles since then. Most recently, actually, I was at a financial services firm... helping onboard clients and, um, answer their questions about accounts. I really enjoy being that connection between the technical side and clients, uh, just helping people understand their options. I think I'm a strong candidate because I have solid experience with customers,... well, I'm getting more familiar with financial products, and I'm pretty detail-oriented, which helps me catch mistakes early. So, yeah I'm really looking to take on more responsibility in this kind of role.",Personal-Introduction,content,Personal-Introduction,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about yourself: your background, key experiences, and what makes you a strong candidate for this role.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, compare the candidate's content to that of a native English speaker, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",native,gemini-2.5-pro,"The candidate provides a clear and logically structured response that follows a standard chronological format: background, recent experience, and then a summary of their qualifications. The answer is relevant, directly addressing their experience in customer service and a financial services firm, which seems appropriate for the implied role. They effectively communicate their motivation, enjoying the role of being a ""connection"" between technical aspects and clients. However, compared to a more polished, expert-level response, the content lacks impact and specificity. Phrases like ""pretty detail-oriented"" are conversational, and the statement about ""getting more familiar with financial products"" frames a key skill as a work-in-progress rather than a confident strength. A stronger answer would have included a specific accomplishment or metric (e.g., ""I helped onboard X clients"" or ""my attention to detail reduced errors by Y%"") and would have framed their product knowledge more positively to build greater confidence.  Rating: 4"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-self-introduction-disf.wav,"Uh... I graduated about three years ago? And I've been working in customer service and client-facing roles since then. Most recently, actually, I was at a financial services firm... helping onboard clients and, um, answer their questions about accounts. I really enjoy being that connection between the technical side and clients, uh, just helping people understand their options. I think I'm a strong candidate because I have solid experience with customers,... well, I'm getting more familiar with financial products, and I'm pretty detail-oriented, which helps me catch mistakes early. So, yeah I'm really looking to take on more responsibility in this kind of role.",Personal-Introduction,delivery,Personal-Introduction,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about yourself: your background, key experiences, and what makes you a strong candidate for this role.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, compare the candidate's speech delivery to that of a native English speaker, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",native,gemini-2.5-pro,"The candidate's vocal presentation is developing but shows significant room for improvement when compared to a fluent native speaker. While their articulation is generally clear enough to be understood, their speech is marked by frequent hesitations, filler words (""uh,"" ""um""), and an uneven, stop-and-start pacing that disrupts the overall flow. This lack of rhythm makes the delivery sound uncertain and detracts from a confident and engaging tone; the intonation is quite flat and lacks the vocal variety that would emphasize key points and hold a listener's attention. The overall verbal fluency is low due to these disfluencies, which gives the impression that the candidate is struggling to formulate their thoughts in real-time rather than speaking from a place of confidence and preparation.  Rating: 3"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-commitment-challenge-disf.wav,"So, earlier this year, I committed to finishing a client report by Thursday for a Friday meeting. But, on Wednesday,um.. my manager needed help with an urgent compliance request that had a same-day deadline. I realized I couldn't do both well. So... I talked to my manager about prioritizing the compliance issue, and then I reached out to the client directly... just to let them know the report would be a day late. I apologized, and, uh... we rescheduled the meeting to Monday. The client appreciated the heads-up, and I got the report to them Friday afternoon.I learned it's way better to communicate early when priorities shift rather than… just missing a deadline?",Personal-Commitment,content,Personal-Commitment,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when you struggled to keep a commitment you made due to other important priorities.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, compare the candidate's content to that of a native English speaker, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",native,gemini-2.5-pro,"The candidate provides an excellent, well-structured response that effectively uses the STAR method (Situation, Task, Action, Result) to answer the question. The example is highly relevant, clearly outlining a conflict between a client commitment and an urgent internal priority. The candidate demonstrates strong problem-solving and communication skills by first assessing the situation, confirming priorities with their manager, and then proactively reaching out to the client to manage their expectations. This approach shows accountability and professionalism rather than making excuses. The answer is complete, detailing the positive outcome—the client's appreciation for the communication—and concludes with a valuable, concise learning, which is a hallmark of an expert-level response. The content is precisely what a native English-speaking professional would be expected to deliver in a similar interview setting.  Rating: 7"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-commitment-challenge-disf.wav,"So, earlier this year, I committed to finishing a client report by Thursday for a Friday meeting. But, on Wednesday,um.. my manager needed help with an urgent compliance request that had a same-day deadline. I realized I couldn't do both well. So... I talked to my manager about prioritizing the compliance issue, and then I reached out to the client directly... just to let them know the report would be a day late. I apologized, and, uh... we rescheduled the meeting to Monday. The client appreciated the heads-up, and I got the report to them Friday afternoon.I learned it's way better to communicate early when priorities shift rather than… just missing a deadline?",Personal-Commitment,delivery,Personal-Commitment,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when you struggled to keep a commitment you made due to other important priorities.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, compare the candidate's speech delivery to that of a native English speaker, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",native,gemini-2.5-pro,"The candidate's vocal delivery is clear and their articulation is generally good, making the response easy to understand. However, the pacing is slow and deliberate, with several unnatural pauses and hesitations that disrupt the rhythm and flow of the speech. This choppiness, combined with a somewhat monotonous tone that lacks vocal inflection, makes the speaker sound hesitant and less confident than a native speaker would in a similar situation. While there are few filler words, the overall verbal fluency is impacted by the stilted cadence, suggesting the speaker is carefully constructing sentences rather than speaking conversationally and spontaneously.  Rating: 4"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-finance-product-challenge-disf.wav,"I had a client who wanted to open a retirement account But, uh... didn't really understand the difference between a traditional IRA and a Roth IRA. So, I asked them some questions about their tax situation and timeline first, and then explained it as basically 'pay taxes now or pay taxes later. I used a simple example… with actual numbers just to show how each might work for them. And, actually, I made sure to mention I wasn't giving tax advice... just explaining the options. They had more questions, so, um... I walked through a comparison and suggested they talk to a tax professional too. They ended up opening a Roth and told me later they appreciated that I explained it clearly without pushing one option.",Financial-Product,content,Financial-Product,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when you had to explain a complex financial product or risk to a client.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, compare the candidate's content to that of a native English speaker, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",native,gemini-2.5-pro,"The candidate provides a well-structured and highly effective response that is comparable to what a proficient native English speaker would deliver. They use a clear STAR (Situation, Task, Action, Result) format, starting with the client's need and lack of understanding. The actions taken are logical and client-focused: first asking questions to understand the client's context, then simplifying the core difference to an easily digestible concept (""pay taxes now or pay taxes later""). Using a specific example with numbers is an excellent technique to make the abstract concrete. Crucially, the candidate demonstrates professional responsibility and an understanding of compliance by clarifying they were not giving tax advice and suggesting the client consult a tax professional. The answer is complete, concluding with a positive outcome where the client felt empowered and appreciated the clear, unbiased explanation. The logic, relevance, and completeness of the content are all very strong.  Rating: 6"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-finance-product-challenge-disf.wav,"I had a client who wanted to open a retirement account But, uh... didn't really understand the difference between a traditional IRA and a Roth IRA. So, I asked them some questions about their tax situation and timeline first, and then explained it as basically 'pay taxes now or pay taxes later. I used a simple example… with actual numbers just to show how each might work for them. And, actually, I made sure to mention I wasn't giving tax advice... just explaining the options. They had more questions, so, um... I walked through a comparison and suggested they talk to a tax professional too. They ended up opening a Roth and told me later they appreciated that I explained it clearly without pushing one option.",Financial-Product,delivery,Financial-Product,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when you had to explain a complex financial product or risk to a client.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, compare the candidate's speech delivery to that of a native English speaker, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",native,gemini-2.5-pro,"The candidate's vocal presentation is generally clear and understandable, but it lacks the fluency and natural rhythm of a native English speaker. The pacing is slow and somewhat stilted, with frequent, unnatural pauses that break sentences into small, disjointed fragments (e.g., ""...but uh... didn't really understand...""). This choppy rhythm, combined with occasional filler words like ""uh"" and ""um,"" detracts from overall verbal fluency. While articulation is adequate, the tone is quite monotonous and lacks the vocal variety and intonation that would convey confidence and engagement. The delivery gives the impression of someone carefully constructing each phrase rather than speaking spontaneously and fluidly.  Rating: 3"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-consulting-client-challenge-disf.wav,"I had a client who wanted to put a lot of their portfolio in one tech stock, Mostly because they worked in that industry and felt confident about it. I recommended more diversification… based on their risk tolerance. But they pushed back,um…, because they felt they had good insight.Instead of just agreeing uh.., or arguing, I asked them to walk me through their thinking, so I could understand it better. Then we talked through some scenario…,like, for example, what would happen if that stock dropped? I acknowledged that they knew the industry well but explained diversification was really about managing risk. We ended up compromising…., they kept a bigger position than I suggested, but not as concentrated as they wanted. And, they appreciated that I listened.",Client-Disagreement,content,Client-Disagreement,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, compare the candidate's content to that of a native English speaker, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",native,gemini-2.5-pro,"The candidate provides an exemplary response that is clear, well-structured, and highly relevant to the question. It perfectly follows the STAR (Situation, Task, Action, Result) method, which is the gold standard for behavioral questions. The candidate clearly outlines the situation (a client wanting to over-concentrate in one stock), their action (recommending diversification), the client's disagreement, and the specific, thoughtful steps taken to resolve it. Instead of simply arguing, the candidate demonstrated a sophisticated approach by first seeking to understand the client's perspective (""walk me through your thinking""), validating their expertise, and then collaboratively exploring potential negative scenarios. This reframing of the issue from ""who is right"" to ""how do we manage risk"" is a sign of an expert communicator. The outcome is also ideal: a compromise was reached that satisfied the client while still adhering to sound professional principles, and the relationship was strengthened. The substance and logical flow of this answer are on par with, or even superior to, what would be expected from a highly competent native English-speaking professional.  Rating: 7"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-consulting-client-challenge-disf.wav,"I had a client who wanted to put a lot of their portfolio in one tech stock, Mostly because they worked in that industry and felt confident about it. I recommended more diversification… based on their risk tolerance. But they pushed back,um…, because they felt they had good insight.Instead of just agreeing uh.., or arguing, I asked them to walk me through their thinking, so I could understand it better. Then we talked through some scenario…,like, for example, what would happen if that stock dropped? I acknowledged that they knew the industry well but explained diversification was really about managing risk. We ended up compromising…., they kept a bigger position than I suggested, but not as concentrated as they wanted. And, they appreciated that I listened.",Client-Disagreement,delivery,Client-Disagreement,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, compare the candidate's speech delivery to that of a native English speaker, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",native,gemini-2.5-pro,"The candidate's vocal delivery is understandable, but it lacks the natural rhythm and confidence of a native English speaker. While the articulation of individual words is mostly clear, the overall pacing is hesitant and choppy, with unnatural pauses that disrupt the narrative flow (e.g., the pauses around ""um"" and ""uh""). The tone is quite monotonous and lacks vocal modulation, which makes the speaker sound less engaged and confident in their story. This flat intonation, combined with the deliberate and sometimes halting pace, results in a delivery that is functional but not particularly fluent or persuasive.  Rating: 4"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-self-introduction.wav,"I graduated about three years ago and I've been working in customer service and client-facing roles since then. Most recently I was at a financial services firm helping onboard clients and answer their questions about accounts. I really enjoy being that connection between the technical side and clients—helping people understand their options. I think I'm a strong candidate because I have solid experience with customers, I'm getting more familiar with financial products, and I'm pretty detail-oriented which helps me catch mistakes early. I'm looking to take on more responsibility in this kind of role.",Personal-Introduction,content,Personal-Introduction,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about yourself: your background, key experiences, and what makes you a strong candidate for this role.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, compare the candidate's content to that of a native English speaker, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",native,gemini-2.5-pro,"The candidate provides a clear and logically structured response that directly addresses the question's components: background, experience, and suitability for the role. The flow is coherent, moving from past graduation to recent work and future aspirations. However, the content lacks the depth and specificity expected of an expert-level candidate. A strong native speaker would typically substantiate claims like being ""detail-oriented"" or having ""solid experience"" with brief, concrete examples or metrics (e.g., ""I caught an error that saved X amount of time""). The descriptions of the previous role (""a financial services firm"") and skills are too general. To improve, the candidate should incorporate specific achievements and quantify their impact, effectively showing their value rather than just stating it. The answer is a good foundation but remains on the surface.  Rating: 4"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-self-introduction.wav,"I graduated about three years ago and I've been working in customer service and client-facing roles since then. Most recently I was at a financial services firm helping onboard clients and answer their questions about accounts. I really enjoy being that connection between the technical side and clients—helping people understand their options. I think I'm a strong candidate because I have solid experience with customers, I'm getting more familiar with financial products, and I'm pretty detail-oriented which helps me catch mistakes early. I'm looking to take on more responsibility in this kind of role.",Personal-Introduction,delivery,Personal-Introduction,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about yourself: your background, key experiences, and what makes you a strong candidate for this role.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, compare the candidate's speech delivery to that of a native English speaker, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",native,gemini-2.5-pro,"The candidate's speech is generally clear and articulate, making them easy to understand. However, the vocal delivery lacks the natural flow and rhythm of a native speaker. The pacing is slow and deliberate, with some unnatural pauses that suggest the speaker is carefully choosing their words rather than speaking spontaneously. Furthermore, the tone is quite monotonous and lacks vocal inflection, which reduces the sense of engagement and confidence. While the verbal fluency is functional, the combination of a choppy rhythm and a flat tone makes the presentation sound rehearsed and less impactful than it could be.  Rating: 4"
