speaker_name,gender,voice_id,accent,language,script_filename,script_text,category,script_type,category,script_type,prompt,prompt_type,model_version,model_output
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-self-introduction-disf.wav,"Uh... I graduated about three years ago? And I've been working in customer service and client-facing roles since then. Most recently, actually, I was at a financial services firm... helping onboard clients and, um, answer their questions about accounts. I really enjoy being that connection between the technical side and clients, uh, just helping people understand their options. I think I'm a strong candidate because I have solid experience with customers,... well, I'm getting more familiar with financial products, and I'm pretty detail-oriented, which helps me catch mistakes early. So, yeah I'm really looking to take on more responsibility in this kind of role.",Personal-Introduction,content,Personal-Introduction,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about yourself: your background, key experiences, and what makes you a strong candidate for this role.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, help the candidate improve their response content by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",critical,gpt-audio-1.5,"{""analysis"": ""The candidate provides a basic overview of their background, mentioning their graduation timeline and experience in customer service and client-facing roles, particularly in a financial services firm. They highlight their enjoyment of bridging the technical and client sides and mention their familiarity with financial products and attention to detail. However, the response could be improved by offering more specific examples of achievements or challenges overcome, demonstrating how their skills directly align with the role they are applying for, and providing a clearer narrative that ties their experiences together. The answer lacks depth in terms of key experiences and does not fully articulate what makes them uniquely suited for the role beyond general statements. Adding more concrete details and a stronger conclusion would enhance the overall coherence and completeness of the response. Rating: 4""}"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-self-introduction-disf.wav,"Uh... I graduated about three years ago? And I've been working in customer service and client-facing roles since then. Most recently, actually, I was at a financial services firm... helping onboard clients and, um, answer their questions about accounts. I really enjoy being that connection between the technical side and clients, uh, just helping people understand their options. I think I'm a strong candidate because I have solid experience with customers,... well, I'm getting more familiar with financial products, and I'm pretty detail-oriented, which helps me catch mistakes early. So, yeah I'm really looking to take on more responsibility in this kind of role.",Personal-Introduction,delivery,Personal-Introduction,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about yourself: your background, key experiences, and what makes you a strong candidate for this role.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, help the candidate improve their response delivery by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",critical,gpt-audio-1.5,"{""analysis"": ""The candidate's vocal clarity and articulation were generally good, though there were moments where the speech became slightly hesitant, particularly when transitioning between points. The pacing was mostly steady, but there were a few pauses that felt more like searching for words rather than intentional breaks. The tone conveyed a moderate level of confidence, but there was room for more energy and engagement to make the delivery more compelling. Overall verbal fluency was decent, but the candidate could benefit from practicing to reduce filler words and hesitations. To improve, the candidate should focus on maintaining a consistent pace, practicing transitions between ideas, and injecting more enthusiasm into their tone to convey confidence and engagement. Rating: 4""}"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-commitment-challenge-disf.wav,"So, earlier this year, I committed to finishing a client report by Thursday for a Friday meeting. But, on Wednesday,um.. my manager needed help with an urgent compliance request that had a same-day deadline. I realized I couldn't do both well. So... I talked to my manager about prioritizing the compliance issue, and then I reached out to the client directly... just to let them know the report would be a day late. I apologized, and, uh... we rescheduled the meeting to Monday. The client appreciated the heads-up, and I got the report to them Friday afternoon.I learned it's way better to communicate early when priorities shift rather than… just missing a deadline?",Personal-Commitment,delivery,Personal-Commitment,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when you struggled to keep a commitment you made due to other important priorities.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, help the candidate improve their response delivery by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",critical,gpt-audio-1.5,"{""analysis"": ""The candidate's vocal clarity and articulation were generally good, with words being clearly enunciated and easy to understand. The pacing was steady, though slightly on the slower side, which helped in comprehension but could be more dynamic to maintain engagement. The rhythm of speech was consistent, but there were moments where the tone felt somewhat flat, which could be improved by varying intonation to convey more confidence and engagement. Overall verbal fluency was solid, with minimal filler words and smooth transitions between thoughts. To improve, the candidate could work on injecting more energy and variation into their tone to better engage the listener and convey confidence. Rating: 5""}"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-finance-product-challenge-disf.wav,"I had a client who wanted to open a retirement account But, uh... didn't really understand the difference between a traditional IRA and a Roth IRA. So, I asked them some questions about their tax situation and timeline first, and then explained it as basically 'pay taxes now or pay taxes later. I used a simple example… with actual numbers just to show how each might work for them. And, actually, I made sure to mention I wasn't giving tax advice... just explaining the options. They had more questions, so, um... I walked through a comparison and suggested they talk to a tax professional too. They ended up opening a Roth and told me later they appreciated that I explained it clearly without pushing one option.",Financial-Product,content,Financial-Product,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when you had to explain a complex financial product or risk to a client.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, help the candidate improve their response content by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",critical,gpt-audio-1.5,"{""analysis"": ""The candidate's response is clear and organized, directly addressing the question by describing a specific scenario where they explained the difference between a traditional IRA and a Roth IRA to a client. They demonstrated an understanding of the client's needs by asking about their tax situation and timeline, and they simplified the explanation by framing it as 'pay taxes now or pay taxes later.' The use of actual numbers to illustrate the options adds depth to the explanation, and the candidate appropriately noted that they were not providing tax advice, which shows awareness of professional boundaries. The response could be improved by providing more detail on the specific numbers used in the example and how they tailored the explanation to the client's unique situation. Additionally, mentioning the outcome of the client's decision and their appreciation adds a positive conclusion, but the candidate could further enhance the response by reflecting on what they learned from the experience or how they might handle similar situations in the future. Overall, the response is coherent, relevant, and complete, but there is room for more depth and reflection. Rating: 5""}"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-finance-product-challenge-disf.wav,"I had a client who wanted to open a retirement account But, uh... didn't really understand the difference between a traditional IRA and a Roth IRA. So, I asked them some questions about their tax situation and timeline first, and then explained it as basically 'pay taxes now or pay taxes later. I used a simple example… with actual numbers just to show how each might work for them. And, actually, I made sure to mention I wasn't giving tax advice... just explaining the options. They had more questions, so, um... I walked through a comparison and suggested they talk to a tax professional too. They ended up opening a Roth and told me later they appreciated that I explained it clearly without pushing one option.",Financial-Product,delivery,Financial-Product,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when you had to explain a complex financial product or risk to a client.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, help the candidate improve their response delivery by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",critical,gpt-audio-1.5,"{""analysis"": ""The candidate's vocal clarity and articulation were generally good, with words being clearly enunciated and easy to understand. The pacing was steady, though there were a few moments where the speech slowed down slightly, which could be improved by maintaining a more consistent rhythm. The tone conveyed a moderate level of confidence and engagement, but there were occasional hesitations that slightly detracted from the overall fluency. To improve, the candidate could work on reducing filler words and maintaining a more dynamic tone to keep the listener fully engaged. Overall, the verbal fluency was solid, but there is room for improvement in maintaining consistent pacing and confidence throughout the response."", ""rating"": 5}"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-consulting-client-challenge-disf.wav,"I had a client who wanted to put a lot of their portfolio in one tech stock, Mostly because they worked in that industry and felt confident about it. I recommended more diversification… based on their risk tolerance. But they pushed back,um…, because they felt they had good insight.Instead of just agreeing uh.., or arguing, I asked them to walk me through their thinking, so I could understand it better. Then we talked through some scenario…,like, for example, what would happen if that stock dropped? I acknowledged that they knew the industry well but explained diversification was really about managing risk. We ended up compromising…., they kept a bigger position than I suggested, but not as concentrated as they wanted. And, they appreciated that I listened.",Client-Disagreement,content,Client-Disagreement,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, help the candidate improve their response content by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",critical,gpt-audio-1.5,"{""analysis"": ""The candidate provides a clear and organized response, detailing a specific situation where a client disagreed with their recommendation. They explain the context, the client's perspective, and their own approach to handling the disagreement. The candidate demonstrates active listening by asking the client to explain their reasoning, and they engage in a collaborative discussion to explore scenarios and risks. The resolution is described as a compromise, showing the candidate's ability to balance client preferences with professional advice. The response is relevant, coherent, and complete, addressing the question directly. To improve, the candidate could provide more detail on the specific steps taken to reach the compromise and any follow-up actions to ensure the client's satisfaction and understanding. Rating: 6""}"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-consulting-client-challenge-disf.wav,"I had a client who wanted to put a lot of their portfolio in one tech stock, Mostly because they worked in that industry and felt confident about it. I recommended more diversification… based on their risk tolerance. But they pushed back,um…, because they felt they had good insight.Instead of just agreeing uh.., or arguing, I asked them to walk me through their thinking, so I could understand it better. Then we talked through some scenario…,like, for example, what would happen if that stock dropped? I acknowledged that they knew the industry well but explained diversification was really about managing risk. We ended up compromising…., they kept a bigger position than I suggested, but not as concentrated as they wanted. And, they appreciated that I listened.",Client-Disagreement,delivery,Client-Disagreement,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, help the candidate improve their response delivery by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",critical,gpt-audio-1.5,"{""analysis"": ""The candidate's vocal clarity and articulation were generally good, with words being clearly enunciated and easy to understand. The pacing was steady, though there were moments where the rhythm felt slightly uneven, with occasional pauses that disrupted the flow. The tone conveyed a moderate level of confidence and engagement, but there were instances where the energy dipped, making the delivery feel less dynamic. Overall verbal fluency was solid, though there is room for improvement in maintaining a consistent rhythm and more engaging tone throughout. The candidate could benefit from practicing smoother transitions between thoughts and maintaining a more consistent level of enthusiasm to keep the listener engaged. Rating: 5""}"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-self-introduction.wav,"I graduated about three years ago and I've been working in customer service and client-facing roles since then. Most recently I was at a financial services firm helping onboard clients and answer their questions about accounts. I really enjoy being that connection between the technical side and clients—helping people understand their options. I think I'm a strong candidate because I have solid experience with customers, I'm getting more familiar with financial products, and I'm pretty detail-oriented which helps me catch mistakes early. I'm looking to take on more responsibility in this kind of role.",Personal-Introduction,content,Personal-Introduction,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about yourself: your background, key experiences, and what makes you a strong candidate for this role.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, help the candidate improve their response content by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",critical,gpt-audio-1.5,"{""analysis"": ""The candidate provides a clear overview of their background, highlighting three years of experience in customer service and client-facing roles, with a recent focus on financial services. They mention specific responsibilities such as onboarding clients and answering account-related questions, which demonstrates relevance to roles involving customer interaction. The candidate also articulates their enjoyment of bridging technical information and client understanding, which adds a personal touch to their narrative. They mention their growing familiarity with financial products and detail orientation, which are valuable traits. However, the response could be improved by providing more concrete examples of achievements or challenges overcome, and by explicitly connecting their skills and experiences to the specific requirements of the role they are applying for. Additionally, mentioning any relevant education or certifications would strengthen the completeness of the answer. Overall, the response is coherent and organized but could benefit from more depth and specificity. Rating: 5""}"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-commitment-challenge-disf.wav,"So, earlier this year, I committed to finishing a client report by Thursday for a Friday meeting. But, on Wednesday,um.. my manager needed help with an urgent compliance request that had a same-day deadline. I realized I couldn't do both well. So... I talked to my manager about prioritizing the compliance issue, and then I reached out to the client directly... just to let them know the report would be a day late. I apologized, and, uh... we rescheduled the meeting to Monday. The client appreciated the heads-up, and I got the report to them Friday afternoon.I learned it's way better to communicate early when priorities shift rather than… just missing a deadline?",Personal-Commitment,content,Personal-Commitment,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when you struggled to keep a commitment you made due to other important priorities.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, help the candidate improve their response content by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",critical,gpt-audio-1.5,"{""analysis"": ""The candidate's response is clear and well-organized, providing a specific example that directly addresses the question. They outline the situation, the conflict between priorities, the actions they took to resolve it, and the outcome. The logical flow is coherent, and the answer is complete, including a lesson learned. However, the response could be improved by adding more detail about the impact of their decision on both the compliance request and the client, as well as any follow-up steps taken to ensure future commitments are managed more effectively. Additionally, mentioning any tools or strategies they used to prioritize tasks could add depth to the answer. Overall, the response is strong but could benefit from a bit more depth and reflection. Rating: 6""}"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-self-introduction.wav,"I graduated about three years ago and I've been working in customer service and client-facing roles since then. Most recently I was at a financial services firm helping onboard clients and answer their questions about accounts. I really enjoy being that connection between the technical side and clients—helping people understand their options. I think I'm a strong candidate because I have solid experience with customers, I'm getting more familiar with financial products, and I'm pretty detail-oriented which helps me catch mistakes early. I'm looking to take on more responsibility in this kind of role.",Personal-Introduction,delivery,Personal-Introduction,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about yourself: your background, key experiences, and what makes you a strong candidate for this role.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, help the candidate improve their response delivery by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",critical,gpt-audio-1.5,"{""analysis"": ""The candidate's vocal clarity and articulation are generally good, with words being clearly enunciated and easy to understand. The pacing is steady, though it could benefit from a bit more variation to maintain listener engagement. The rhythm of speech is consistent, but there are moments where the delivery feels slightly monotone, which can affect the perceived confidence and engagement. The tone is calm and professional, but adding more energy and enthusiasm could enhance the overall impression. Verbal fluency is solid, with minimal filler words, though a bit more dynamic intonation would help convey confidence. Overall, the candidate presents well but could improve by injecting more variation in tone and pacing to keep the listener more engaged. Rating: 5""}"
