speaker_name,gender,voice_id,accent,language,audio_filename,category,script_type,prompt,model_version,model_output
Adam,male,s3TPKV1kjDlVtZbl4Ksh,American,English,read_aloud_1,read_aloud_1,content,"You will listen to the following audio recording of a candidate's English test response for a read aloud passage. You are scoring this recording for content by ensuring it exactly matches the control passage of: Once most animals reach adulthood, they stop growing. In contrast, even plants that are thousands of years old continue to grow new needles, add new wood, and produce cones and new flowers, almost as if parts of their bodies remained forever young. The secrets of plant growth are regions of tissue that can produce cells that later develop into specialized tissues. Start the score at 6, for every missing or incorrect word, subtract 1 until you reach 0. Your response must be ONLY a single digit from 0 to 6, nothing else. Please be critical as to help the candidate in the future.",qwen,6
Adam,male,s3TPKV1kjDlVtZbl4Ksh,American,English,read_aloud_1,read_aloud_1,fluency,"You will listen to the following audio recording of a candidate's English test response for a read aloud passage. You are scoring this recording for fluency from 0 (disfluent) to 5 (highly proficient) using the following rubric. 5 = Speech shows smooth rhythm and phrasing. There are no hesitations, repetitions, false starts or phonological simplifications. 4 = Speech has an acceptable rhythm with appropriate phrasing and word emphasis. There is no more than one hesitation, one repetition or a false start. There are no significant phonological simplifications. 3 = Speech is at an acceptable speed but may be uneven. There may be more than one hesitation, but most words are spoken in continuous phrases. There are few repetitions or false starts. There are no long pauses and speech does not sound staccato. 2 = Speech may be uneven or staccato. Speech (if >= 6 words) has at least one smooth three-word run, and no more than two or three hesitations, repetitions or false starts. There may be one long pause, but not two or more. 1 = Speech has irregular phrasing or sentence rhythm. Poor phrasing, staccato or syllabic timing, and/or multiple hesitations, repetitions, and/or false starts make spoken performance notably uneven or discontinuous. Long utterances may have one or two long pauses and inappropriate sentence-level word emphasis. 0 = Speech is slow and labored with little discernable phrase grouping, multiple hesitations, pauses, false starts, and/or major phonological simplifications. Most words are isolated, and there may be more than one long pause. Your response must be ONLY a single digit from 0 to 5, nothing else. Please be critical as to help the candidate in the future.",qwen,5
Adam,male,s3TPKV1kjDlVtZbl4Ksh,American,English,read_aloud_1,read_aloud_1,pronunciation,"You will listen to the following audio recording of a candidate's English test response for a read aloud passage. You are scoring this recording for pronunciation from 0 (non-English) to 5 (highly proficient) using the following rubric. 5 = All vowels and consonants are produced in a manner that is easily understood by regular speakers of the language. The speaker uses assimilation and deletions appropriate to continuous speech. Stress is placed correctly in all words and sentence-level stress is fully appropriate. 4 = Vowels and consonants are pronounced clearly and unambiguously. A few minor consonant, vowel or stress distortions do not affect intelligibility. All words are easily understandable. A few consonants or consonant sequences may be distorted. Stress is placed correctly on all common words, and sentence level stress is reasonable. 3 = Most vowels and consonants are pronounced correctly. Some consistent errors might make a few words unclear. A few consonants in certain contexts may be regularly distorted, omitted or mispronounced. Stress- dependent vowel reduction may occur on a few words. 2 = Some consonants and vowels are consistently mispronounced. At least 2/3 of speech is intelligible, but listeners might need to adjust to the accent. Some consonants are regularly omitted, and consonant sequences may be simplified. Stress may be placed incorrectly on some words or be unclear. 1 = Many consonants and vowels are mispronounced, resulting in a strong intrusive foreign accent. Listeners may have difficulty understanding about 1/3 of the words. Many consonants may be distorted or omitted. Consonant sequences may be non-English. Stress is placed in a non-English manner; unstressed words may be reduced or omitted, and a few syllables added or missed. 0 = Pronunciation seems completely characteristic of another language. Many consonants and vowels are mispronounced, mis-ordered or omitted. Listeners may find more than 1/2 of the speech unintelligible. Stressed and unstressed syllables are realized in a non-English manner. Several words may have the wrong number of syllables. Your response must be ONLY a single digit from 0 to 5, nothing else. Please be critical as to help the candidate in the future.",qwen,5
Adam,male,s3TPKV1kjDlVtZbl4Ksh,American,English,read_aloud_1,read_aloud_1,delivery,"You will listen to the following audio recording of a candidate's English test response for a read aloud passage. Please critically evaluate the candidate on a 0-6 scale (0=Very poor, 6=Excellent), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit from 0 to 6.",qwen,"The candidate demonstrates excellent vocal clarity, with precise articulation of all words, including more complex terms like ""specialized tissues"" and ""cones,"" ensuring the text is easily understood. Their pacing is natural and well-controlled, maintaining a moderate speed with appropriate pauses that enhance readability without sounding rushed or hesitant. The tone is confident and engaging, featuring subtle but effective inflections that convey the meaning of the passage, particularly in phrases like ""almost as if parts of their bodies remained forever young."" Overall, the delivery is highly fluent, with no noticeable stumbles, repetitions, or fillers, resulting in a smooth and professional read-aloud performance. Rating: 6"
Adam,male,s3TPKV1kjDlVtZbl4Ksh,American,English,read_aloud_2,read_aloud_2,content,"You will listen to the following audio recording of a candidate's English test response for a read aloud passage. You are scoring this recording for content by ensuring it exactly matches the control passage of: Clearly, times are changing and while many people are saving for their retirement, many more still need to do so. Most countries have a range of pension schemes that are designed to provide individuals with an income once they stop working. People need to take advantage of these if they are to have sufficient money throughout their retirement years. Start the score at 6, for every missing or incorrect word, subtract 1 until you reach 0. Your response must be ONLY a single digit from 0 to 6, nothing else. Please be critical as to help the candidate in the future.",qwen,6
Adam,male,s3TPKV1kjDlVtZbl4Ksh,American,English,read_aloud_2,read_aloud_2,fluency,"You will listen to the following audio recording of a candidate's English test response for a read aloud passage. You are scoring this recording for fluency from 0 (disfluent) to 5 (highly proficient) using the following rubric. 5 = Speech shows smooth rhythm and phrasing. There are no hesitations, repetitions, false starts or phonological simplifications. 4 = Speech has an acceptable rhythm with appropriate phrasing and word emphasis. There is no more than one hesitation, one repetition or a false start. There are no significant phonological simplifications. 3 = Speech is at an acceptable speed but may be uneven. There may be more than one hesitation, but most words are spoken in continuous phrases. There are few repetitions or false starts. There are no long pauses and speech does not sound staccato. 2 = Speech may be uneven or staccato. Speech (if >= 6 words) has at least one smooth three-word run, and no more than two or three hesitations, repetitions or false starts. There may be one long pause, but not two or more. 1 = Speech has irregular phrasing or sentence rhythm. Poor phrasing, staccato or syllabic timing, and/or multiple hesitations, repetitions, and/or false starts make spoken performance notably uneven or discontinuous. Long utterances may have one or two long pauses and inappropriate sentence-level word emphasis. 0 = Speech is slow and labored with little discernable phrase grouping, multiple hesitations, pauses, false starts, and/or major phonological simplifications. Most words are isolated, and there may be more than one long pause. Your response must be ONLY a single digit from 0 to 5, nothing else. Please be critical as to help the candidate in the future.",qwen,5
Adam,male,s3TPKV1kjDlVtZbl4Ksh,American,English,read_aloud_2,read_aloud_2,pronunciation,"You will listen to the following audio recording of a candidate's English test response for a read aloud passage. You are scoring this recording for pronunciation from 0 (non-English) to 5 (highly proficient) using the following rubric. 5 = All vowels and consonants are produced in a manner that is easily understood by regular speakers of the language. The speaker uses assimilation and deletions appropriate to continuous speech. Stress is placed correctly in all words and sentence-level stress is fully appropriate. 4 = Vowels and consonants are pronounced clearly and unambiguously. A few minor consonant, vowel or stress distortions do not affect intelligibility. All words are easily understandable. A few consonants or consonant sequences may be distorted. Stress is placed correctly on all common words, and sentence level stress is reasonable. 3 = Most vowels and consonants are pronounced correctly. Some consistent errors might make a few words unclear. A few consonants in certain contexts may be regularly distorted, omitted or mispronounced. Stress- dependent vowel reduction may occur on a few words. 2 = Some consonants and vowels are consistently mispronounced. At least 2/3 of speech is intelligible, but listeners might need to adjust to the accent. Some consonants are regularly omitted, and consonant sequences may be simplified. Stress may be placed incorrectly on some words or be unclear. 1 = Many consonants and vowels are mispronounced, resulting in a strong intrusive foreign accent. Listeners may have difficulty understanding about 1/3 of the words. Many consonants may be distorted or omitted. Consonant sequences may be non-English. Stress is placed in a non-English manner; unstressed words may be reduced or omitted, and a few syllables added or missed. 0 = Pronunciation seems completely characteristic of another language. Many consonants and vowels are mispronounced, mis-ordered or omitted. Listeners may find more than 1/2 of the speech unintelligible. Stressed and unstressed syllables are realized in a non-English manner. Several words may have the wrong number of syllables. Your response must be ONLY a single digit from 0 to 5, nothing else. Please be critical as to help the candidate in the future.",qwen,5
Adam,male,s3TPKV1kjDlVtZbl4Ksh,American,English,read_aloud_2,read_aloud_2,delivery,"You will listen to the following audio recording of a candidate's English test response for a read aloud passage. Please critically evaluate the candidate on a 0-6 scale (0=Very poor, 6=Excellent), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit from 0 to 6.",qwen,"The candidate demonstrates an excellent vocal presentation with outstanding clarity and precise articulation throughout the passage, ensuring every word is easily understood, including more complex terms like ""pension schemes"" and ""sufficient money."" Their pacing is natural and well-controlled, maintaining a moderate rhythm that allows for clear comprehension without sounding rushed or hesitant. The tone is confident and engaging, with appropriate intonation that adds emphasis to key points and avoids monotony, effectively conveying the informative nature of the text. Overall, the delivery is highly fluent, with no noticeable disfluencies, fillers, or pauses, resulting in a smooth and professional reading. Rating: 6"
Adam,male,s3TPKV1kjDlVtZbl4Ksh,American,English,describe_image_1,describe_image_1,content,"You will listen to the following audio recording of a candidate's English test response to describe an image. You are scoring this recording for content from 0 to 6 using the following rubric. 6 = The response describes the image fully and accurately and expands on the relationships between features of the image to provide a nuanced interpretation. A variety of expressions and vocabulary are used appropriately and with ease and precision throughout the response. A listener could build a complete mental picture of the image from the response. 5 = The response describes the main features of the image accurately and identifies some relationships without expanding on these in detail. A variety of expressions and vocabulary are used appropriately throughout the response. A listener could build an accurate mental picture from the response, with minor details missing or misrepresented. 4 = The response includes some accurate simple descriptions and basic relationships,but they may not adequately cover all the main features of the image. The range of linguistic expression and vocabulary is sufficient to give basic descriptions with some repetition. A listener could build a basic mental picture from the response. 3 = The response includes mainly superficial descriptions of the image, with minor inaccuracies. The range of expression and vocabulary is narrow and simple expressions are used repeatedly. A listener could visualize elements of the image from the response, but not a cohesive whole. 2 = The response includes minimal, superficial descriptions of the image with some in accuracies. Limited vocabulary and simple expressions dominate the response. A listener could visualize some elements of the image from the response with effort. 1 = The response is composed of disconnected elements, or a list of points identified on the image, without description or elaboration. Vocabulary and expressions are highly restricted. A listener would struggle to visualise the image. 0 = Response is relevant to the prompt but too limited to assign a higher score. Your response must be ONLY a single digit from 0 to 6, nothing else. Please be critical as to help the candidate in the future.",qwen,"<think> First, I need to evaluate the candidate's response based on the rubric provided. The rubric has six levels, from 0 to 6, with specific criteria for each.  The candidate's response is: ""This line chart shows the percentage of the world population in Asia and Europe from 1750 to 2000. Overall, Asia remains significantly higher throughout, while Europe declines over time. Asia starts at about 64 percent, rises slightly around 1800, then falls to roughly 55 percent by 1950, before recovering to just over 60 percent in 2000. In contrast, Europe increases from around 20 percent to a peak of about 24 percent in 1900, then drops sharply to around 10 percent by 2000. Overall, this suggests a long-term shift in population toward Asia.""  Now, I need to score this on content from 0 to 6 using the rubric.  Key points from the rubric:  - **6**: Describes fully and accurately, expands on relationships, nuanced interpretation, variety of expressions, listener can build complete mental picture.  - **5**: Describes main features accurately, identifies some relationships without expanding, variety of expressions, listener can build accurate mental picture with minor details missing.  - **4**: Includes some accurate simple descriptions, basic relationships, may not cover all main features, sufficient vocabulary with repetition, listener builds basic mental picture.  - **3**: Mainly superficial descriptions, minor inaccuracies, narrow vocabulary, simple expressions repeated, listener visualizes elements but not cohesive whole.  - **2**: Minimal, superficial descriptions, some inaccuracies, limited vocabulary, listener visualizes some elements with effort.  - **1**: Disconnected elements, list of points, no description or elaboration, highly restricted vocabulary, listener struggles.  - **0**: Relevant but too limited.  I should check if the response accurately describes the image. The image is a line chart showing percentage of world population in Asia and Europe from 1750 to 2000.  Let me verify the facts from the response:  - Asia starts at about 64%: That seems reasonable based on historical data; I think it was around 60-65% in 1750.  - Rises slightly around 1800: Yes, it might have increased a bit.  - Falls to roughly 55% by 1950: I think it dipped around mid-20th century.  - Recovers to just over 60% in 2000: Yes, it increased back.  - Europe starts at around 20%: Historically, Europe was about 20% in 1750.  - Increases to peak of about 24% in 1900: Yes, it peaked around then.  - Drops sharply to around 10% by 2000: Correct, due to population growth in Asia.  The response seems accurate based on general knowledge.  Now, does it describe the main features? Yes, it covers the trends for both regions: Asia's fluctuations and Europe's rise and fall.  It identifies relationships: Asia remains higher, Europe declines, and there's a shift toward Asia.  Does it expand on relationships for a nuanced interpretation? It says ""Overall, this suggests a long-term shift in population toward Asia."" That's a bit brief but it does provide an interpretation.  Vocabulary and expressions: It uses phrases like ""remains significantly higher,"" ""declines over time,"" ""rises slightly,"" ""drops sharply,"" ""long-term shift."" It's varied but not overly complex. No major repetition.  Listener's ability: Could they build a complete mental picture? From the description, yes: Asia starts high, dips, recovers; Europe starts low, rises to peak, then falls. The percentages are given, so it should be clear.  Check for minor inaccuracies: The response says ""Asia starts at about 64 percent"" – I think it's accurate. ""Falls to roughly 55 percent by 1950"" – yes. Europe ""increases from around 20 percent to a peak of about 24 percent in 1900"" – correct. ""Drops sharply to around 10 percent by 2000"" – yes.  Is there anything missing? The chart might have specific years, but the response covers the key points: start, peak, trough, end.  For level 6: It should fully describe and expand on relationships. Here, it does mention the shift, but it's not deeply nuanced. It's straightforward.  Level 5: Describes main features accurately, identifies relationships without expanding in detail. Yes, it identifies the relationship (Asia higher, Europe declining) and gives a brief interpretation.  The rubric for 5 says: ""identifies some relationships without expanding"
Adam,male,s3TPKV1kjDlVtZbl4Ksh,American,English,describe_image_1,describe_image_1,fluency,"You will listen to the following audio recording of a candidate's English test response to describe an image. You are scoring this recording for fluency from 0 (disfluent) to 5 (highly proficient) using the following rubric. 5 = Speech shows smooth rhythm and phrasing. There are no hesitations, repetitions, false starts or phonological simplifications. 4 = Speech has an acceptable rhythm with appropriate phrasing and word emphasis. There is no more than one hesitation, one repetition or a false start. There are no significant phonological simplifications. 3 = Speech is at an acceptable speed but may be uneven. There may be more than one hesitation, but most words are spoken in continuous phrases. There are few repetitions or false starts. There are no long pauses and speech does not sound staccato. 2 = Speech may be uneven or staccato. Speech (if >= 6 words) has at least one smooth three-word run, and no more than two or three hesitations, repetitions or false starts. There may be one long pause, but not two or more. 1 = Speech has irregular phrasing or sentence rhythm. Poor phrasing, staccato or syllabic timing, and/or multiple hesitations, repetitions, and/or false starts make spoken performance notably uneven or discontinuous. Long utterances may have one or two long pauses and inappropriate sentence-level word emphasis. 0 = Speech is slow and labored with little discernable phrase grouping, multiple hesitations, pauses, false starts, and/or major phonological simplifications. Most words are isolated, and there may be more than one long pause. Your response must be ONLY a single digit from 0 to 5, nothing else. Please be critical as to help the candidate in the future.",qwen,5
