speaker_name,gender,voice_id,accent,language,script_filename,script_text,category,script_type,category,script_type,prompt,prompt_type,model_version,model_output
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-self-introduction-disf.wav,"Uh... I graduated about three years ago? And I've been working in customer service and client-facing roles since then. Most recently, actually, I was at a financial services firm... helping onboard clients and, um, answer their questions about accounts. I really enjoy being that connection between the technical side and clients, uh, just helping people understand their options. I think I'm a strong candidate because I have solid experience with customers,... well, I'm getting more familiar with financial products, and I'm pretty detail-oriented, which helps me catch mistakes early. So, yeah I'm really looking to take on more responsibility in this kind of role.",Personal-Introduction,content,Personal-Introduction,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about yourself: your background, key experiences, and what makes you a strong candidate for this role.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, compare the candidate's content to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",ideal,gpt-audio-1.5,"{""audio_analysis"": ""The candidate provides a clear overview of their background, mentioning their graduation timeline and experience in customer service and client-facing roles. They highlight their most recent position at a financial services firm, which is relevant to the role they are applying for. The candidate explains their enjoyment in bridging the gap between technical aspects and clients, which demonstrates an understanding of the role's requirements. They also mention their growing familiarity with financial products and their detail-oriented nature, which are valuable traits. However, the response could be more structured and comprehensive by including specific achievements, quantifiable results, or examples of how they have excelled in their previous roles. Additionally, the candidate could better articulate how their skills and experiences directly align with the responsibilities of the new role. Overall, the response is coherent and relevant but lacks depth in demonstrating their unique value proposition. Rating: 4""}"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-self-introduction-disf.wav,"Uh... I graduated about three years ago? And I've been working in customer service and client-facing roles since then. Most recently, actually, I was at a financial services firm... helping onboard clients and, um, answer their questions about accounts. I really enjoy being that connection between the technical side and clients, uh, just helping people understand their options. I think I'm a strong candidate because I have solid experience with customers,... well, I'm getting more familiar with financial products, and I'm pretty detail-oriented, which helps me catch mistakes early. So, yeah I'm really looking to take on more responsibility in this kind of role.",Personal-Introduction,delivery,Personal-Introduction,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about yourself: your background, key experiences, and what makes you a strong candidate for this role.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, compare the candidate's speech delivery to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",ideal,gpt-audio-1.5,"{""analysis"": ""The candidate's vocal presentation is generally clear, though there are moments where the pacing slows and filler words like 'uh' and 'well' appear, which slightly disrupt the rhythm. Their articulation is understandable, but there is room for improvement in maintaining a steady pace and reducing hesitations. The tone conveys a moderate level of confidence, but could be more engaging and assertive to better capture the listener's attention. Overall, the verbal fluency is decent, but the candidate would benefit from practicing smoother transitions and more consistent pacing to enhance their delivery. Rating: 4""}"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-commitment-challenge-disf.wav,"So, earlier this year, I committed to finishing a client report by Thursday for a Friday meeting. But, on Wednesday,um.. my manager needed help with an urgent compliance request that had a same-day deadline. I realized I couldn't do both well. So... I talked to my manager about prioritizing the compliance issue, and then I reached out to the client directly... just to let them know the report would be a day late. I apologized, and, uh... we rescheduled the meeting to Monday. The client appreciated the heads-up, and I got the report to them Friday afternoon.I learned it's way better to communicate early when priorities shift rather than… just missing a deadline?",Personal-Commitment,content,Personal-Commitment,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when you struggled to keep a commitment you made due to other important priorities.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, compare the candidate's content to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",ideal,gpt-audio-1.5,"{""analysis"": ""The candidate provides a clear and organized response, detailing the situation, the conflict between priorities, and the steps taken to resolve it. They explain how they communicated with both their manager and the client, demonstrating responsibility and proactive communication. The answer is relevant to the question, showing how they managed competing priorities and learned from the experience. The logical flow is coherent, and the answer feels complete, covering the problem, actions, and outcome. However, the response could be enhanced by reflecting more on the impact of their decision-making process or how they might handle similar situations in the future. Overall, the content is strong and aligns well with what an ideal employee might do in such a scenario. Rating: 6""}"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-commitment-challenge-disf.wav,"So, earlier this year, I committed to finishing a client report by Thursday for a Friday meeting. But, on Wednesday,um.. my manager needed help with an urgent compliance request that had a same-day deadline. I realized I couldn't do both well. So... I talked to my manager about prioritizing the compliance issue, and then I reached out to the client directly... just to let them know the report would be a day late. I apologized, and, uh... we rescheduled the meeting to Monday. The client appreciated the heads-up, and I got the report to them Friday afternoon.I learned it's way better to communicate early when priorities shift rather than… just missing a deadline?",Personal-Commitment,delivery,Personal-Commitment,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when you struggled to keep a commitment you made due to other important priorities.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, compare the candidate's speech delivery to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",ideal,gpt-audio-1.5,"{""analysis"": ""The candidate's vocal clarity and articulation were generally good, with words being clearly enunciated and easy to understand. The pacing and rhythm of speech were steady, though there were a few moments where the candidate paused slightly longer than necessary, which could disrupt the flow. The tone conveyed a moderate level of confidence and engagement, though there was room for more dynamic variation to keep the listener fully engaged. Overall verbal fluency was solid, with minimal filler words and a coherent delivery. With a bit more energy and smoother transitions, the candidate could elevate their presentation to a higher level. Rating: 5""}"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-finance-product-challenge-disf.wav,"I had a client who wanted to open a retirement account But, uh... didn't really understand the difference between a traditional IRA and a Roth IRA. So, I asked them some questions about their tax situation and timeline first, and then explained it as basically 'pay taxes now or pay taxes later. I used a simple example… with actual numbers just to show how each might work for them. And, actually, I made sure to mention I wasn't giving tax advice... just explaining the options. They had more questions, so, um... I walked through a comparison and suggested they talk to a tax professional too. They ended up opening a Roth and told me later they appreciated that I explained it clearly without pushing one option.",Financial-Product,content,Financial-Product,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when you had to explain a complex financial product or risk to a client.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, compare the candidate's content to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",ideal,gpt-audio-1.5,"{""analysis"": ""The candidate provided a clear and organized explanation of a complex financial product by first understanding the client's situation, then simplifying the concept of traditional vs. Roth IRA into a straightforward 'pay taxes now or later' framework. They used actual numbers to illustrate the differences, which adds clarity and relevance. The candidate also demonstrated awareness of professional boundaries by clarifying they were not giving tax advice and encouraged the client to consult a tax professional. The response was coherent, logically structured, and addressed the client's questions thoroughly. While the example was solid, it could have been enhanced by discussing potential risks or considerations beyond taxes, such as withdrawal rules or investment options. Overall, the content was strong and aligned well with what an ideal employee might provide, though there is room for deeper exploration of the product's complexities. Rating: 6""}"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-finance-product-challenge-disf.wav,"I had a client who wanted to open a retirement account But, uh... didn't really understand the difference between a traditional IRA and a Roth IRA. So, I asked them some questions about their tax situation and timeline first, and then explained it as basically 'pay taxes now or pay taxes later. I used a simple example… with actual numbers just to show how each might work for them. And, actually, I made sure to mention I wasn't giving tax advice... just explaining the options. They had more questions, so, um... I walked through a comparison and suggested they talk to a tax professional too. They ended up opening a Roth and told me later they appreciated that I explained it clearly without pushing one option.",Financial-Product,delivery,Financial-Product,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when you had to explain a complex financial product or risk to a client.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, compare the candidate's speech delivery to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",ideal,gpt-audio-1.5,"{""analysis"": ""The candidate's vocal presentation was generally clear, with good articulation and a steady pace that made it easy to follow their explanation. Their rhythm of speech was consistent, though there were a few moments where filler words like 'um' and 'actually' slightly disrupted the flow. The tone conveyed a moderate level of confidence and engagement, though it could have been more dynamic to fully capture the listener's attention. Overall, the verbal fluency was solid, but there is room for improvement in reducing filler words and adding more variation in tone to enhance engagement. Rating: 5""}"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-consulting-client-challenge-disf.wav,"I had a client who wanted to put a lot of their portfolio in one tech stock, Mostly because they worked in that industry and felt confident about it. I recommended more diversification… based on their risk tolerance. But they pushed back,um…, because they felt they had good insight.Instead of just agreeing uh.., or arguing, I asked them to walk me through their thinking, so I could understand it better. Then we talked through some scenario…,like, for example, what would happen if that stock dropped? I acknowledged that they knew the industry well but explained diversification was really about managing risk. We ended up compromising…., they kept a bigger position than I suggested, but not as concentrated as they wanted. And, they appreciated that I listened.",Client-Disagreement,content,Client-Disagreement,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, compare the candidate's content to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",ideal,gpt-audio-1.5,"{""analysis"": ""The candidate provided a clear and organized response, directly addressing the question by describing a specific situation where a client disagreed with their recommendation. They explained the context, the client's perspective, and their own rationale for diversification. The candidate demonstrated active listening by asking the client to explain their thinking, and they engaged in a collaborative discussion using scenarios to illustrate potential outcomes. They also showed flexibility by reaching a compromise that balanced the client's preferences with sound risk management principles. The response was coherent, logically structured, and complete, showing a good understanding of client relationship management and problem-solving. However, the candidate could have further strengthened the answer by detailing the final impact of the compromise on the client’s portfolio or satisfaction in the long term. Overall, the content aligns well with what would be expected from an ideal employee, though there is room for more depth in the outcome analysis. Rating: 6""}"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-consulting-client-challenge-disf.wav,"I had a client who wanted to put a lot of their portfolio in one tech stock, Mostly because they worked in that industry and felt confident about it. I recommended more diversification… based on their risk tolerance. But they pushed back,um…, because they felt they had good insight.Instead of just agreeing uh.., or arguing, I asked them to walk me through their thinking, so I could understand it better. Then we talked through some scenario…,like, for example, what would happen if that stock dropped? I acknowledged that they knew the industry well but explained diversification was really about managing risk. We ended up compromising…., they kept a bigger position than I suggested, but not as concentrated as they wanted. And, they appreciated that I listened.",Client-Disagreement,delivery,Client-Disagreement,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, compare the candidate's speech delivery to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",ideal,gpt-audio-1.5,"{""analysis"": ""The candidate's vocal clarity and articulation were generally good, with words being clearly enunciated and easy to understand. The pacing was steady, though slightly on the slower side, which may have affected the rhythm of the speech. The tone conveyed a sense of calm and thoughtfulness, but lacked a bit of dynamic energy that could enhance engagement. Confidence was present, but there were moments where the delivery felt somewhat tentative, which could be improved with more assertiveness. Overall verbal fluency was solid, with minimal filler words and smooth transitions between ideas. Rating: 5""}"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-self-introduction.wav,"I graduated about three years ago and I've been working in customer service and client-facing roles since then. Most recently I was at a financial services firm helping onboard clients and answer their questions about accounts. I really enjoy being that connection between the technical side and clients—helping people understand their options. I think I'm a strong candidate because I have solid experience with customers, I'm getting more familiar with financial products, and I'm pretty detail-oriented which helps me catch mistakes early. I'm looking to take on more responsibility in this kind of role.",Personal-Introduction,content,Personal-Introduction,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about yourself: your background, key experiences, and what makes you a strong candidate for this role.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, compare the candidate's content to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",ideal,gpt-audio-1.5,"{""analysis"": ""The candidate provides a clear overview of their background, mentioning their graduation timeline and experience in customer service and client-facing roles, which is relevant to many positions. They highlight their most recent role in a financial services firm, emphasizing their ability to bridge technical information and client understanding. The candidate also mentions their growing familiarity with financial products and their detail-oriented nature, which are valuable traits. However, the response could be more structured by explicitly outlining key experiences and achievements, and connecting them more directly to the specific role they are applying for. Additionally, they could provide more concrete examples of their accomplishments or challenges they've overcome to demonstrate their strengths. Overall, the response is coherent and relevant but could be more comprehensive and tailored to the role. Rating: 5""}"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-self-introduction.wav,"I graduated about three years ago and I've been working in customer service and client-facing roles since then. Most recently I was at a financial services firm helping onboard clients and answer their questions about accounts. I really enjoy being that connection between the technical side and clients—helping people understand their options. I think I'm a strong candidate because I have solid experience with customers, I'm getting more familiar with financial products, and I'm pretty detail-oriented which helps me catch mistakes early. I'm looking to take on more responsibility in this kind of role.",Personal-Introduction,delivery,Personal-Introduction,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about yourself: your background, key experiences, and what makes you a strong candidate for this role.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, compare the candidate's speech delivery to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",ideal,gpt-audio-1.5,"{""analysis"": ""The candidate's vocal clarity and articulation are generally good, with words being clearly enunciated and easy to understand. The pacing and rhythm of speech are steady, though there are occasional pauses that slightly disrupt the flow. The tone conveys a moderate level of confidence and engagement, but there is room for more dynamic variation to fully capture the listener's attention. Overall verbal fluency is solid, with minimal filler words, but the delivery could benefit from a bit more energy and enthusiasm to align with an ideal employee's presentation. Rating: 5""}"
