file_path,category,speaker_id,accent,model,raw_transcription,clean_transcription,ref_word_count,hyp_word_count,edit_ops,wer
client-disagreement/cd - speaker_01.wav,client-disagreement,speaker_01,Nigerian,qwen,I had a client who wanted to put a lot of their portfolio in one tech stock because they worked in that industry and felt confident about it I recommended more diversification based on their risk tolerance They pushed back because they felt they had good insight Instead of just agreeing or arguing I asked them to walk me through their thinking so I could understand it better Then we would talk through some scenarios like what would happen if that stock dropped I acknowledged they knew the industry well but explained that diversification was about managing risk We ended up compromising They kept a bigger position than I suggested but not as concentrated as they wanted They appreciated that I listened,i had a client who wanted to put a lot of their portfolio in one tech stock because they worked in that industry and felt confident about it i recommended more diversification based on their risk tolerance they pushed back because they felt they had good insight instead of just agreeing or arguing i asked them to walk me through their thinking so i could understand it better then we would talk through some scenarios like what would happen if that stock dropped i acknowledged they knew the industry well but explained that diversification was about managing risk we ended up compromising they kept a bigger position than i suggested but not as concentrated as they wanted they appreciated that i listened,120,122,3,0.025
client-disagreement/cd - speaker_09.wav,client-disagreement,speaker_09,Nigerian,qwen,I had a client who wanted to put a lot of their portfolio in one tech stock because they worked in the industry in that industry and felt confident about it I recommended more diversification based on their risk tolerance They pushed back because they felt they had good insight Instead of just agreeing or arguing I asked them to walk me through their thinking so I could understand it better Then we walked through some scenarios like what would happen if the stock dropped I acknowledged they knew the industry well but explained diversification but explained that diversification was about managing risk We ended up compromising they kept a bigger portion than I suggested but not as concentrated as they wanted They appreciated that I listened,i had a client who wanted to put a lot of their portfolio in one tech stock because they worked in the industry in that industry and felt confident about it i recommended more diversification based on their risk tolerance they pushed back because they felt they had good insight instead of just agreeing or arguing i asked them to walk me through their thinking so i could understand it better then we walked through some scenarios like what would happen if the stock dropped i acknowledged they knew the industry well but explained diversification but explained that diversification was about managing risk we ended up compromising they kept a bigger portion than i suggested but not as concentrated as they wanted they appreciated that i listened,120,127,10,0.0833
client-disagreement/cd - speaker_03.wav,client-disagreement,speaker_03,Indian,qwen,I had a client who wanted to put a lot of their portfolio in one tech stock because they worked in that industry and felt confident about it I recommended more diversification based on their risk tolerance They pushed back because they felt they had good insight Instead of just agreeing or arguing I asked them to walk me through their thinking so I could understand it better Then we talked through some scenarios like what would happen if that stock dropped I acknowledged they knew the industry well but explained diversification was about managing risk We ended up compromising They kept a bigger position than I suggested but not as concentrated as they wanted They appreciated that I listened,i had a client who wanted to put a lot of their portfolio in one tech stock because they worked in that industry and felt confident about it i recommended more diversification based on their risk tolerance they pushed back because they felt they had good insight instead of just agreeing or arguing i asked them to walk me through their thinking so i could understand it better then we talked through some scenarios like what would happen if that stock dropped i acknowledged they knew the industry well but explained diversification was about managing risk we ended up compromising they kept a bigger position than i suggested but not as concentrated as they wanted they appreciated that i listened,120,120,0,0.0
client-disagreement/cd - speaker_04.wav,client-disagreement,speaker_04,Indian,qwen,I had a client who wanted to put a lot of their portfolio in one tech stock because they worked in that industry and felt confident about it I recommended more diversification based on their risk tolerance They pushed back because they felt they had good insight Instead of just agreeing or arguing I asked them to walk me through their thinking so I could understand it better Then we talked through some scenarios like what would happen if that stock dropped I acknowledged they knew the industry well but explained diversification was about managing risk We ended up compromising They kept a bigger position than I had suggested but not as concentrated as they wanted They appreciated that I listened,i had a client who wanted to put a lot of their portfolio in one tech stock because they worked in that industry and felt confident about it i recommended more diversification based on their risk tolerance they pushed back because they felt they had good insight instead of just agreeing or arguing i asked them to walk me through their thinking so i could understand it better then we talked through some scenarios like what would happen if that stock dropped i acknowledged they knew the industry well but explained diversification was about managing risk we ended up compromising they kept a bigger position than i had suggested but not as concentrated as they wanted they appreciated that i listened,120,121,1,0.0083
client-disagreement/cd - speaker_05.wav,client-disagreement,speaker_05,American,qwen,I had a client who wanted to put a lot of their portfolio into one tech stock because they worked in the industry and felt confident about it I recommended more diversification based on their risk tolerance They pushed back arguing that they felt they had good insight Instead of just agreeing or arguing I asked them to walk me through their through their thinking so I could understand it better Then we talked through some scenarios like what would happen if that stock dropped I acknowledged they knew the industry well but explained diversification was about managing risk We ended up compromising they kept a bigger position than I suggested but not as concentrated as they wanted They appreciated that I listened,i had a client who wanted to put a lot of their portfolio into one tech stock because they worked in the industry and felt confident about it i recommended more diversification based on their risk tolerance they pushed back arguing that they felt they had good insight instead of just agreeing or arguing i asked them to walk me through their through their thinking so i could understand it better then we talked through some scenarios like what would happen if that stock dropped i acknowledged they knew the industry well but explained diversification was about managing risk we ended up compromising they kept a bigger position than i suggested but not as concentrated as they wanted they appreciated that i listened,120,123,6,0.05
client-disagreement/cd - speaker_06.wav,client-disagreement,speaker_06,American,qwen,I had a client who wanted to put a lot of their portfolio in one tech stock because they worked in that industry and felt confident about it I recommended more diversification based on their risk tolerance They pushed back because they felt they had good insight Instead of just agreeing or arguing I asked them to walk me through their thinking so I could understand it better Then we talked through some scenarios like what would happen if that stock dropped I acknowledged they knew the industry well but explained diversification was about managing risk We ended up compromising They kept a bigger position than I suggested but not as concentrated as they wanted They appreciated that I listened,i had a client who wanted to put a lot of their portfolio in one tech stock because they worked in that industry and felt confident about it i recommended more diversification based on their risk tolerance they pushed back because they felt they had good insight instead of just agreeing or arguing i asked them to walk me through their thinking so i could understand it better then we talked through some scenarios like what would happen if that stock dropped i acknowledged they knew the industry well but explained diversification was about managing risk we ended up compromising they kept a bigger position than i suggested but not as concentrated as they wanted they appreciated that i listened,120,120,0,0.0
client-disagreement/cd - speaker_07.wav,client-disagreement,speaker_07,Nigerian,qwen,I had a client who wanted to put a lot of their portfolio in one tech stock because they worked in that industry and felt confident about it I recommended more diversification based on their risk tolerance They pushed back because they felt they had good insights Instead of just agreeing or arguing I asked them to walk me through their thinking so I could understand it better Then we walked through some scenarios like what would happen if that stock dropped I acknowledged they knew the industry well but explained diversification was about managing risk When they were compromising they kept a bigger position than I suggested than I suggested but not as concentrated as they wanted They appreciated that I listened,i had a client who wanted to put a lot of their portfolio in one tech stock because they worked in that industry and felt confident about it i recommended more diversification based on their risk tolerance they pushed back because they felt they had good insights instead of just agreeing or arguing i asked them to walk me through their thinking so i could understand it better then we walked through some scenarios like what would happen if that stock dropped i acknowledged they knew the industry well but explained diversification was about managing risk when they were compromising they kept a bigger position than i suggested than i suggested but not as concentrated as they wanted they appreciated that i listened,120,123,8,0.0667
client-disagreement/cd - speaker_08.wav,client-disagreement,speaker_08,American,qwen,I had a client who wanted to put a lot of their portfolio in one tech stock because they worked in that industry and felt confident about it I recommended more diversification based on their risk tolerance They pushed back because they felt they had good insight Instead of just agreeing or arguing I asked them to walk me through their thinking so I could understand it better Then we talked through some scenarios like what would happen if that stock dropped I acknowledged they knew the industry well but explained diversification was about managing risk We ended up compromising They kept a bigger position than I suggested but not as concentrated as they wanted They appreciated that I listened,i had a client who wanted to put a lot of their portfolio in one tech stock because they worked in that industry and felt confident about it i recommended more diversification based on their risk tolerance they pushed back because they felt they had good insight instead of just agreeing or arguing i asked them to walk me through their thinking so i could understand it better then we talked through some scenarios like what would happen if that stock dropped i acknowledged they knew the industry well but explained diversification was about managing risk we ended up compromising they kept a bigger position than i suggested but not as concentrated as they wanted they appreciated that i listened,120,120,0,0.0
client-disagreement/cd - speaker_10.wav,client-disagreement,speaker_10,Chinese,qwen,I had a client who wanted to put a lot of their uh uh portfolio in one tech stock because they wanted in that industry and felt confident about it I recommended more uh divers diversification based on their risk tolerance they pushed back because they felt they had good insights instead of just agreeing or arguing I asked them to walk me through their thinking so I could understand it better then we talked through some scenarios like what would happen if that stock drops I acknowledged they uh knew the industry well but explained diversification was about managing risk we ended up uh compromising they kept a bigger position than I suggested but not as concentrated as they wanted they appreciated I that I listened,i had a client who wanted to put a lot of their portfolio in one tech stock because they wanted in that industry and felt confident about it i recommended more divers diversification based on their risk tolerance they pushed back because they felt they had good insights instead of just agreeing or arguing i asked them to walk me through their thinking so i could understand it better then we talked through some scenarios like what would happen if that stock drops i acknowledged they knew the industry well but explained diversification was about managing risk we ended up compromising they kept a bigger position than i suggested but not as concentrated as they wanted they appreciated i that i listened,120,122,5,0.0417
client-disagreement/cd - speaker_11.wav,client-disagreement,speaker_11,Nigerian,qwen,I had clients who wanted to put a lot of their portfolio in one tech stock because they worked in that industry and felt confident about it I recommended diversification based on their risk tolerance They pushed back because they felt they had good insights And so instead of arguing or haggling I asked them to walk me through their thinking so I could understand it better Then we talked through some scenarios like what would happen if that stock dropped I acknowledged they knew the industry well but explained diversification was about managing risk We ended up compromising They kept a bigger position than I suggested but not as concentrated as they wanted They appreciated that I listened,i had clients who wanted to put a lot of their portfolio in one tech stock because they worked in that industry and felt confident about it i recommended diversification based on their risk tolerance they pushed back because they felt they had good insights and so instead of arguing or haggling i asked them to walk me through their thinking so i could understand it better then we talked through some scenarios like what would happen if that stock dropped i acknowledged they knew the industry well but explained diversification was about managing risk we ended up compromising they kept a bigger position than i suggested but not as concentrated as they wanted they appreciated that i listened,120,119,9,0.075
