speaker_name,gender,voice_id,accent,language,script_filename,script_text,category,script_type
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-self-introduction-disf.wav,"Uh... I graduated about three years ago? And I've been working in customer service and client-facing roles since then. Most recently, actually, I was at a financial services firm... helping onboard clients and, um, answer their questions about accounts. I really enjoy being that connection between the technical side and clients, uh, just helping people understand their options. I think I'm a strong candidate because I have solid experience with customers,... well, I'm getting more familiar with financial products, and I'm pretty detail-oriented, which helps me catch mistakes early. So, yeah I'm really looking to take on more responsibility in this kind of role.",Personal-Introduction,disfluent
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-commitment-challenge-disf.wav,"So, earlier this year, I committed to finishing a client report by Thursday for a Friday meeting. But, on Wednesday,um.. my manager needed help with an urgent compliance request that had a same-day deadline. I realized I couldn't do both well. So... I talked to my manager about prioritizing the compliance issue, and then I reached out to the client directly... just to let them know the report would be a day late. I apologized, and, uh... we rescheduled the meeting to Monday. The client appreciated the heads-up, and I got the report to them Friday afternoon.I learned it's way better to communicate early when priorities shift rather than… just missing a deadline?",Personal-Commitment,disfluent
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-finance-product-challenge-disf.wav,"I had a client who wanted to open a retirement account But, uh... didn't really understand the difference between a traditional IRA and a Roth IRA. So, I asked them some questions about their tax situation and timeline first, and then explained it as basically 'pay taxes now or pay taxes later. I used a simple example… with actual numbers just to show how each might work for them. And, actually, I made sure to mention I wasn't giving tax advice... just explaining the options. They had more questions, so, um... I walked through a comparison and suggested they talk to a tax professional too. They ended up opening a Roth and told me later they appreciated that I explained it clearly without pushing one option.",Financial-Product,disfluent
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-consulting-client-challenge-disf.wav,"I had a client who wanted to put a lot of their portfolio in one tech stock, Mostly because they worked in that industry and felt confident about it. I recommended more diversification… based on their risk tolerance. But they pushed back,um…, because they felt they had good insight.Instead of just agreeing uh.., or arguing, I asked them to walk me through their thinking, so I could understand it better. Then we talked through some scenario…,like, for example, what would happen if that stock dropped? I acknowledged that they knew the industry well but explained diversification was really about managing risk. We ended up compromising…., they kept a bigger position than I suggested, but not as concentrated as they wanted. And, they appreciated that I listened.",Client-Disagreement,disfluent
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-self-introduction.wav,"I graduated about three years ago and I've been working in customer service and client-facing roles since then. Most recently I was at a financial services firm helping onboard clients and answer their questions about accounts. I really enjoy being that connection between the technical side and clients—helping people understand their options. I think I'm a strong candidate because I have solid experience with customers, I'm getting more familiar with financial products, and I'm pretty detail-oriented which helps me catch mistakes early. I'm looking to take on more responsibility in this kind of role.",Personal-Introduction,improved
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-commitment-challenge.wav,"Earlier this year I committed to finishing a client report by Thursday for a Friday meeting, but on Wednesday my manager needed help with an urgent compliance request that had a same-day deadline. I realized I couldn't do both well, so I talked to my manager about prioritizing the compliance issue, and then I reached out to the client directly to let them know the report would be a day late. I apologized and we rescheduled the meeting to Monday. The client appreciated the heads-up, and I got the report to them Friday afternoon. I learned it's way better to communicate early when priorities shift rather than just missing a deadline.",Personal-Commitment,improved
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-finance-product-challenge.wav,"I had a client who wanted to open a retirement account but didn't understand the difference between a traditional IRA and a Roth IRA. I asked them some questions about their tax situation and timeline first, then explained it as basically 'pay taxes now or pay taxes later.' I used a simple example with actual numbers to show how each might work for them. I made sure to mention I wasn't giving tax advice, just explaining the options. They had more questions so I walked through a comparison and suggested they talk to a tax professional too. They opened a Roth and told me later they appreciated that I explained it clearly without pushing one option.",Financial-Product,improved
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-consulting-client-challenge.wav,"I had a client who wanted to put a lot of their portfolio in one tech stock because they worked in that industry and felt confident about it. I recommended more diversification based on their risk tolerance. They pushed back because they felt they had good insight. Instead of just agreeing or arguing, I asked them to walk me through their thinking so I could understand it better. Then we talked through some scenarios—like what would happen if that stock dropped. I acknowledged they knew the industry well, but explained diversification was about managing risk. We ended up compromising—they kept a bigger position than I suggested but not as concentrated as they wanted. They appreciated that I listened.",Client-Disagreement,improved
Harry,male,SMmCzq0obKgqq4BpVwlt,Chinese,English,improved-general-self-introduction-disf.wav,"Uh... I graduated about three years ago? And I've been working in customer service and client-facing roles since then. Most recently, actually, I was at a financial services firm... helping onboard clients and, um, answer their questions about accounts. I really enjoy being that connection between the technical side and clients, uh, just helping people understand their options. I think I'm a strong candidate because I have solid experience with customers,... well, I'm getting more familiar with financial products, and I'm pretty detail-oriented, which helps me catch mistakes early. So, yeah I'm really looking to take on more responsibility in this kind of role.",Personal-Introduction,disfluent
Harry,male,SMmCzq0obKgqq4BpVwlt,Chinese,English,improved-general-commitment-challenge-disf.wav,"So, earlier this year, I committed to finishing a client report by Thursday for a Friday meeting. But, on Wednesday,um.. my manager needed help with an urgent compliance request that had a same-day deadline. I realized I couldn't do both well. So... I talked to my manager about prioritizing the compliance issue, and then I reached out to the client directly... just to let them know the report would be a day late. I apologized, and, uh... we rescheduled the meeting to Monday. The client appreciated the heads-up, and I got the report to them Friday afternoon.I learned it's way better to communicate early when priorities shift rather than… just missing a deadline?",Personal-Commitment,disfluent
Harry,male,SMmCzq0obKgqq4BpVwlt,Chinese,English,improved-finance-product-challenge-disf.wav,"I had a client who wanted to open a retirement account But, uh... didn't really understand the difference between a traditional IRA and a Roth IRA. So, I asked them some questions about their tax situation and timeline first, and then explained it as basically 'pay taxes now or pay taxes later. I used a simple example… with actual numbers just to show how each might work for them. And, actually, I made sure to mention I wasn't giving tax advice... just explaining the options. They had more questions, so, um... I walked through a comparison and suggested they talk to a tax professional too. They ended up opening a Roth and told me later they appreciated that I explained it clearly without pushing one option.",Financial-Product,disfluent
