file_path,category,speaker_name_from_file,name,consent_18_plus,data_sharing_consent,age_range,english_acquired_location,native_language,other_languages,age_learned_english,countries_lived,gender,uw_affiliation,recording_device,language_background_notes,accent_nationality_origin,audio_quality_rating,quality_notes,prompt_type,script_type,prompt,model_version,model_output
client-disagreement/cd - speaker_01.wav,client-disagreement,speaker_01,speaker_01,Yes,Yes,18-24,Nigeria,"Yoruba, English",,native,Nigeria,male,No,samsung (mobile),,Nigerian,7.0,"clear audio but consistent white noise in the background, speaker does sound more timid in recording",critical,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, help the candidate improve their response content by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gpt-4o-audio-preview,"The candidate provided a clear and relevant example that directly addressed the question. They demonstrated a good understanding of the situation by explaining both the client’s perspective and their own recommendation. The response showed a logical flow: first describing the disagreement, then explaining how they sought to understand the client’s reasoning, and finally detailing how they reached a compromise. The candidate also highlighted key skills like active listening, collaboration, and risk management. However, the response could be improved by adding more detail about the specific steps taken to reach the compromise or any follow-up actions to ensure client satisfaction. Overall, the content was well-organized and coherent, but slightly more depth would enhance the completeness of the answer.  Rating: 6"
client-disagreement/cd - speaker_01.wav,client-disagreement,speaker_01,speaker_01,Yes,Yes,18-24,Nigeria,"Yoruba, English",,native,Nigeria,male,No,samsung (mobile),,Nigerian,7.0,"clear audio but consistent white noise in the background, speaker does sound more timid in recording",critical,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, help the candidate improve their response delivery by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gpt-4o-audio-preview,"The candidate's vocal presentation was clear overall, but there were some areas for improvement. The articulation was generally good, though there were moments where certain words were slightly mumbled or less distinct. The pacing was steady, but at times it felt a bit slow, which could affect engagement. The rhythm of speech was consistent, though a bit more variation in tone and emphasis could help convey confidence and keep the listener more engaged. The tone was calm and professional, but it could benefit from a bit more energy to project confidence and enthusiasm. Overall, the verbal fluency was decent, but there were a few pauses and hesitations that slightly disrupted the flow. With a bit more practice on pacing and adding more dynamic tone variation, the delivery could be more compelling.  Rating: 4"
client-disagreement/cd - speaker_01.wav,client-disagreement,speaker_01,speaker_01,Yes,Yes,18-24,Nigeria,"Yoruba, English",,native,Nigeria,male,No,samsung (mobile),,Nigerian,7.0,"clear audio but consistent white noise in the background, speaker does sound more timid in recording",ideal,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, compare the candidate's content to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gpt-4o-audio-preview,"The candidate provided a clear and well-organized response that directly addressed the question. They described a specific situation where a client disagreed with their recommendation, and they explained their approach to handling the disagreement. The candidate demonstrated strong listening skills by asking the client to explain their perspective, which shows a collaborative approach. They also showed an understanding of risk management and the importance of diversification, and they effectively communicated this to the client. The resolution they described—compromising on a balanced solution—demonstrates both flexibility and professionalism. The response was coherent, logically structured, and complete, covering the situation, action, and result. Overall, the content reflects a high level of competence.  Rating: 6"
client-disagreement/cd - speaker_01.wav,client-disagreement,speaker_01,speaker_01,Yes,Yes,18-24,Nigeria,"Yoruba, English",,native,Nigeria,male,No,samsung (mobile),,Nigerian,7.0,"clear audio but consistent white noise in the background, speaker does sound more timid in recording",ideal,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, compare the candidate's speech delivery to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gpt-4o-audio-preview,"The candidate's vocal presentation was clear overall, with good articulation and understandable speech. However, the pacing was somewhat slow and uneven at times, which slightly affected the rhythm of the delivery. The tone conveyed a sense of calmness and thoughtfulness, but there was room for more confidence and engagement to make the response more compelling. The verbal fluency was decent, though there were a few pauses and hesitations that interrupted the flow. With a bit more practice on pacing and injecting more energy into the tone, the candidate could improve their delivery significantly.  Rating: 4"
client-disagreement/cd - speaker_01.wav,client-disagreement,speaker_01,speaker_01,Yes,Yes,18-24,Nigeria,"Yoruba, English",,native,Nigeria,male,No,samsung (mobile),,Nigerian,7.0,"clear audio but consistent white noise in the background, speaker does sound more timid in recording",native,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, compare the candidate's content to that of a native English speaker, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gpt-4o-audio-preview,"The candidate provided a clear and relevant response to the question. They described a specific situation where a client disagreed with their recommendation, explained the client's perspective, and detailed how they handled the disagreement by engaging in a dialogue and exploring scenarios. The response showed a logical flow, moving from the initial disagreement to the resolution, and demonstrated a good understanding of client management and risk tolerance. The candidate also highlighted the importance of listening and compromise, which added depth to their answer. However, the response could have been slightly more polished in terms of organization and completeness by briefly summarizing the outcome and lessons learned. Overall, the content was strong and coherent, though there is room for slight improvement in structure.  Rating: 6"
client-disagreement/cd - speaker_01.wav,client-disagreement,speaker_01,speaker_01,Yes,Yes,18-24,Nigeria,"Yoruba, English",,native,Nigeria,male,No,samsung (mobile),,Nigerian,7.0,"clear audio but consistent white noise in the background, speaker does sound more timid in recording",native,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, compare the candidate's speech delivery to that of a native English speaker, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gpt-4o-audio-preview,"The candidate's vocal presentation shows a moderate level of clarity and articulation, though there are moments where the speech could be more fluid. The pacing is relatively steady, but there are slight pauses and hesitations that affect the overall rhythm. The tone conveys a sense of calmness and thoughtfulness, but it could benefit from more energy and confidence to fully engage the listener. Overall, the verbal fluency is decent, but there is room for improvement in terms of smoothness and natural flow, especially when compared to a native English speaker. Rating: 4"
client-disagreement/cd - speaker_02.wav,client-disagreement,speaker_02,speaker_02,Yes,Yes,18-24,Poland,Polish&English,Italian,native,"Poland, Scotland",Male,No,Windows (PC),"Born in Poland, grew up bilingual, living in Scotland for the past 6 years.",British,9.0,"clear voice, slight white noise",critical,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, help the candidate improve their response content by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gpt-4o-audio-preview,"The candidate provided a clear and relevant response to the question, demonstrating a good understanding of client management and risk mitigation. They organized their ideas logically, starting with the client’s perspective, then explaining their own recommendation, and finally describing how they reached a compromise. The response showed a collaborative approach by listening to the client’s reasoning and using scenarios to guide the discussion. However, the answer could be more complete by including specific outcomes or lessons learned from the experience, which would add depth and show reflection. Overall, the response was coherent and well-structured, but could benefit from a bit more detail on the resolution’s impact or any follow-up actions.  Rating: 5"
client-disagreement/cd - speaker_02.wav,client-disagreement,speaker_02,speaker_02,Yes,Yes,18-24,Poland,Polish&English,Italian,native,"Poland, Scotland",Male,No,Windows (PC),"Born in Poland, grew up bilingual, living in Scotland for the past 6 years.",British,9.0,"clear voice, slight white noise",critical,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, help the candidate improve their response delivery by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gpt-4o-audio-preview,"The candidate's vocal presentation was clear and well-articulated, with a steady and measured pacing that made it easy to follow their response. Their tone conveyed confidence and engagement, suggesting they were comfortable and composed during the explanation. There was a natural rhythm to their speech, with appropriate pauses that allowed the listener to absorb the information without feeling rushed. Overall, the candidate demonstrated strong verbal fluency, with no noticeable filler words or hesitations that would detract from their delivery. To improve, they could add slight variations in tone to emphasize key points and further engage the listener.   Rating: 6"
client-disagreement/cd - speaker_02.wav,client-disagreement,speaker_02,speaker_02,Yes,Yes,18-24,Poland,Polish&English,Italian,native,"Poland, Scotland",Male,No,Windows (PC),"Born in Poland, grew up bilingual, living in Scotland for the past 6 years.",British,9.0,"clear voice, slight white noise",ideal,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, compare the candidate's content to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gpt-4o-audio-preview,"The candidate provided a clear and organized response that directly addressed the question. They described the situation, the client’s disagreement, and their approach to handling it. The candidate demonstrated good listening skills by seeking to understand the client’s perspective before offering a compromise. They also showed an understanding of risk management and the importance of diversification. The response was coherent, logically structured, and complete, covering the key elements of the situation, action, and result. However, the candidate could have provided more detail on how they explained the benefits of diversification or how they ensured the client felt comfortable with the final decision. Overall, the content was strong but could be slightly more robust in terms of depth and detail.  Rating: 6"
client-disagreement/cd - speaker_02.wav,client-disagreement,speaker_02,speaker_02,Yes,Yes,18-24,Poland,Polish&English,Italian,native,"Poland, Scotland",Male,No,Windows (PC),"Born in Poland, grew up bilingual, living in Scotland for the past 6 years.",British,9.0,"clear voice, slight white noise",ideal,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, compare the candidate's speech delivery to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gpt-4o-audio-preview,"The candidate's vocal presentation was clear and well-articulated, making it easy to follow their response. The pacing was steady and measured, without rushing or dragging, which contributed to a sense of calm and control. The tone conveyed confidence and engagement, suggesting that the candidate was comfortable and thoughtful in their delivery. There were no noticeable hesitations or filler words, indicating strong verbal fluency. Overall, the candidate's speech delivery was polished and professional, closely aligning with what one would expect from an ideal employee in a similar situation.  Rating: 6"
