speaker_id,accent,word,distance,n_ref,speaker_dur,am_dur,all_dur,norm_dist
keith,Chinese,i,1.8421224012854929,6,0.12,0.07667,0.21067,0.3070204
keith,Chinese,had,1.7699563503127838,6,0.14,0.12667,0.11767,0.2528509
keith,Chinese,a,1.9120968624576653,6,0.12,0.08333,0.13303,0.3186828
keith,Chinese,client,5.980096526220798,6,0.36,0.33,0.35,0.3322276
keith,Chinese,who,3.6254253723497847,6,0.22,0.16333,0.22133,0.3295841
keith,Chinese,wanted,8.079438521677176,6,0.46,0.21,0.27,0.3512799
keith,Chinese,to,3.620338762793861,6,0.22,0.14667,0.20117,0.3291217
keith,Chinese,open,5.289245935834234,6,0.28,0.20333,0.25867,0.3778033
keith,Chinese,retirement,7.155879095815059,6,0.42,0.34333,0.362,0.3407561
keith,Chinese,account,7.467082765467829,6,0.36,0.40667,0.44867,0.3672336
keith,Chinese,but,7.422377799848004,6,0.28,0.38667,0.53,0.3839161
keith,Chinese,didn't,5.733198760247678,6,0.34,0.27667,0.33933,0.337247
keith,Chinese,understand,7.1682811608722306,6,0.4,0.32667,0.36267,0.3584141
keith,Chinese,the,4.66569214375306,6,0.3,0.25333,0.25377,0.3110461
keith,Chinese,difference,4.995772919153226,6,0.3,0.25667,0.28067,0.3330515
keith,Chinese,between,4.505766506435122,6,0.2,0.22333,0.24267,0.4035015
keith,Chinese,traditional,9.830129624196951,6,0.52,0.32667,0.368,0.3780819
keith,Chinese,ira,11.365741714717345,6,0.6,0.44667,0.64533,0.3788581
keith,Chinese,and,11.718307385125632,6,0.58,0.55333,0.3965,0.4040796
keith,Chinese,roth,6.737877168027836,6,0.4,0.25333,0.1786,0.3368939
keith,Chinese,asked,6.014154782745603,6,0.34,0.28,0.306,0.3537738
keith,Chinese,them,1.518542205971675,6,0.16,0.15,0.26967,0.1898178
keith,Chinese,some,1.8563469237519856,6,0.14,0.16333,0.18333,0.2273078
keith,Chinese,questions,5.529108582128191,6,0.46,0.40667,0.401,0.240396
keith,Chinese,about,4.115180170522749,6,0.32,0.29,0.33467,0.2571988
keith,Chinese,their,6.2646477518358665,6,0.32,0.22,0.26323,0.3915405
keith,Chinese,tax,14.839891585768356,6,0.74,0.29,0.25756,0.4010782
keith,Chinese,situation,8.715404141256398,6,0.44,0.36,0.37867,0.3961547
keith,Chinese,timeline,5.961057681948993,6,0.4,0.34667,0.38067,0.2980529
keith,Chinese,first,13.058816862424123,6,0.64,0.63333,0.66267,0.408088
keith,Chinese,then,13.79553057729358,6,0.68,0.52333,0.59267,0.4057509
keith,Chinese,explained,12.708790759664335,6,0.7,0.37333,0.33533,0.3631083
keith,Chinese,it,3.7331614335739496,6,0.22,0.14333,0.14,0.3393783
keith,Chinese,as,5.7345041564735375,6,0.34,0.19333,0.23267,0.3373238
keith,Chinese,basically,10.046097214124195,6,0.48,0.48333,0.51267,0.4157006
keith,Chinese,pay,15.165513767815076,6,0.78,0.55333,0.45833,0.3888593
keith,Chinese,taxes,10.11003155684873,6,0.52,0.40333,0.40367,0.3888474
keith,Chinese,now,6.4664641364966675,6,0.32,0.34,0.39467,0.3803802
keith,Chinese,or,10.09086387536757,6,0.54,0.39333,0.45667,0.3737357
keith,Chinese,later,12.20386668303272,6,0.66,0.66333,0.383,0.3679558
keith,Chinese,used,4.890202135972157,6,0.28,0.28333,0.27467,0.3451907
keith,Chinese,simple,5.0040042635119315,6,0.34,0.24667,0.268,0.2943532
keith,Chinese,example,7.143155888640378,6,0.42,0.36667,0.40267,0.3401503
keith,Chinese,with,6.15915622236809,6,0.42,0.37667,0.45667,0.2932932
keith,Chinese,actual,9.059355272789206,6,0.44,0.37333,0.38333,0.4117889
keith,Chinese,numbers,7.770883749774264,6,0.42,0.40333,0.4,0.3700421
keith,Chinese,show,2.6177223417306794,6,0.24,0.23,0.22933,0.2181435
keith,Chinese,how,4.799836030325881,6,0.22,0.26,0.26533,0.3692182
keith,Chinese,each,9.15680763162912,6,0.46,0.37333,0.34,0.3981221
keith,Chinese,might,5.2925459659340435,6,0.3,0.21667,0.21667,0.3528364
keith,Chinese,work,5.979102921221305,6,0.36,0.29333,0.34333,0.3321724
keith,Chinese,for,3.556370372219978,6,0.24,0.18,0.20667,0.2963642
keith,Chinese,made,4.403763804618932,6,0.28,0.22667,0.23733,0.3145546
keith,Chinese,sure,2.617637191731544,6,0.22,0.19667,0.20667,0.237967
keith,Chinese,mention,3.5905417283111505,6,0.26,0.28667,0.29867,0.2505029
keith,Chinese,wasn't,4.495155524038972,6,0.32,0.32667,0.32533,0.2752136
keith,Chinese,giving,4.677499771009899,6,0.26,0.17667,0.202,0.3598077
keith,Chinese,advice,11.842066146968046,6,0.68,0.63333,0.68933,0.3482961
keith,Chinese,just,14.93812248320618,6,0.74,0.39,0.466,0.403733
keith,Chinese,explaining,12.65626754196215,6,0.64,0.51333,0.50467,0.3955084
keith,Chinese,options,14.069827495000228,6,0.52,0.72667,0.67933,0.387243
keith,Chinese,they,2.3311379201393354,1,0.16,0.10333,0.18017,0.2913922
keith,Chinese,more,4.147877060624331,1,0.24,0.03,0.11733,0.3456564
keith,Chinese,so,5.578170194644319,1,0.34,0.03333,0.17267,0.3281277
keith,Chinese,walked,5.474278184862873,1,0.34,0.03333,0.152,0.3220164
keith,Chinese,through,3.3975476643414853,1,0.24,0.03333,0.134,0.283129
keith,Chinese,comparison,9.21699201575186,1,0.5,0.06333,0.25333,0.3686797
keith,Chinese,suggested,0.175507627706911,1,0.36,0.06,0.212,0.0097504
keith,Chinese,talk,9.945795469717682,1,0.54,0.04333,0.158,0.3683628
keith,Chinese,professional,8.32115095469037,1,0.36,0.07333,0.19,0.4622862
keith,Chinese,too,14.261546717583066,1,0.74,0.08333,0.35267,0.3854472
harry,Chinese,i,0.5079956019862447,6,0.06,0.07667,0.21067,0.1325206
harry,Chinese,had,1.7508275987823083,6,0.14,0.12667,0.11767,0.2501182
harry,Chinese,a,0.538879997231426,6,0.08,0.08333,0.13303,0.1293312
harry,Chinese,client,5.978684295559425,6,0.36,0.33,0.35,0.3321491
harry,Chinese,who,10.362806054656293,6,0.54,0.16333,0.22133,0.3838076
harry,Chinese,wanted,5.237395905345049,6,0.3,0.21,0.27,0.3491597
harry,Chinese,to,3.125019208770574,6,0.24,0.14667,0.20117,0.2604183
harry,Chinese,open,7.055680444821476,6,0.4,0.20333,0.25867,0.352784
harry,Chinese,retirement,7.359441781721343,6,0.4,0.34333,0.362,0.3679721
harry,Chinese,account,9.653799793888409,6,0.5,0.40667,0.44867,0.386152
harry,Chinese,but,15.778808369917064,6,0.82,0.38667,0.53,0.384849
harry,Chinese,didn't,5.645378910818221,6,0.34,0.27667,0.33933,0.3320811
harry,Chinese,understand,7.946977470334626,6,0.46,0.32667,0.36267,0.3455208
harry,Chinese,the,7.243504516299111,6,0.42,0.25333,0.25377,0.3449288
harry,Chinese,difference,5.297663963064445,6,0.28,0.25667,0.28067,0.3784046
harry,Chinese,between,3.992979807345945,6,0.18,0.22333,0.24267,0.3575803
harry,Chinese,traditional,8.890213451452192,6,0.44,0.32667,0.368,0.4041006
harry,Chinese,ira,11.636698639319889,6,0.62,0.44667,0.64533,0.3753774
harry,Chinese,and,17.662201212530494,6,0.92,0.55333,0.3965,0.3839609
harry,Chinese,roth,4.822313801901438,6,0.34,0.25333,0.1786,0.2836655
harry,Chinese,asked,6.044042955816678,6,0.36,0.28,0.306,0.3357802
harry,Chinese,them,1.4686693242473985,6,0.16,0.15,0.26967,0.1835837
harry,Chinese,some,3.3531378526612756,6,0.24,0.16333,0.18333,0.2794282
harry,Chinese,questions,9.00675778618451,6,0.5,0.40667,0.401,0.3602703
harry,Chinese,about,7.310133051646757,6,0.38,0.29,0.33467,0.3847438
harry,Chinese,their,5.60201193619053,6,0.36,0.22,0.26323,0.3112229
harry,Chinese,tax,5.802191093503815,6,0.28,0.29,0.25756,0.4001511
harry,Chinese,situation,7.777920087780997,6,0.46,0.36,0.37867,0.3381704
harry,Chinese,timeline,5.944129692220588,6,0.4,0.34667,0.38067,0.2972065
harry,Chinese,first,4.527483172524844,6,0.66,0.63333,0.66267,0.1371965
harry,Chinese,then,9.468894093314024,6,0.58,0.52333,0.59267,0.3265136
harry,Chinese,explained,9.052292562684876,6,0.5,0.37333,0.33533,0.3620917
harry,Chinese,it,2.731314419034644,6,0.16,0.14333,0.14,0.3414143
harry,Chinese,as,2.473138056753079,6,0.16,0.19333,0.23267,0.2558419
harry,Chinese,basically,12.431865876307745,6,0.66,0.48333,0.51267,0.3767232
harry,Chinese,pay,11.12973492816884,6,0.7,0.55333,0.45833,0.3179924
harry,Chinese,taxes,7.004314017892978,6,0.36,0.40333,0.40367,0.3473214
