category,question_number,question
professional-introduction-unscripted,1,What's your name and current role or field of study?
professional-introduction-unscripted,2,How did you get into your current career or academic path?
professional-introduction-unscripted,3,What does your day-to-day work or study look like?
professional-introduction-unscripted,4,What topics or problems excite you most professionally or academically?
professional-introduction-unscripted,5,What are you working toward or hoping to achieve in the near future?
disagreement-unscripted,1,What was a recent disagreement you had with a friend or coworker?
disagreement-unscripted,2,"Where did this take place — work, school, or personal life?"
disagreement-unscripted,3,What made it particularly difficult or stressful for you (if at all)?
disagreement-unscripted,4,What steps did you take to handle the disagreement?
disagreement-unscripted,5,"How did it turn out, and what did you learn from it?"
