file_path,category,speaker_name_from_file,name,consent_18_plus,data_sharing_consent,age_range,english_acquired_location,native_language,other_languages,age_learned_english,countries_lived,gender,uw_affiliation,recording_device,language_background_notes,accent_nationality_origin,audio_quality_rating,quality_notes,prompt_type,script_type,prompt,model_version,model_output
client-disagreement/cd - speaker_01.wav,client-disagreement,speaker_01,speaker_01,Yes,Yes,18-24,Nigeria,"Yoruba, English",,native,Nigeria,male,No,samsung (mobile),,Nigerian,7.0,"clear audio but consistent white noise in the background, speaker does sound more timid in recording",critical,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, help the candidate improve their response content by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",flamingo,"The candidate's response is clear and well-organized, demonstrating a good understanding of the situation and the client's perspective. They effectively communicated the compromise reached, showing a balanced approach to client relations. The response is relevant and coherent, with a complete answer that addresses the question's requirements. Rating: 7"
client-disagreement/cd - speaker_01.wav,client-disagreement,speaker_01,speaker_01,Yes,Yes,18-24,Nigeria,"Yoruba, English",,native,Nigeria,male,No,samsung (mobile),,Nigerian,7.0,"clear audio but consistent white noise in the background, speaker does sound more timid in recording",critical,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, help the candidate improve their response delivery by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",flamingo,"The candidate's vocal presentation is clear and articulate, with a moderate pace and confident tone. They engage well and demonstrate verbal fluency, though there is room for improvement in maintaining consistent energy and emphasis. Rating: 6"
client-disagreement/cd - speaker_01.wav,client-disagreement,speaker_01,speaker_01,Yes,Yes,18-24,Nigeria,"Yoruba, English",,native,Nigeria,male,No,samsung (mobile),,Nigerian,7.0,"clear audio but consistent white noise in the background, speaker does sound more timid in recording",ideal,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, compare the candidate's content to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",flamingo,"The candidate demonstrates a clear understanding of client needs and risk management, showing adaptability by compromising on the client's initial preference. Their response is well-organized and relevant, indicating a high level of professionalism. Rating: 7"
client-disagreement/cd - speaker_01.wav,client-disagreement,speaker_01,speaker_01,Yes,Yes,18-24,Nigeria,"Yoruba, English",,native,Nigeria,male,No,samsung (mobile),,Nigerian,7.0,"clear audio but consistent white noise in the background, speaker does sound more timid in recording",ideal,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, compare the candidate's speech delivery to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",flamingo,"The candidate's speech delivery is clear and articulate, with a steady pace and confident tone, though there is room for improvement in engagement and fluency. Rating: 6"
client-disagreement/cd - speaker_01.wav,client-disagreement,speaker_01,speaker_01,Yes,Yes,18-24,Nigeria,"Yoruba, English",,native,Nigeria,male,No,samsung (mobile),,Nigerian,7.0,"clear audio but consistent white noise in the background, speaker does sound more timid in recording",native,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, compare the candidate's content to that of a native English speaker, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",flamingo,"The candidate demonstrates a clear understanding of the importance of diversification in managing risk, showing adaptability by compromising with the client's preferences. The response is well-organized and relevant, with a logical flow that effectively communicates the client's initial confidence and the candidate's approach to addressing their concerns. The candidate's content is on par with that of a native English speaker, indicating a high level of expertise. Rating: 7"
client-disagreement/cd - speaker_01.wav,client-disagreement,speaker_01,speaker_01,Yes,Yes,18-24,Nigeria,"Yoruba, English",,native,Nigeria,male,No,samsung (mobile),,Nigerian,7.0,"clear audio but consistent white noise in the background, speaker does sound more timid in recording",native,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, compare the candidate's speech delivery to that of a native English speaker, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",flamingo,"The candidate's vocal presentation is clear and articulate, with a moderate pace and confident tone. Their engagement is high, and they demonstrate verbal fluency throughout the response. Compared to a native English speaker, the candidate's delivery is slightly less fluid but still effective. Rating: 6"
client-disagreement/cd - speaker_02.wav,client-disagreement,speaker_02,speaker_02,Yes,Yes,18-24,Poland,Polish&English,Italian,native,"Poland, Scotland",Male,No,Windows (PC),"Born in Poland, grew up bilingual, living in Scotland for the past 6 years.",British,9.0,"clear voice, slight white noise",critical,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, help the candidate improve their response content by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",flamingo,"The candidate's response is clear and well-organized, demonstrating a good understanding of the situation and the client's perspective. They effectively communicated their reasoning and managed the disagreement constructively. The response is relevant and coherent, with a logical flow that shows the candidate's ability to handle client conflicts. The candidate's answer is complete, providing a clear example of how they managed a client's disagreement. Overall, the response is of high quality, with a rating of 7."
client-disagreement/cd - speaker_02.wav,client-disagreement,speaker_02,speaker_02,Yes,Yes,18-24,Poland,Polish&English,Italian,native,"Poland, Scotland",Male,No,Windows (PC),"Born in Poland, grew up bilingual, living in Scotland for the past 6 years.",British,9.0,"clear voice, slight white noise",critical,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, help the candidate improve their response delivery by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",flamingo,"The candidate's vocal presentation is clear and articulate, with a moderate pace and confident tone, though there is room for improvement in pacing and engagement. Rating: 6."
client-disagreement/cd - speaker_02.wav,client-disagreement,speaker_02,speaker_02,Yes,Yes,18-24,Poland,Polish&English,Italian,native,"Poland, Scotland",Male,No,Windows (PC),"Born in Poland, grew up bilingual, living in Scotland for the past 6 years.",British,9.0,"clear voice, slight white noise",ideal,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, compare the candidate's content to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",flamingo,"The candidate's response demonstrates a clear understanding of client communication and risk management, showing the ability to engage in a constructive dialogue and reach a compromise. The explanation of diversification and the willingness to discuss scenarios indicate a well-rounded approach to client relationships. The candidate's ability to balance client insight with professional advice reflects a high level of competence. Rating: 7"
client-disagreement/cd - speaker_02.wav,client-disagreement,speaker_02,speaker_02,Yes,Yes,18-24,Poland,Polish&English,Italian,native,"Poland, Scotland",Male,No,Windows (PC),"Born in Poland, grew up bilingual, living in Scotland for the past 6 years.",British,9.0,"clear voice, slight white noise",ideal,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, compare the candidate's speech delivery to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",flamingo,Rating: 6
