speaker_name,gender,voice_id,accent,language,script_filename,script_text,category,script_type,category,script_type,prompt,prompt_type,model_version,model_output
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-self-introduction-disf.wav,"Uh... I graduated about three years ago? And I've been working in customer service and client-facing roles since then. Most recently, actually, I was at a financial services firm... helping onboard clients and, um, answer their questions about accounts. I really enjoy being that connection between the technical side and clients, uh, just helping people understand their options. I think I'm a strong candidate because I have solid experience with customers,... well, I'm getting more familiar with financial products, and I'm pretty detail-oriented, which helps me catch mistakes early. So, yeah I'm really looking to take on more responsibility in this kind of role.",Personal-Introduction,content,Personal-Introduction,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about yourself: your background, key experiences, and what makes you a strong candidate for this role.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, compare the candidate's content to that of a native English speaker, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",native,gpt-4o-audio-preview,"The candidate provides a generally clear and organized response, covering their background, key experiences, and reasons for being a strong candidate. They mention relevant experience in customer service and client-facing roles, and they connect that experience to the role they’re applying for. However, the response could be more specific and detailed, especially when discussing their strengths and familiarity with financial products. The candidate also hesitates slightly when explaining why they are a strong candidate, which reduces the overall coherence and confidence of the response. While the answer is relevant and mostly complete, it could benefit from more concrete examples and a stronger, more confident conclusion. Overall, the content is solid but could be more polished and specific.  Rating: 4"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-self-introduction-disf.wav,"Uh... I graduated about three years ago? And I've been working in customer service and client-facing roles since then. Most recently, actually, I was at a financial services firm... helping onboard clients and, um, answer their questions about accounts. I really enjoy being that connection between the technical side and clients, uh, just helping people understand their options. I think I'm a strong candidate because I have solid experience with customers,... well, I'm getting more familiar with financial products, and I'm pretty detail-oriented, which helps me catch mistakes early. So, yeah I'm really looking to take on more responsibility in this kind of role.",Personal-Introduction,delivery,Personal-Introduction,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about yourself: your background, key experiences, and what makes you a strong candidate for this role.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, compare the candidate's speech delivery to that of a native English speaker, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",native,gpt-4o-audio-preview,"The candidate's vocal presentation shows a moderate level of clarity and articulation, though there are occasional hesitations and filler words like ""um"" and ""well"" that slightly disrupt the flow. The pacing is generally steady but could benefit from more consistent rhythm to maintain engagement. The tone conveys a reasonable level of confidence, though it could be more dynamic to enhance engagement. Overall, the verbal fluency is decent, but there are moments where the candidate seems to search for words, which affects the smoothness of delivery. With some practice, particularly in reducing filler words and improving pacing, the candidate could improve their delivery significantly.  Rating: 4"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-commitment-challenge-disf.wav,"So, earlier this year, I committed to finishing a client report by Thursday for a Friday meeting. But, on Wednesday,um.. my manager needed help with an urgent compliance request that had a same-day deadline. I realized I couldn't do both well. So... I talked to my manager about prioritizing the compliance issue, and then I reached out to the client directly... just to let them know the report would be a day late. I apologized, and, uh... we rescheduled the meeting to Monday. The client appreciated the heads-up, and I got the report to them Friday afternoon.I learned it's way better to communicate early when priorities shift rather than… just missing a deadline?",Personal-Commitment,content,Personal-Commitment,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when you struggled to keep a commitment you made due to other important priorities.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, compare the candidate's content to that of a native English speaker, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",native,gpt-4o-audio-preview,"The candidate provided a clear and well-organized response that directly addressed the question. They described a specific situation, the conflicting priorities they faced, and the steps they took to resolve the issue. The response demonstrated good problem-solving skills, particularly in terms of communication and prioritization. The logical flow was strong, moving from the initial commitment, to the conflict, to the resolution, and finally to the lesson learned. The answer was complete and relevant, showing self-awareness and a proactive approach to handling commitments. Overall, the content was comparable to that of a native English speaker in terms of clarity and coherence.  Rating: 6"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-commitment-challenge-disf.wav,"So, earlier this year, I committed to finishing a client report by Thursday for a Friday meeting. But, on Wednesday,um.. my manager needed help with an urgent compliance request that had a same-day deadline. I realized I couldn't do both well. So... I talked to my manager about prioritizing the compliance issue, and then I reached out to the client directly... just to let them know the report would be a day late. I apologized, and, uh... we rescheduled the meeting to Monday. The client appreciated the heads-up, and I got the report to them Friday afternoon.I learned it's way better to communicate early when priorities shift rather than… just missing a deadline?",Personal-Commitment,delivery,Personal-Commitment,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when you struggled to keep a commitment you made due to other important priorities.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, compare the candidate's speech delivery to that of a native English speaker, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",native,gpt-4o-audio-preview,"The candidate's vocal presentation is clear and easy to understand, with good articulation and minimal hesitation. The pacing is steady and natural, though there are a few moments where the rhythm slightly slows down, which could be improved for smoother delivery. The tone conveys a sense of calm and thoughtfulness, though it could benefit from a bit more energy or enthusiasm to enhance engagement. Overall, the candidate demonstrates solid verbal fluency and confidence, though there is room for improvement in terms of dynamic delivery and maintaining a more consistent rhythm. Rating: 5"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-finance-product-challenge-disf.wav,"I had a client who wanted to open a retirement account But, uh... didn't really understand the difference between a traditional IRA and a Roth IRA. So, I asked them some questions about their tax situation and timeline first, and then explained it as basically 'pay taxes now or pay taxes later. I used a simple example… with actual numbers just to show how each might work for them. And, actually, I made sure to mention I wasn't giving tax advice... just explaining the options. They had more questions, so, um... I walked through a comparison and suggested they talk to a tax professional too. They ended up opening a Roth and told me later they appreciated that I explained it clearly without pushing one option.",Financial-Product,content,Financial-Product,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when you had to explain a complex financial product or risk to a client.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, compare the candidate's content to that of a native English speaker, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",native,gpt-4o-audio-preview,"The candidate provided a clear and well-organized response that directly addressed the question. They began by identifying the client’s lack of understanding and then logically explained how they assessed the client’s needs by asking relevant questions. The explanation of the financial products was simplified into a relatable concept (""pay taxes now or pay taxes later""), which shows an ability to break down complex ideas into digestible terms. The use of actual numbers and examples further demonstrates clarity and relevance. The candidate also showed awareness of professional boundaries by clarifying they were not giving tax advice, which adds to the completeness and professionalism of the response. The logical flow from identifying the client’s needs, explaining the options, and then recommending further consultation with a tax professional was coherent and thorough. Overall, the content was clear, relevant, and well-structured, comparable to what would be expected from a native English speaker in a professional setting.  Rating: 6"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-finance-product-challenge-disf.wav,"I had a client who wanted to open a retirement account But, uh... didn't really understand the difference between a traditional IRA and a Roth IRA. So, I asked them some questions about their tax situation and timeline first, and then explained it as basically 'pay taxes now or pay taxes later. I used a simple example… with actual numbers just to show how each might work for them. And, actually, I made sure to mention I wasn't giving tax advice... just explaining the options. They had more questions, so, um... I walked through a comparison and suggested they talk to a tax professional too. They ended up opening a Roth and told me later they appreciated that I explained it clearly without pushing one option.",Financial-Product,delivery,Financial-Product,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when you had to explain a complex financial product or risk to a client.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, compare the candidate's speech delivery to that of a native English speaker, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",native,gpt-4o-audio-preview,"The candidate’s vocal presentation is clear and easy to understand, with good articulation of words. The pacing is steady, though slightly on the slower side, which helps in ensuring clarity but could be more dynamic to maintain engagement. The rhythm of speech is consistent, and there are minimal filler words, which indicates a good level of verbal fluency. The tone is calm and measured, though it could benefit from a bit more energy or enthusiasm to convey confidence and engagement. Overall, the candidate sounds comfortable and composed, but adding a bit more variation in tone and pacing would enhance the delivery.   Rating: 5"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-consulting-client-challenge-disf.wav,"I had a client who wanted to put a lot of their portfolio in one tech stock, Mostly because they worked in that industry and felt confident about it. I recommended more diversification… based on their risk tolerance. But they pushed back,um…, because they felt they had good insight.Instead of just agreeing uh.., or arguing, I asked them to walk me through their thinking, so I could understand it better. Then we talked through some scenario…,like, for example, what would happen if that stock dropped? I acknowledged that they knew the industry well but explained diversification was really about managing risk. We ended up compromising…., they kept a bigger position than I suggested, but not as concentrated as they wanted. And, they appreciated that I listened.",Client-Disagreement,content,Client-Disagreement,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, compare the candidate's content to that of a native English speaker, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",native,gpt-4o-audio-preview,"The candidate provided a clear and well-organized response that directly addressed the question. They described the situation in detail, including the client's perspective and their own recommendation. The candidate demonstrated a thoughtful approach by seeking to understand the client's reasoning rather than simply insisting on their own viewpoint. They also explained how they used a collaborative approach to find a compromise, which shows strong client management skills. The response was coherent, logically structured, and complete, covering the initial disagreement, the process of discussion, and the final resolution. Overall, the content was strong and comparable to what one would expect from a native English speaker in a professional setting.  Rating: 6"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-consulting-client-challenge-disf.wav,"I had a client who wanted to put a lot of their portfolio in one tech stock, Mostly because they worked in that industry and felt confident about it. I recommended more diversification… based on their risk tolerance. But they pushed back,um…, because they felt they had good insight.Instead of just agreeing uh.., or arguing, I asked them to walk me through their thinking, so I could understand it better. Then we talked through some scenario…,like, for example, what would happen if that stock dropped? I acknowledged that they knew the industry well but explained diversification was really about managing risk. We ended up compromising…., they kept a bigger position than I suggested, but not as concentrated as they wanted. And, they appreciated that I listened.",Client-Disagreement,delivery,Client-Disagreement,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, compare the candidate's speech delivery to that of a native English speaker, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",native,gpt-4o-audio-preview,"The candidate's vocal presentation is clear and well-articulated, with each word being easy to understand. The pacing is steady and natural, without rushing or dragging, which helps maintain listener engagement. The rhythm of speech is smooth, and there are no noticeable hesitations or filler words, indicating good verbal fluency. The tone conveys confidence and a sense of calm engagement, which suggests the speaker is comfortable and in control of their delivery. Overall, the candidate’s speech delivery is comparable to that of a native English speaker, with strong clarity, pacing, and confidence.  Rating: 6"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-self-introduction.wav,"I graduated about three years ago and I've been working in customer service and client-facing roles since then. Most recently I was at a financial services firm helping onboard clients and answer their questions about accounts. I really enjoy being that connection between the technical side and clients—helping people understand their options. I think I'm a strong candidate because I have solid experience with customers, I'm getting more familiar with financial products, and I'm pretty detail-oriented which helps me catch mistakes early. I'm looking to take on more responsibility in this kind of role.",Personal-Introduction,content,Personal-Introduction,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about yourself: your background, key experiences, and what makes you a strong candidate for this role.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, compare the candidate's content to that of a native English speaker, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",native,gpt-4o-audio-preview,"The candidate provides a clear and organized response, covering their background, key experiences, and strengths relevant to the role. They mention their three years of experience in customer service and client-facing roles, specifically in financial services, which is relevant to many roles that require client interaction. They also highlight their enjoyment of bridging technical and client needs, which shows self-awareness and alignment with the role. The candidate mentions their growing familiarity with financial products and their attention to detail, which are valuable traits. However, the response could be more specific by including concrete examples or achievements to better illustrate their strengths. Overall, the content is solid but could benefit from more depth and specificity to stand out further.  Rating: 5"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-self-introduction.wav,"I graduated about three years ago and I've been working in customer service and client-facing roles since then. Most recently I was at a financial services firm helping onboard clients and answer their questions about accounts. I really enjoy being that connection between the technical side and clients—helping people understand their options. I think I'm a strong candidate because I have solid experience with customers, I'm getting more familiar with financial products, and I'm pretty detail-oriented which helps me catch mistakes early. I'm looking to take on more responsibility in this kind of role.",Personal-Introduction,delivery,Personal-Introduction,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about yourself: your background, key experiences, and what makes you a strong candidate for this role.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, compare the candidate's speech delivery to that of a native English speaker, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",native,gpt-4o-audio-preview,"The candidate's vocal presentation is generally clear, with good articulation and understandable speech. The pacing is steady, though slightly on the slower side, which can be beneficial for clarity but may reduce engagement slightly. The tone conveys a moderate level of confidence, though there are moments where the candidate sounds a bit hesitant or less dynamic, which could affect overall engagement. The verbal fluency is decent, with only minor pauses or filler words, but there is room for improvement in terms of energy and enthusiasm. Overall, the delivery is solid but could benefit from more variation in tone and a slightly more confident, engaging rhythm.  Rating: 5"
