speaker_id,accent,word,distance,n_ref,speaker_dur,am_dur,all_dur,norm_dist
keith,Chinese,i,1.5227804990496263,6,0.08,0.15333,0.28558,0.1986235
keith,Chinese,graduated,3.871873135748809,6,0.48,0.44667,0.46267,0.161328
keith,Chinese,about,5.023918328138155,6,0.4,0.38333,0.43933,0.2511959
keith,Chinese,three,3.0011062543663685,6,0.28,0.29,0.34,0.2069728
keith,Chinese,years,1.538899788664913,6,0.24,0.21,0.244,0.1282416
keith,Chinese,ago,3.4506318939211043,6,0.32,0.36667,0.34133,0.1882163
keith,Chinese,and,3.996066988115381,6,0.2,0.33333,0.41227,0.239764
keith,Chinese,i've,1.9311019497832265,6,0.18,0.24,0.274,0.1609252
keith,Chinese,been,0.7201958642012052,6,0.14,0.13333,0.14933,0.1028851
keith,Chinese,working,4.576263207963213,6,0.34,0.28667,0.30667,0.269192
keith,Chinese,in,5.7697740823244965,6,0.34,0.31,0.28667,0.3393985
keith,Chinese,customer,17.218298702498164,6,0.86,0.32333,0.386,0.4004256
keith,Chinese,service,4.916320772125571,6,0.34,0.39,0.43,0.252119
keith,Chinese,client,5.991969077761561,6,0.48,0.31333,0.37333,0.2496654
keith,Chinese,roles,3.026352694475042,6,0.3,0.19667,0.32667,0.2017568
keith,Chinese,since,4.975482394488972,6,0.4,0.37333,0.47533,0.2487741
keith,Chinese,then,5.520211160637982,6,0.44,0.47,0.506,0.2349026
keith,Chinese,most,8.497291792877983,6,0.38,0.30667,0.19733,0.4472259
keith,Chinese,recently,11.177697785826217,6,0.64,0.46,0.52133,0.3493031
keith,Chinese,was,1.8436785230684407,6,0.22,0.16,0.17933,0.1676071
keith,Chinese,at,1.5120069350803709,6,0.24,0.15333,0.184,0.1260006
keith,Chinese,a,2.7007079960257916,6,0.24,0.12333,0.09367,0.225059
keith,Chinese,financial,17.004219725772295,6,0.8,0.29,0.27767,0.4251055
keith,Chinese,services,6.671674802415926,6,0.54,0.36333,0.47667,0.2470991
keith,Chinese,firm,12.820034013114856,6,0.68,0.51333,0.574,0.3770598
keith,Chinese,helping,12.7676244451375,6,0.72,0.46333,0.66533,0.3546562
keith,Chinese,onboard,4.115543968065893,6,0.38,0.36667,0.4069,0.2166076
keith,Chinese,clients,5.073462204807127,6,0.32,0.44,0.55467,0.2306119
keith,Chinese,answer,6.659335679853918,6,0.5,0.35667,0.44,0.2663734
keith,Chinese,their,0.940757923510608,6,0.2,0.17667,0.34237,0.0940758
keith,Chinese,questions,3.2079610263205,6,0.32,0.28667,0.31,0.2004976
keith,Chinese,accounts,14.99577489220367,6,0.74,0.63,0.796,0.4052912
keith,Chinese,really,3.1346293740067117,6,0.26,0.30667,0.27467,0.2044324
keith,Chinese,enjoy,4.767569564786355,6,0.44,0.32667,0.37667,0.2167077
keith,Chinese,being,7.885510614747342,6,0.5,0.34667,0.37933,0.3154204
keith,Chinese,that,4.53151580554341,6,0.34,0.28,0.32267,0.2665598
keith,Chinese,connection,5.208998828264369,6,0.38,0.36,0.37867,0.2741578
keith,Chinese,between,5.217076380238728,6,0.52,0.44,0.49933,0.2006568
keith,Chinese,the,12.773870490848427,6,0.7,0.31333,0.27471,0.3649677
keith,Chinese,technical,4.799875591447527,6,0.38,0.31667,0.35533,0.252625
