speaker_id,accent,word,distance,n_ref,speaker_dur,am_dur,all_dur,norm_dist
keith,Chinese,earlier,1.602808107961322,6,0.2,0.29,0.21467,0.1105385
keith,Chinese,this,1.345833000835336,6,0.28,0.29,0.26133,0.0928161
keith,Chinese,year,3.1939178405448403,6,0.3,0.37,0.36867,0.1726442
keith,Chinese,i,1.449979180264246,6,0.14,0.16333,0.2335,0.1775485
keith,Chinese,committed,1.433103625071401,6,0.28,0.29667,0.29333,0.0966137
keith,Chinese,to,1.711143510379192,6,0.28,0.22667,0.20238,0.1222245
keith,Chinese,finishing,3.240801520011589,6,0.32,0.28667,0.29667,0.2025501
keith,Chinese,a,2.536969236450776,6,0.26,0.29667,0.16107,0.1710316
keith,Chinese,client,2.1427782700534115,6,0.3,0.28,0.26422,0.1428519
keith,Chinese,report,2.699650789507855,6,0.34,0.24667,0.24467,0.158803
keith,Chinese,by,2.280485885012471,6,0.38,0.33,0.43067,0.1200256
keith,Chinese,thursday,4.28610078418889,6,0.34,0.39667,0.38533,0.2161059
keith,Chinese,for,5.978516823524138,6,0.46,0.31333,0.392,0.2599355
keith,Chinese,friday,2.4363369771549284,6,0.3,0.24333,0.225,0.1624225
keith,Chinese,meeting,6.549701629657005,6,0.54,0.47667,0.406,0.2425815
keith,Chinese,but,1.084645252059549,3,0.1,0.04,0.08467,0.2169291
keith,Chinese,on,4.287713357239517,6,0.18,0.27,0.21333,0.3176084
keith,Chinese,wednesday,7.108036974631161,6,0.68,0.54333,0.57067,0.2090599
keith,Chinese,my,7.839471264647,6,0.56,0.24,0.217,0.2799811
keith,Chinese,manager,5.5339488613018135,6,0.44,0.34667,0.373,0.2515431
keith,Chinese,needed,3.021445996809069,6,0.34,0.30333,0.316,0.1777321
keith,Chinese,help,2.4155318975529756,6,0.38,0.34,0.38733,0.1271333
keith,Chinese,with,1.641788733731359,6,0.24,0.22333,0.36333,0.1368157
keith,Chinese,an,1.726473595723214,6,0.18,0.15333,0.15933,0.1918304
keith,Chinese,urgent,3.352975900897922,6,0.38,0.34667,0.37133,0.1764724
keith,Chinese,compliance,6.252535883279638,6,0.48,0.37,0.37767,0.2605223
keith,Chinese,request,6.941962516940808,6,0.54,0.46,0.526,0.2571097
keith,Chinese,that,16.331721675892695,6,0.86,0.59667,0.66867,0.3798075
keith,Chinese,had,1.7716637413098493,6,0.22,0.16667,0.19267,0.1610603
keith,Chinese,same,1.7773446644387398,6,0.28,0.24667,0.25733,0.1269532
keith,Chinese,deadline,9.106753929206851,6,0.72,0.69,0.4059,0.2529654
keith,Chinese,realized,3.876201942132091,6,0.42,0.41333,0.41167,0.184581
keith,Chinese,couldn't,1.80951406402995,6,0.28,0.29667,0.29,0.1219897
keith,Chinese,do,2.0017566927066888,6,0.16,0.12333,0.138,0.2502196
keith,Chinese,both,3.5140547701309224,6,0.32,0.27667,0.28733,0.2196284
keith,Chinese,well,7.31458240386156,6,0.56,0.44667,0.44,0.2612351
keith,Chinese,so,7.081147180779446,5,0.52,0.37667,0.32133,0.2723518
keith,Chinese,talked,2.2277855395010913,6,0.34,0.24333,0.27133,0.1310462
keith,Chinese,about,5.168287896025643,6,0.48,0.37,0.38533,0.2153453
keith,Chinese,prioritizing,21.02169799276983,6,1.16,0.82333,0.9325,0.3624431
keith,Chinese,the,2.8696208924099644,6,0.34,0.19,0.18417,0.1688012
keith,Chinese,issue,9.255565199472388,6,0.74,0.65667,0.69133,0.2501504
keith,Chinese,then,1.7317668699557751,6,0.24,0.21667,0.21333,0.1443139
keith,Chinese,reached,1.6318976576425308,6,0.26,0.23667,0.25733,0.1255306
keith,Chinese,out,1.3127245170134287,6,0.26,0.23,0.248,0.1009788
keith,Chinese,directly,6.556336886329553,6,0.52,0.4,0.45267,0.2521668
keith,Chinese,let,1.9190066910086827,6,0.22,0.16,0.19,0.1744552
keith,Chinese,them,1.3004313511647736,6,0.24,0.19333,0.139,0.1083693
keith,Chinese,know,2.5461298798219807,6,0.3,0.21333,0.21733,0.169742
keith,Chinese,would,1.0578573486274314,6,0.24,0.24,0.268,0.0881548
keith,Chinese,be,1.9819540696697873,6,0.22,0.14667,0.19667,0.1801776
keith,Chinese,day,2.2200247545966763,6,0.22,0.21,0.21517,0.2018204
keith,Chinese,late,5.821275935083808,6,0.54,0.48333,0.49034,0.2156028
keith,Chinese,apologized,6.173648047770335,6,0.62,0.58,0.5775,0.1991499
keith,Chinese,we,8.17478032914563,6,0.56,0.13,0.216,0.2919564
keith,Chinese,rescheduled,19.604668347649568,6,1.06,0.55,0.64867,0.3698994
keith,Chinese,monday,4.906042728834508,6,0.36,0.44333,0.47867,0.2213252
keith,Chinese,appreciated,7.186482310739025,4,0.58,0.29,0.28,0.2478097
keith,Chinese,heads,1.9835804023477377,2,0.26,0.07,0.08828,0.1525831
keith,Chinese,got,1.9717360600045035,2,0.22,0.05667,0.08333,0.1792487
keith,Chinese,afternoon,9.451807674519262,2,0.5,0.24,0.304,0.3780723
harry,Chinese,earlier,1.568140406022079,6,0.2,0.29,0.21467,0.1081476
harry,Chinese,this,2.500881476046132,6,0.3,0.29,0.26133,0.1667254
harry,Chinese,year,3.2149031347425776,6,0.4,0.37,0.36867,0.1607452
harry,Chinese,i,5.9370977219545225,6,0.42,0.16333,0.2335,0.2827189
harry,Chinese,committed,2.6705147517785854,6,0.32,0.29667,0.29333,0.1669072
harry,Chinese,to,1.6883629589599736,6,0.28,0.22667,0.20238,0.1205974
harry,Chinese,finishing,2.9315154111652357,6,0.4,0.28667,0.29667,0.1465758
harry,Chinese,a,2.9315002385071764,6,0.3,0.29667,0.16107,0.1954333
