speaker_id,accent,word,distance,n_ref,speaker_dur,am_dur,all_dur,norm_dist
keith,Chinese,i,1.2822271889616046,6,0.1,0.17333,0.15286,0.1479493
keith,Chinese,had,1.680979528606385,6,0.24,0.15333,0.16167,0.1400816
keith,Chinese,a,15.421657346239964,6,0.68,0.12333,0.14,0.4535782
keith,Chinese,client,6.076599508585482,6,0.48,0.38,0.37067,0.2531916
keith,Chinese,who,0.9630365487589077,6,0.18,0.20667,0.244,0.0931971
keith,Chinese,wanted,1.7389395618497616,6,0.28,0.29,0.342,0.1199269
keith,Chinese,to,2.04399654093725,6,0.24,0.21667,0.201,0.170333
keith,Chinese,put,2.2349379996723373,6,0.2,0.22333,0.202,0.2001437
keith,Chinese,lot,1.9403399033128657,6,0.3,0.16333,0.2,0.129356
keith,Chinese,of,0.9279946203782722,6,0.14,0.11667,0.195,0.1325707
keith,Chinese,their,1.4023600661992264,6,0.18,0.18,0.22889,0.1558178
keith,Chinese,portfolio,5.223490347570916,6,0.46,0.37333,0.42133,0.2271083
keith,Chinese,in,14.879668132321424,6,0.82,0.48333,0.38533,0.3629187
keith,Chinese,one,5.491013090735908,6,0.46,0.22,0.278,0.2387397
keith,Chinese,tech,3.2939108501160344,6,0.32,0.26,0.322,0.2058694
keith,Chinese,stock,1.6238935861107642,6,0.28,0.21667,0.287,0.1159924
keith,Chinese,because,15.427666961679856,6,0.74,0.61667,0.592,0.416964
keith,Chinese,they,3.1342597912031827,6,0.06,0.20333,0.17467,0.3082878
keith,Chinese,that,1.1337405129982912,6,0.14,0.09667,0.18733,0.1619629
keith,Chinese,industry,4.89275704170491,6,0.44,0.38,0.354,0.222398
keith,Chinese,and,4.058201399062377,6,0.3,0.35,0.43667,0.2318972
keith,Chinese,felt,1.381573891701521,6,0.22,0.2,0.27967,0.1255976
keith,Chinese,confident,5.511700539883097,6,0.56,0.44333,0.48667,0.1968464
keith,Chinese,about,4.9825884247176,6,0.38,0.28667,0.25633,0.2622415
keith,Chinese,it,3.211725644629997,6,0.38,0.35,0.35627,0.1690382
keith,Chinese,recommended,6.25454353455384,6,0.56,0.41,0.43933,0.2233766
keith,Chinese,more,15.115538145364878,6,0.78,0.40333,0.47667,0.3875779
keith,Chinese,diversification,21.49797108802493,6,1.14,0.63333,0.64733,0.3771574
keith,Chinese,based,17.474596035744497,6,0.98,0.58333,0.73467,0.3566244
keith,Chinese,on,4.345074264320434,6,0.34,0.26333,0.304,0.2555926
keith,Chinese,risk,3.4669665536315493,6,0.32,0.24333,0.326,0.2166854
keith,Chinese,tolerance,12.0047801017431,6,0.56,0.69667,0.73067,0.3446348
keith,Chinese,pushed,4.464475161972632,6,0.34,0.26333,0.29133,0.2626162
keith,Chinese,back,1.827792340911234,6,0.3,0.27667,0.298,0.1218528
keith,Chinese,good,3.6499432499372215,6,0.32,0.21667,0.29333,0.2281215
keith,Chinese,insight,21.576031380182144,6,1.14,0.61667,0.73793,0.3785269
keith,Chinese,instead,3.548346298745773,6,0.18,0.25667,0.26133,0.2764945
keith,Chinese,just,1.8776689389337495,6,0.22,0.13333,0.204,0.1706972
keith,Chinese,agreeing,5.950188454509166,6,0.58,0.31333,0.49067,0.2051789
keith,Chinese,or,6.284054768493657,6,0.58,0.40333,0.406,0.2166915
keith,Chinese,arguing,17.16635092780731,6,0.88,0.66,0.65333,0.3901443
keith,Chinese,asked,5.990379346640393,6,0.48,0.32,0.32667,0.2495991
keith,Chinese,them,0.737553350684978,6,0.18,0.15,0.16,0.0819504
keith,Chinese,walk,3.593156230902166,6,0.32,0.20333,0.24533,0.2245723
