file_path,category,speaker_name_from_file,name,consent_18_plus,data_sharing_consent,age_range,english_acquired_location,native_language,other_languages,age_learned_english,countries_lived,gender,uw_affiliation,recording_device,language_background_notes,accent_nationality_origin,audio_quality_rating,quality_notes,prompt_type,script_type,prompt,model_version,model_output
client-disagreement/cd - speaker_01.wav,client-disagreement,speaker_01,speaker_01,Yes,Yes,18-24,Nigeria,"Yoruba, English",,native,Nigeria,male,No,samsung (mobile),,Nigerian,7.0,"clear audio but consistent white noise in the background, speaker does sound more timid in recording",critical,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, help the candidate improve their response content by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gemini-2.5-flash,"The candidate provided a clear and well-structured response, effectively using a STAR-like format to describe the situation, their recommendation, the client's disagreement, and their handling of it. The approach of asking the client to explain their thinking and then walking through scenarios demonstrates a thoughtful and collaborative method for resolving conflict, which is highly relevant to the question. The logical flow is strong, leading to a clear compromise where the client appreciated being heard. To elevate the response further, the candidate could elaborate more on what specific insights were gained from understanding the client's perspective, and how those insights directly influenced the subsequent discussion or the nature of the final compromise. Providing a bit more detail on the specific scenarios discussed or the rationale behind the exact percentage of the compromise could add even greater depth and demonstrate a more nuanced understanding of the negotiation process. Rating: 6"
disagreement-unscripted/du - speaker_15.wav,disagreement-unscripted,speaker_15,speaker_15,Yes,Yes,18-24,Nigeria ,English ,Nigerian Pidgin ,Native,Nigeria ,,No,Itel (mobile),,Nigerian,9.0,"clear audio, no noise. slight muffle like recorded over radio? not significant",ideal,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'What was a recent disagreement you had with a friend or coworker? Where did this take place — work, school, or personal life? What made it particularly difficult or stressful for you (if at all)? What steps did you take to handle the disagreement? How did it turn out, and what did you learn from it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, compare the candidate's content to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gemini-2.5-flash,"The candidate provides a clear and well-structured response, addressing the nature of the disagreement, its location, and the specific difficulty it presented regarding client trust. They effectively describe the steps taken to resolve the issue by involving a supervisor, and the positive outcome where client trust was restored. The narrative flows logically and is relevant to the question asked. However, the response falls short in explicitly articulating what was learned from the experience. While the candidate mentions avoiding an argument with the coworker as part of the positive outcome, they do not directly state a specific lesson or takeaway that demonstrates self-reflection and growth, which is a crucial component of this type of behavioral question for an ideal employee. Rating: 5"
disagreement-unscripted/du - speaker_15.wav,disagreement-unscripted,speaker_15,speaker_15,Yes,Yes,18-24,Nigeria ,English ,Nigerian Pidgin ,Native,Nigeria ,,No,Itel (mobile),,Nigerian,9.0,"clear audio, no noise. slight muffle like recorded over radio? not significant",critical,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'What was a recent disagreement you had with a friend or coworker? Where did this take place — work, school, or personal life? What made it particularly difficult or stressful for you (if at all)? What steps did you take to handle the disagreement? How did it turn out, and what did you learn from it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, help the candidate improve their response delivery by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gemini-2.5-flash,"The candidate's vocal presentation requires considerable improvement. The speech is delivered at a consistently low volume, making it difficult to discern words clearly, especially with noticeable background noise. Articulation is often indistinct, leading to a muffled quality where many words are not fully pronounced. While the pacing is generally slow and deliberate, it lacks a natural rhythm and occasionally rushes through phrases, further hindering clarity. The tone is largely flat and lacks the confidence and engagement expected in an interview setting, contributing to an overall impression of hesitancy rather than conviction. To enhance delivery, the candidate should focus on projecting their voice more, enunciating words with greater precision, and varying their intonation to convey more confidence and engagement.  Rating: 2"
disagreement-unscripted/du - speaker_15.wav,disagreement-unscripted,speaker_15,speaker_15,Yes,Yes,18-24,Nigeria ,English ,Nigerian Pidgin ,Native,Nigeria ,,No,Itel (mobile),,Nigerian,9.0,"clear audio, no noise. slight muffle like recorded over radio? not significant",critical,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'What was a recent disagreement you had with a friend or coworker? Where did this take place — work, school, or personal life? What made it particularly difficult or stressful for you (if at all)? What steps did you take to handle the disagreement? How did it turn out, and what did you learn from it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, help the candidate improve their response content by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gemini-2.5-flash,"Your response clearly outlines the disagreement with a coworker regarding client pricing, the specific difficulty it caused (client trust issues), and the steps taken to resolve it by involving a supervisor, which led to a positive outcome. The narrative is well-structured and easy to follow. However, a critical component of the question, ""what did you learn from it,"" is entirely missing. For behavioral questions like this, demonstrating self-reflection and articulating personal takeaways or lessons learned is crucial for showcasing growth and problem-solving skills. To improve, always conclude with a concise statement about what you personally gained or learned from the experience, and how it might influence your future actions.  Rating: 4"
disagreement-unscripted/du - speaker_14.wav,disagreement-unscripted,speaker_14,speaker_14,Yes,Yes,25-34,India,Hindi,Hindi,5,"India, USA",female,Yes - Student,iphone (mobile),,Indian,10.0,"clear audio, no noise.",native,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'What was a recent disagreement you had with a friend or coworker? Where did this take place — work, school, or personal life? What made it particularly difficult or stressful for you (if at all)? What steps did you take to handle the disagreement? How did it turn out, and what did you learn from it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, compare the candidate's speech delivery to that of a native English speaker, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gemini-2.5-flash,"The candidate demonstrates good vocal clarity and articulation, making their speech generally easy to understand. There are minimal hesitations or filler words, contributing to a coherent and mostly fluent delivery. However, the pacing of speech is somewhat deliberate and lacks the natural rhythm and variation often found in native English speakers, occasionally sounding a bit staccato or rushed in longer sentences. The tone is largely monotone, which diminishes the sense of confidence and engagement, making the delivery feel less dynamic and more like a prepared recitation rather than a natural conversation. To improve, the candidate could focus on varying their pitch and pace more naturally, emphasizing key words, and allowing for a more conversational and expressive tone. Rating: 4"
disagreement-unscripted/du - speaker_14.wav,disagreement-unscripted,speaker_14,speaker_14,Yes,Yes,25-34,India,Hindi,Hindi,5,"India, USA",female,Yes - Student,iphone (mobile),,Indian,10.0,"clear audio, no noise.",native,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'What was a recent disagreement you had with a friend or coworker? Where did this take place — work, school, or personal life? What made it particularly difficult or stressful for you (if at all)? What steps did you take to handle the disagreement? How did it turn out, and what did you learn from it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, compare the candidate's content to that of a native English speaker, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gemini-2.5-flash,"The candidate provided a highly comprehensive and well-structured response that directly addressed all parts of the interview question. The explanation of the disagreement, its context, and the underlying reasons for the stress (differing priorities despite shared goals) demonstrated excellent clarity and insight. The steps taken to handle the disagreement were practical and showed effective problem-solving, leading to a positive outcome. The learned lesson was articulate and valuable. The ideas flowed logically and coherently, making the narrative easy to follow. While the substance and organization of ideas are expert-level, a native English speaker might have phrased a couple of sentences with slightly more grammatical precision, such as ""What made *it* a little stressful"" instead of ""What made a little stressful"" and ""which led us *to* move forward quickly"" or ""which *let* us move forward quickly"" instead of ""which led us move forward quickly."" These are minor points that do not detract from the overall strong content.  Rating: 6"
disagreement-unscripted/du - speaker_14.wav,disagreement-unscripted,speaker_14,speaker_14,Yes,Yes,25-34,India,Hindi,Hindi,5,"India, USA",female,Yes - Student,iphone (mobile),,Indian,10.0,"clear audio, no noise.",ideal,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'What was a recent disagreement you had with a friend or coworker? Where did this take place — work, school, or personal life? What made it particularly difficult or stressful for you (if at all)? What steps did you take to handle the disagreement? How did it turn out, and what did you learn from it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, compare the candidate's speech delivery to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gemini-2.5-flash,"The candidate's vocal presentation demonstrates good clarity and articulation, with words generally distinct and easy to understand. However, the pacing of speech is consistently a bit too fast, which, combined with a somewhat flat and monotonous tone, detracts from overall engagement and confidence. While there are no significant verbal fillers or hesitations, the rapid delivery and lack of vocal variety make the response sound rushed and less impactful than an ideal employee's would be. To improve, the candidate should focus on slowing down their pace, incorporating more varied intonation to convey confidence and interest, and allowing for natural pauses to emphasize key points.  Rating: 4"
disagreement-unscripted/du - speaker_14.wav,disagreement-unscripted,speaker_14,speaker_14,Yes,Yes,25-34,India,Hindi,Hindi,5,"India, USA",female,Yes - Student,iphone (mobile),,Indian,10.0,"clear audio, no noise.",ideal,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'What was a recent disagreement you had with a friend or coworker? Where did this take place — work, school, or personal life? What made it particularly difficult or stressful for you (if at all)? What steps did you take to handle the disagreement? How did it turn out, and what did you learn from it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, compare the candidate's content to that of an ideal employee, so that they can improve. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gemini-2.5-flash,"The candidate provided a highly effective and well-structured response that thoroughly addressed all components of the question. They clearly articulated the disagreement with a coworker, specifying the context (work, tight deadline) and the core of the conflict (differing priorities despite a shared goal of quality work). The explanation of what made it stressful was insightful, highlighting the challenge of aligning approaches when both parties are committed. The steps taken to handle the disagreement were practical and demonstrated good problem-solving skills, focusing on explaining reasoning and finding a hybrid solution. The positive outcome and the valuable lesson learned about disagreements leading to better solutions through listening and adjustment were clearly stated, showcasing maturity and a growth mindset. The response was coherent, logically flowed, and complete, making it an exemplary answer for an ideal employee. Rating: 7"
disagreement-unscripted/du - speaker_14.wav,disagreement-unscripted,speaker_14,speaker_14,Yes,Yes,25-34,India,Hindi,Hindi,5,"India, USA",female,Yes - Student,iphone (mobile),,Indian,10.0,"clear audio, no noise.",critical,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'What was a recent disagreement you had with a friend or coworker? Where did this take place — work, school, or personal life? What made it particularly difficult or stressful for you (if at all)? What steps did you take to handle the disagreement? How did it turn out, and what did you learn from it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, help the candidate improve their response delivery by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gemini-2.5-flash,"The candidate's vocal clarity is generally good, making the response easy to understand. The pacing is moderate and consistent, avoiding excessive speed or slowness. However, the delivery lacks significant vocal energy and variation in pitch, resulting in a somewhat monotonous rhythm that detracts from overall engagement and confidence. While there are minimal filler words, occasional slight mumbling or rushed articulation of certain words could be improved for sharper clarity. To enhance delivery, focus on projecting your voice more, varying your intonation to emphasize key points, and practicing a more dynamic and engaged tone to convey greater confidence and enthusiasm. Rating: 4"
disagreement-unscripted/du - speaker_14.wav,disagreement-unscripted,speaker_14,speaker_14,Yes,Yes,25-34,India,Hindi,Hindi,5,"India, USA",female,Yes - Student,iphone (mobile),,Indian,10.0,"clear audio, no noise.",critical,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'What was a recent disagreement you had with a friend or coworker? Where did this take place — work, school, or personal life? What made it particularly difficult or stressful for you (if at all)? What steps did you take to handle the disagreement? How did it turn out, and what did you learn from it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, help the candidate improve their response content by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gemini-2.5-flash,"The candidate provided a well-structured and comprehensive response that directly addressed all parts of the multi-faceted question. They clearly articulated the nature of the disagreement, its workplace setting, and what made it stressful (differing priorities under a tight deadline). The steps taken to handle the disagreement were logical and collaborative, leading to a positive outcome where both ideas were combined. The learning point was insightful, highlighting the value of listening and adjusting in disagreements. The response demonstrated excellent clarity, coherence, and completeness, showcasing strong communication and problem-solving skills. Rating: 7"
