speaker_name,gender,voice_id,accent,language,script_filename,script_text,category,script_type,category.1,script_type.1,prompt,model_version,model_output
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-self-introduction-disf.wav,"Uh... I graduated about three years ago? And I've been working in customer service and client-facing roles since then. Most recently, actually, I was at a financial services firm... helping onboard clients and, um, answer their questions about accounts. I really enjoy being that connection between the technical side and clients, uh, just helping people understand their options. I think I'm a strong candidate because I have solid experience with customers,... well, I'm getting more familiar with financial products, and I'm pretty detail-oriented, which helps me catch mistakes early. So, yeah I'm really looking to take on more responsibility in this kind of role.",Personal-Introduction,content,Personal-Introduction,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about yourself: your background, key experiences, and what makes you a strong candidate for this role.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, help the candidate improve their response content by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale. ",qwen,"The candidate provides a clear, well-organized, and relevant overview of their background, starting with graduation and moving chronologically to their most recent role at a financial services firm, where they detail specific responsibilities like client onboarding and account support. They effectively articulate a strong value proposition by highlighting their enjoyment in acting as a bridge between technical teams and clients to help people understand their options, which demonstrates self-awareness and relevant soft skills. However, the response is critically incomplete as they begin to state why they are a strong candidate (""I think I'm a strong candidate because I have..."") but cut off before providing the necessary explanation, failing to directly answer the final part of the question. To improve, they must finish the sentence by explicitly connecting their experience to the specific requirements of the target role, using concrete examples or skills that make them a compelling fit. Rating: 5"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-self-introduction-disf.wav,"Uh... I graduated about three years ago? And I've been working in customer service and client-facing roles since then. Most recently, actually, I was at a financial services firm... helping onboard clients and, um, answer their questions about accounts. I really enjoy being that connection between the technical side and clients, uh, just helping people understand their options. I think I'm a strong candidate because I have solid experience with customers,... well, I'm getting more familiar with financial products, and I'm pretty detail-oriented, which helps me catch mistakes early. So, yeah I'm really looking to take on more responsibility in this kind of role.",Personal-Introduction,delivery,Personal-Introduction,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about yourself: your background, key experiences, and what makes you a strong candidate for this role.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, help the candidate improve their response delivery by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale. ",qwen,"The candidate demonstrates clear articulation and a generally moderate pace, but their vocal delivery is significantly hindered by frequent use of fillers like ""uh"" and ""um,"" which disrupt the natural rhythm and flow of their speech; their tone is somewhat flat and lacks dynamic vocal variety, resulting in a less engaging presentation that occasionally sounds hesitant rather than confident, though the overall message remains understandable; these issues with pacing consistency and vocal energy prevent the delivery from being truly polished or compelling, indicating room for improvement in vocal control and confidence. Rating: 4"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-commitment-challenge-disf.wav,"So, earlier this year, I committed to finishing a client report by Thursday for a Friday meeting. But, on Wednesday,um.. my manager needed help with an urgent compliance request that had a same-day deadline. I realized I couldn't do both well. So... I talked to my manager about prioritizing the compliance issue, and then I reached out to the client directly... just to let them know the report would be a day late. I apologized, and, uh... we rescheduled the meeting to Monday. The client appreciated the heads-up, and I got the report to them Friday afternoon.I learned it's way better to communicate early when priorities shift rather than… just missing a deadline?",Personal-Commitment,content,Personal-Commitment,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when you struggled to keep a commitment you made due to other important priorities.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, help the candidate improve their response content by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",qwen,"The candidate provides a clear, relevant, and well-organized example that directly addresses the question by outlining a specific conflict between two commitments: a client report deadline and an urgent compliance task. They demonstrate strong judgment by recognizing the impossibility of handling both effectively, proactively communicating with their manager to reprioritize, and taking the initiative to inform the client directly about the delay while offering an apology. This shows accountability and professional communication skills. However, the response lacks detail on the outcome—specifically, how the client reacted to the late submission and whether any follow-up actions were taken to mitigate the impact of the delay—which slightly limits the completeness of the narrative. Despite this minor gap, the response effectively highlights problem-solving, prioritization, and transparency. Rating: 6"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-commitment-challenge-disf.wav,"So, earlier this year, I committed to finishing a client report by Thursday for a Friday meeting. But, on Wednesday,um.. my manager needed help with an urgent compliance request that had a same-day deadline. I realized I couldn't do both well. So... I talked to my manager about prioritizing the compliance issue, and then I reached out to the client directly... just to let them know the report would be a day late. I apologized, and, uh... we rescheduled the meeting to Monday. The client appreciated the heads-up, and I got the report to them Friday afternoon.I learned it's way better to communicate early when priorities shift rather than… just missing a deadline?",Personal-Commitment,delivery,Personal-Commitment,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when you struggled to keep a commitment you made due to other important priorities.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, help the candidate improve their response delivery by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",qwen,"The candidate demonstrates excellent vocal clarity with precise articulation, ensuring complex terms like ""compliance"" and ""deadline"" are easily understood, and maintains a professional, confident tone throughout the response. Their pacing is natural and well-controlled, using strategic pauses effectively to emphasize key decisions such as ""I realized I couldn't do both well,"" which enhances engagement without sounding rehearsed. There is minimal disfluency, with only a very slight hesitation at the beginning of a phrase, and the overall delivery is smooth and fluid, projecting strong verbal competence. While the response ends abruptly without a concluding sentence, this minor issue does not detract from the otherwise polished and expert-level vocal presentation. Rating: 7"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-finance-product-challenge-disf.wav,"I had a client who wanted to open a retirement account But, uh... didn't really understand the difference between a traditional IRA and a Roth IRA. So, I asked them some questions about their tax situation and timeline first, and then explained it as basically 'pay taxes now or pay taxes later. I used a simple example… with actual numbers just to show how each might work for them. And, actually, I made sure to mention I wasn't giving tax advice... just explaining the options. They had more questions, so, um... I walked through a comparison and suggested they talk to a tax professional too. They ended up opening a Roth and told me later they appreciated that I explained it clearly without pushing one option.",Financial-Product,content,Financial-Product,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when you had to explain a complex financial product or risk to a client.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, help the candidate improve their response content by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",qwen,"The candidate demonstrates a strong foundational understanding of the task by correctly identifying the core confusion between Traditional and Roth IRAs and outlining a logical, client-centered approach that begins with assessing the client's specific tax situation and timeline. Their simplification of the concept to ""pay taxes now or pay taxes later"" is an effective and clear communication strategy, and the intention to use a concrete numerical example shows good judgment in making abstract concepts tangible. However, the response is critically incomplete as it cuts off mid-sentence before revealing the client's specific circumstances, the actual numbers used in the example, or the final outcome and decision, which are essential to fully answer the question about successfully explaining a complex product and achieving a positive resolution; without this closure, the narrative lacks the necessary completeness to demonstrate the full effectiveness of their communication. Rating: 5"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-finance-product-challenge-disf.wav,"I had a client who wanted to open a retirement account But, uh... didn't really understand the difference between a traditional IRA and a Roth IRA. So, I asked them some questions about their tax situation and timeline first, and then explained it as basically 'pay taxes now or pay taxes later. I used a simple example… with actual numbers just to show how each might work for them. And, actually, I made sure to mention I wasn't giving tax advice... just explaining the options. They had more questions, so, um... I walked through a comparison and suggested they talk to a tax professional too. They ended up opening a Roth and told me later they appreciated that I explained it clearly without pushing one option.",Financial-Product,delivery,Financial-Product,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when you had to explain a complex financial product or risk to a client.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, help the candidate improve their response delivery by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",qwen,"The candidate demonstrates good vocal clarity with well-enunciated financial terms, and their tone is confident and professional, which is appropriate for the context; however, there are noticeable disfluencies like filler words (""uh"") and a slight hesitation that disrupt the natural flow of speech, while the pacing is generally steady but the abrupt ending with ""and actually I made sure to..."" creates an incomplete and unpolished conclusion that undermines the overall delivery; these minor issues prevent the response from being truly seamless and expert-level, though the foundation is strong. Rating: 5"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-consulting-client-challenge-disf.wav,"I had a client who wanted to put a lot of their portfolio in one tech stock, Mostly because they worked in that industry and felt confident about it. I recommended more diversification… based on their risk tolerance. But they pushed back,um…, because they felt they had good insight.Instead of just agreeing uh.., or arguing, I asked them to walk me through their thinking, so I could understand it better. Then we talked through some scenario…,like, for example, what would happen if that stock dropped? I acknowledged that they knew the industry well but explained diversification was really about managing risk. We ended up compromising…., they kept a bigger position than I suggested, but not as concentrated as they wanted. And, they appreciated that I listened.",Client-Disagreement,content,Client-Disagreement,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, help the candidate improve their response content by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",qwen,"The candidate provides a clear, well-structured, and highly relevant response that directly addresses the question by outlining a specific situation where a client disagreed with a professional recommendation. They effectively describe the conflict (client's desire for concentrated tech stock investment based on industry confidence versus the advisor's risk-based diversification advice), the client's pushback, and the candidate's professional, non-confrontational action of asking the client to explain their reasoning to foster understanding. This demonstrates strong emotional intelligence and a collaborative problem-solving approach, which is a key strength in client management. However, the response is slightly incomplete as it ends abruptly after mentioning they ""talked through some scenarios"" without revealing the outcome or resolution, which would have provided a more satisfying conclusion and demonstrated the effectiveness of their method. Despite this minor gap, the substance is strong, showcasing excellent judgment and a clear understanding of professional best practices. Rating: 6"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-consulting-client-challenge-disf.wav,"I had a client who wanted to put a lot of their portfolio in one tech stock, Mostly because they worked in that industry and felt confident about it. I recommended more diversification… based on their risk tolerance. But they pushed back,um…, because they felt they had good insight.Instead of just agreeing uh.., or arguing, I asked them to walk me through their thinking, so I could understand it better. Then we talked through some scenario…,like, for example, what would happen if that stock dropped? I acknowledged that they knew the industry well but explained diversification was really about managing risk. We ended up compromising…., they kept a bigger position than I suggested, but not as concentrated as they wanted. And, they appreciated that I listened.",Client-Disagreement,delivery,Client-Disagreement,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, help the candidate improve their response delivery by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",qwen,"The candidate demonstrates strong vocal clarity with generally precise articulation, though minor fillers like ""um"" and ""uh"" slightly disrupt the otherwise smooth pacing and rhythm, particularly when transitioning between ideas. While their tone conveys confidence and engagement through steady delivery, the occasional hesitation detracts from the polished professionalism expected at the highest level; the pacing is generally good but could benefit from more intentional pauses to emphasize key points and reduce the reliance on filler words. Overall verbal fluency is solid with minimal long pauses, but refining the rhythm to feel more natural and eliminating those small hesitations would significantly elevate the delivery. Rating: 6"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-self-introduction.wav,"I graduated about three years ago and I've been working in customer service and client-facing roles since then. Most recently I was at a financial services firm helping onboard clients and answer their questions about accounts. I really enjoy being that connection between the technical side and clients—helping people understand their options. I think I'm a strong candidate because I have solid experience with customers, I'm getting more familiar with financial products, and I'm pretty detail-oriented which helps me catch mistakes early. I'm looking to take on more responsibility in this kind of role.",Personal-Introduction,content,Personal-Introduction,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about yourself: your background, key experiences, and what makes you a strong candidate for this role.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, help the candidate improve their response content by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale. ",qwen,"The candidate provides a clear, chronological overview of their background, starting with graduation and detailing their progression into customer service and client-facing roles, specifically highlighting their recent experience at a financial services firm where they onboarded clients and handled account inquiries; they effectively articulate their value proposition by emphasizing their enjoyment in bridging the technical and client sides to help people understand options. However, the response is incomplete as it cuts off mid-sentence, and it lacks specific, quantifiable achievements or concrete examples to substantiate their claim of being a ""strong candidate,"" making the argument feel generic rather than evidence-based; additionally, while they describe their general skills, they fail to explicitly connect these to the specific requirements of the role they are interviewing for, missing a critical opportunity to tailor their narrative. Rating: 5"
Keith,male,gAMZphRyrWJnLMDnom6H,Chinese,English,improved-general-self-introduction.wav,"I graduated about three years ago and I've been working in customer service and client-facing roles since then. Most recently I was at a financial services firm helping onboard clients and answer their questions about accounts. I really enjoy being that connection between the technical side and clients—helping people understand their options. I think I'm a strong candidate because I have solid experience with customers, I'm getting more familiar with financial products, and I'm pretty detail-oriented which helps me catch mistakes early. I'm looking to take on more responsibility in this kind of role.",Personal-Introduction,delivery,Personal-Introduction,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about yourself: your background, key experiences, and what makes you a strong candidate for this role.' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, help the candidate improve their response delivery by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale. ",qwen,"The candidate demonstrates excellent vocal clarity with precise articulation and well-enunciated words, ensuring every phrase is easily understood; they maintain a natural, moderate pace that avoids both rushed delivery and awkward silences while allowing key points to land effectively, and their tone is consistently confident and engaging, using appropriate inflection to convey enthusiasm without sounding rehearsed or monotonous; their verbal fluency is strong with minimal hesitation or filler words, resulting in a smooth, professional delivery that effectively communicates their message. Rating: 7"
